id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
151792465882529792	MZAHale	 im drmatthews allergy asthma http sqcomvljceq	2011-12-27	0	0				https://twitter.com/MZAHale/status/151792465882529792
149586955871588352	JordanDanyelle1	 letoyaluckett didnt know u asthma 	2011-12-21	0	0	@LeToyaLuckett			https://twitter.com/JordanDanyelle1/status/149586955871588352
147945082903990272	NuTsonYOdrumset	 so te ppl use think cool asthma pump	2011-12-17	0	0				https://twitter.com/NuTsonYOdrumset/status/147945082903990272
147564007379845120	LittleDo_UKnw	 chest hurt dnt nobody asthma pump gotta calm dwn fast	2011-12-16	0	0				https://twitter.com/LittleDo_UKnw/status/147564007379845120
146705512875040769	MZAHale	 im drmatthews allergy asthma http sqcomvxoq q	2011-12-13	0	0				https://twitter.com/MZAHale/status/146705512875040769
145739766502129664	JayBird__2013	 u kno weed help ppls asthma 	2011-12-11	0	0				https://twitter.com/JayBird__2013/status/145739766502129664
144259595345465345	AliforniaCayc	 kelly_welsh yeah said been hang flat screen plasma hey nicki hey nicki asthma 	2011-12-06	0	0	@kelly_welsh97			https://twitter.com/AliforniaCayc/status/144259595345465345
142985689330483200	leaping_lauren	 hate waking asthma already bad might well call wheezy today	2011-12-03	0	0				https://twitter.com/leaping_lauren/status/142985689330483200
138315433907462144	bigcuzin_	 drksexychocolat daaaaamn would talked shit em like mf u gone breath phone got asthma bitch	2011-11-20	0	0	@drksexychocolat			https://twitter.com/bigcuzin_/status/138315433907462144
137390592723386368	DawnaKaye12	 felt like asthma attack haha	2011-11-17	0	0				https://twitter.com/DawnaKaye12/status/137390592723386368
136550084128161794	KrisP__	 cantchase hoes gt asthma	2011-11-15	3	0				https://twitter.com/KrisP__/status/136550084128161794
128565894854086656	MZAHale	 im drmatthews allergy asthma http sqcomsjolhx	2011-10-24	0	0				https://twitter.com/MZAHale/status/128565894854086656
127512360415014912	funsized_genius	 hey jeremy hey jeremy asthma hang plasma	2011-10-21	0	0		#asthma #plasma		https://twitter.com/funsized_genius/status/127512360415014912
123814607881121793	AyeYO_CHRiiS	 getin_linee lol colds flare asthma	2011-10-11	0	0	@GetIn_Linee			https://twitter.com/AyeYO_CHRiiS/status/123814607881121793
121536702446706688	leaping_lauren	 miles darnit pants asthma	2011-10-05	0	0		#asthma		https://twitter.com/leaping_lauren/status/121536702446706688
