id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
114842541253345280	L3AHCiM	 slabsmarie thought almost asthma thing funny feel better soon	2011-09-16	0	0	@slabsmarie21			https://twitter.com/L3AHCiM/status/114842541253345280
114841845678354432	L3AHCiM	 slabsmarie almost asthma 	2011-09-16	0	0	@slabsmarie21			https://twitter.com/L3AHCiM/status/114841845678354432
96315411842334720	WuTangSammy	 apparently asthma baby themoreyouknow	2011-07-27	0	0		#themoreyouknow		https://twitter.com/WuTangSammy/status/96315411842334720
94256910383063040	Hodges8	 acceptme_forme dat got hotdo u hve asthma	2011-07-22	0	0	@AcceptMe_ForMe			https://twitter.com/Hodges8/status/94256910383063040
76539906255626240	mel_got_promo	 say im hot boyfuck weezy asthma herpeswell shit dont know wanna fuck every girl worldhe might got	2011-06-03	0	0				https://twitter.com/mel_got_promo/status/76539906255626240
51114237644378112	TheReal_CSH	 people bad asthma joke air going fast jacywilson stop breathing	2011-03-24	0	0	@jacywilson2			https://twitter.com/TheReal_CSH/status/51114237644378112
49974910545707008	Sushi_J_We3zY	 factsaboutme i asthma my mom smokes ewgrodie i made rainbow candle i shower naked	2011-03-21	0	0		#100factsaboutme #ewgrodie		https://twitter.com/Sushi_J_We3zY/status/49974910545707008
36110113722863617	BB_HulkSmash	 ppl get shocked wen say asthma	2011-02-11	0	0				https://twitter.com/BB_HulkSmash/status/36110113722863617
31593940855558144	lcwhite90	 smoking bus asthma death	2011-01-30	0	0		#death		https://twitter.com/lcwhite90/status/31593940855558144
23020725304561665	nstinch54	 guy sitting next smells like ashtray get im already clinic please dont give asthma attack im here	2011-01-06	0	0				https://twitter.com/nstinch54/status/23020725304561665
149835075301806080	CalebGriffin50	 laughbook lets run away together lol jk asthma chandlercgp	2011-12-22	0	0	@Laughbook @ChandlerCGP			https://twitter.com/CalebGriffin50/status/149835075301806080
145774302782947328	Ren_No_Stimpy	 weakaf imma go bed one rt purpleholoquast got looking asthma pump quesafterdark 	2011-12-11	0	0	@PurpleHoloQuast	#weakaf #quesafterdark		https://twitter.com/Ren_No_Stimpy/status/145774302782947328
141704046145843200	briemdee	 phone asthma roommate ooochild	2011-11-29	0	0		#roommate #ooochild		https://twitter.com/briemdee/status/141704046145843200
138939214157987840	Shun_2Cute	 f_l_m dee makin fun cuz gt asthma lol criple self	2011-11-22	0	0	@F_L_M1	#criple		https://twitter.com/Shun_2Cute/status/138939214157987840
136881576435916801	_Tina_Montana	 lil girl asthma attack school gotta go get her	2011-11-16	0	0				https://twitter.com/_Tina_Montana/status/136881576435916801
125725118340153344	BiliJean_NDiana	 wow goin hospital one f girls asthma attack	2011-10-16	0	0				https://twitter.com/BiliJean_NDiana/status/125725118340153344
123180526986207232	De_jus_Sexy	 missballer n da hospital n madison asthma attack ugh talkin bout u working out	2011-10-09	0	0	@Missballer1132			https://twitter.com/De_jus_Sexy/status/123180526986207232
117608500703662080	chuckagautier	 luchadora obama administration set ban asthma inhalers environmental concerns http shareshneqg	2011-09-24	0	0	@luchadora41			https://twitter.com/chuckagautier/status/117608500703662080
116666025369550849	ReSp3cTmE_86	 babyrickyross bro havin asthma sucks	2011-09-21	0	0	@BabyRickyRoss84			https://twitter.com/ReSp3cTmE_86/status/116666025369550849
113452754671898625	DreamsR_Real	 ewwww disgusting u asthma u know im talking bout	2011-09-12	0	0				https://twitter.com/DreamsR_Real/status/113452754671898625
105789732155437056	De_jus_Sexy	 onstarchic dats scary gurl get worse take em ta da er dat asthma scary imma pray fa lil duke	2011-08-22	0	0	@OnstarChic			https://twitter.com/De_jus_Sexy/status/105789732155437056
105454030687453184	I_AINTduh_PAPPI	 babe ha lng yu hld yo breath cause im bout ta asthma attack it	2011-08-21	0	0				https://twitter.com/I_AINTduh_PAPPI/status/105454030687453184
103945045266280448	leach_jess	 having lot sex unblock stuffy nose sex natural antihistamine also help fight asthma lizzieann 	2011-08-17	0	0	@LizzieAnn06			https://twitter.com/leach_jess/status/103945045266280448
100047163895189504	Keena_2Cool	 missprb felt super bad took asthma pump	2011-08-06	0	0	@MissPRB			https://twitter.com/Keena_2Cool/status/100047163895189504
93770038959550464	De_jus_Sexy	 onstarchic ta take lil boi ta da doc asthma attack	2011-07-20	0	0	@OnstarChic			https://twitter.com/De_jus_Sexy/status/93770038959550464
92707140447375361	_Tina_Montana	 cuz jus took pillow almost asthma attack	2011-07-17	0	0				https://twitter.com/_Tina_Montana/status/92707140447375361
78408018391351297	yUnG_p4L	 need find asthma pump 	2011-06-08	0	0				https://twitter.com/yUnG_p4L/status/78408018391351297
72910130315927552	MsAlizaB	 extravagantq_t mini asthma attack every time laugh	2011-05-24	0	0	@ExtravagantQ_T			https://twitter.com/MsAlizaB/status/72910130315927552
71465070810497024	waelsalem	 lioromio everything going good tell u salma asthma too guess got 	2011-05-20	0	0	@lioromio			https://twitter.com/waelsalem/status/71465070810497024
38505726435524608	Seth2010Seth	 deezythedude mrblackwhiteboy johnjohn bring hamburger im hungry nahh aint got asthma u ask lol	2011-02-18	0	0	@DeezytheDude @MrBlackWhiteBoy			https://twitter.com/Seth2010Seth/status/38505726435524608
34876098269421568	Seth2010Seth	 random nigga iamboohman sound like hes asthma attack laughs lol deezythedude devinkryptonite krazjohn	2011-02-08	0	0	@iamboohman @deezythedude @devinkryptonite @krazjohn	#Random		https://twitter.com/Seth2010Seth/status/34876098269421568
149528859606384640	un0_dos_TreY	 _imjustsayn lol bad asthma pump	2011-12-21	0	0	@_iMjuStsaYn			https://twitter.com/un0_dos_TreY/status/149528859606384640
147878737864704000	HakeemDay	 asthma dont chase hoes	2011-12-16	0	0				https://twitter.com/HakeemDay/status/147878737864704000
144675648114409472	TALLasEVER	 ugh hate havin asthma 	2011-12-08	0	0				https://twitter.com/TALLasEVER/status/144675648114409472
143032738277101568	Alslk35	 _mynamelildaryl tried join military bout got discharged cuz asthma child	2011-12-03	0	0	@_MyNameLilDaryl			https://twitter.com/Alslk35/status/143032738277101568
141519927495491584	THE_WHOLE_THANG	 jmoneystayfly joe_ x stupid_inkd one yall tell atkins asthma acting hella bad im breathing machine	2011-11-29	0	0	@JmoneyStayFly @Joe_2x @Stupid_InkD			https://twitter.com/THE_WHOLE_THANG/status/141519927495491584
140670212960829440	snoopgretzky	 kay_bey lol got asthma	2011-11-27	0	0	@KAy_BEy			https://twitter.com/snoopgretzky/status/140670212960829440
139997804021035008	Beat_Treat	 kml girl say wonder gave asthma lol hilarious	2011-11-25	0	0				https://twitter.com/Beat_Treat/status/139997804021035008
138939214157987840	Shun_2Cute	 f_l_m dee makin fun cuz gt asthma lol criple self	2011-11-22	0	0	@F_L_M1	#criple		https://twitter.com/Shun_2Cute/status/138939214157987840
136550082140061696	TALENTEDDIVA_ME	 dis chic beside breathing hard damn bish u hve asthma something	2011-11-15	0	0				https://twitter.com/TALENTEDDIVA_ME/status/136550082140061696
130141667188678656	De_jus_Sexy	 dat asthma scary	2011-10-29	0	0				https://twitter.com/De_jus_Sexy/status/130141667188678656
