id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
128499857693487104	Too_damnAmazing	 save her rt _hi_nyya roommate breathing hard think asthma attack 	2011-10-24	1	0	@_hi_Nyya			https://twitter.com/Too_damnAmazing/status/128499857693487104
122488446970368000	kthugonthetrack	 walkerthe once u go black got asthma lmao thismanisafool	2011-10-07	0	0	@Walkerthe3	#thismanisafool		https://twitter.com/kthugonthetrack/status/122488446970368000
114519113916887040	RickeyRozay_	 havin chest painswit asthma pump lord	2011-09-15	0	0				https://twitter.com/RickeyRozay_/status/114519113916887040
88322738158178304	laceymicallef	 oh god entered stage beyond fat breathing fat asthma happening organs	2011-07-05	1	0				https://twitter.com/laceymicallef/status/88322738158178304
77510376350171136	Quackendall	 x rays good pneumonia bout get steroid shot potentially asthma 	2011-06-05	0	0				https://twitter.com/Quackendall/status/77510376350171136
55029888008196096	AdrianXPInc	 prstoddart asthma 	2011-04-04	0	0	@prstoddart			https://twitter.com/AdrianXPInc/status/55029888008196096
115748871602319361	BoobaJayne	 god asthma terrible lately prayer	2011-09-19	0	0		#Prayer		https://twitter.com/BoobaJayne/status/115748871602319361
111291372526514176	BoobaJayne	 dear asthma l u need get line blood	2011-09-07	0	0				https://twitter.com/BoobaJayne/status/111291372526514176
63359767564918784	gypsyfilmmaker	 seeing whats next option controlling allergies headaches kirksville allergy asthma center http sqcomjkrdny	2011-04-27	0	0	@Kirksville			https://twitter.com/gypsyfilmmaker/status/63359767564918784
63359766717665280	gypsyfilmmaker	 became mayor kirksville allergy asthma center foursquare http sqcomen lmk	2011-04-27	0	0	@foursquare			https://twitter.com/gypsyfilmmaker/status/63359766717665280
49930456891797506	gypsyfilmmaker	 lol little girl said inhaler medication tasted delicious precious sad go pain asthma	2011-03-21	0	0				https://twitter.com/gypsyfilmmaker/status/49930456891797506
65537506124365824	LeifyT	 worldasthmaday take control asthma 	2011-05-03	0	0		#WorldAsthmaDay #asthma		https://twitter.com/LeifyT/status/65537506124365824
126194700779663360	kbrant08	 body hates me actually its asthma someone get truck chest	2011-10-18	0	0				https://twitter.com/kbrant08/status/126194700779663360
152472003868229632	Whats_HerName22	 ilychellebunny haynikki_ asthma im sure im marrying someone mizzou thats cont http tlgdf a 	2011-12-29	0	0	@ilychellebunny @HAYNikki_			https://twitter.com/Whats_HerName22/status/152472003868229632
