id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
268811699442827267	Stejer08	 grownassmidget dont chase hoes got asthma haha thats funny	2012-11-14	0	0	@GrownAssMidget			https://twitter.com/Stejer08/status/268811699442827267
252465471574638592	bvbarmy91	 xskylerxjonesx brother perfect asthma commercial song	2012-09-30	0	0	@xSkylerxJonesx			https://twitter.com/bvbarmy91/status/252465471574638592
240254340298858499	mharmon69	 cockroach poppy one causes asthma 	2012-08-27	0	0				https://twitter.com/mharmon69/status/240254340298858499
217333004165586944	cablewerth	 baileyt_ asthma wtf didntknow	2012-06-25	0	0	@BaileyT_10	#wtf #didntknow		https://twitter.com/cablewerth/status/217333004165586944
217326000072175617	BaileyT_10	 amberdelynn dont get sesame seed ones fuck asthma 	2012-06-25	0	0	@AmberDeLynn1			https://twitter.com/BaileyT_10/status/217326000072175617
284945774192754688	SerenaRae34	 hiimkamy asthma	2012-12-29	0	0	@hiimkamy			https://twitter.com/SerenaRae34/status/284945774192754688
283960933439643651	jacinta_priest	 hilariousnotes lets run away together lol jk asthma gibsonplop 	2012-12-26	0	0	@HilariousNotes @gibsonplop22			https://twitter.com/jacinta_priest/status/283960933439643651
282626877703729152	RaexxVictoria	 no help tomorrow dont want asthma attack	2012-12-22	0	0				https://twitter.com/RaexxVictoria/status/282626877703729152
282157246341849090	oculairus	 asthma physical thing would take back shot shit pissed on fuck asthma suck	2012-12-21	0	0				https://twitter.com/oculairus/status/282157246341849090
282029835776294913	mytoehot	 tw rk obama sassmastrdawson onedawson_ asthma dont acting xd	2012-12-21	0	0	@tw3rk4obama @SassmastrDawson @OneDawson_			https://twitter.com/mytoehot/status/282029835776294913
276462623925612544	D_Fultz	 everytime breath track asthma attack it	2012-12-05	0	0				https://twitter.com/D_Fultz/status/276462623925612544
276458468444086272	ksubilly	 im kansas city allergy asthma overland park ks http sqcomxrpkua	2012-12-05	0	0				https://twitter.com/ksubilly/status/276458468444086272
275855991290081280	You_Kno_DJones	 haynikki_ asthma happy birthday shawty	2012-12-04	1	0	@HAYNikki_			https://twitter.com/You_Kno_DJones/status/275855991290081280
274406186470735872	JaisCloset_	 seriously think asthma hurts breath right now	2012-11-30	0	0				https://twitter.com/JaisCloset_/status/274406186470735872
271765509991710721	bozzy_b	 laughnow_cryl r lmao yeah asthma attack	2012-11-22	0	0	@LaughNow_CryL8r			https://twitter.com/bozzy_b/status/271765509991710721
271598871916969985	You_Kno_DJones	 haynikki_ asthma yea would be yea anyway takin lot space im jus right now plus gotta min	2012-11-22	0	0	@HAYNikki_			https://twitter.com/You_Kno_DJones/status/271598871916969985
271597968396804096	You_Kno_DJones	 haynikki_ asthma yea jus cant sleep lil alone chick takin space	2012-11-22	0	0	@HAYNikki_			https://twitter.com/You_Kno_DJones/status/271597968396804096
271596675661967360	You_Kno_DJones	 haynikki_ asthma cant sleep both	2012-11-22	0	0	@HAYNikki_			https://twitter.com/You_Kno_DJones/status/271596675661967360
270752470672736256	yddy	 even hours ago doctor tells asthma much better guess whos asthma attack second 	2012-11-19	0	0				https://twitter.com/yddy/status/270752470672736256
269431786189250561	willw197	 would like healing prayer fory asthma sight restored normal for faith high heaven	2012-11-16	0	0				https://twitter.com/willw197/status/269431786189250561
268246815151902720	KeeganHeiland	 mini_man dont asthma weird thing ran would start hacking bad gross	2012-11-13	0	0	@mini_man44			https://twitter.com/KeeganHeiland/status/268246815151902720
267264102404087808	SkylaBoo2587	 son allergies asthma ugh weather	2012-11-10	0	0		#ugh		https://twitter.com/SkylaBoo2587/status/267264102404087808
266050666609377280	Angelique06	 fact hit inhaler heard obama again lol asthma	2012-11-07	0	0		#FACT #Asthma		https://twitter.com/Angelique06/status/266050666609377280
262411356773433344	paolasonia_14	 need give asthma medicine tho	2012-10-28	0	0				https://twitter.com/paolasonia_14/status/262411356773433344
261475613871853568	ABSTRCTheReaper	 fuckheadass weather need go somewhere elseim tryna asthma attack shhiiii fuckallat	2012-10-25	0	0		#FuckHeadAss #FuckAllat		https://twitter.com/ABSTRCTheReaper/status/261475613871853568
260952258378878976	MisterPorras	 really lot things wrong think asthma heart murmur precordial catch syndrome eczema sclerosis	2012-10-23	0	0				https://twitter.com/MisterPorras/status/260952258378878976
260950919187939328	MisterPorras	 asthma full control lungs right now sweet	2012-10-23	0	0				https://twitter.com/MisterPorras/status/260950919187939328
260600940820840448	amy_421	 trixerelixer asthma lame	2012-10-23	0	0	@trixerelixer			https://twitter.com/amy_421/status/260600940820840448
260137350015905792	rios_kristy	 bronchitis allergy induced asthma cough meds w codeine inhaler antibiotics mommy needs day	2012-10-21	0	0		#Mommy		https://twitter.com/rios_kristy/status/260137350015905792
259810119724978178	AyeYoShayala	 read boy dying football game friday asthma attack thank god hands brother	2012-10-20	2	1				https://twitter.com/AyeYoShayala/status/259810119724978178
257146103852584961	Jakalaonu	 asthma attacks 	2012-10-13	0	1				https://twitter.com/Jakalaonu/status/257146103852584961
256719145427677184	__CarmellaRose	 dmx sounds like asthma attack gotta take shit	2012-10-12	0	0				https://twitter.com/__CarmellaRose/status/256719145427677184
256381555604344833	jadeuh_may	 mini asthma attack workouts first years k im going sleep now	2012-10-11	0	0				https://twitter.com/jadeuh_may/status/256381555604344833
255869810880163841	B_Baby10	 tyler help table i aint helping shit got asthma lmao little shit	2012-10-09	0	0				https://twitter.com/B_Baby10/status/255869810880163841
253349732943032320	rhiannakline	 asthma attacks 	2012-10-03	0	0				https://twitter.com/rhiannakline/status/253349732943032320
253332113754042370	paolasonia_14	 mom got thing mexico cure edgars asthma thankyoumom	2012-10-02	0	0		#ThankYouMom		https://twitter.com/paolasonia_14/status/253332113754042370
252984397710630912	KitiaJoann	 got hospitali knew asthma	2012-10-02	0	0				https://twitter.com/KitiaJoann/status/252984397710630912
251405668509159425	Jopari	 vamp_lanya bubblizoey asthma d	2012-09-27	0	0	@Vamp_Lanya @bubblizoey			https://twitter.com/Jopari/status/251405668509159425
247015203106070528	yddy	 hullo asthma attack 	2012-09-15	0	0				https://twitter.com/yddy/status/247015203106070528
246852511875604480	oculairus	 really gotta something asthma shit	2012-09-15	0	0				https://twitter.com/oculairus/status/246852511875604480
244287358315425792	oculairus	 fuck asthma bullshit	2012-09-08	0	0		#asthma		https://twitter.com/oculairus/status/244287358315425792
