id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
272061436010835968	nathanwreeves	 asthma kicking ass	2012-11-23	0	0				https://twitter.com/nathanwreeves/status/272061436010835968
271695684296642561	briansardelis	 cheyes cant believe bronchitis week ball asthma everyday get lmao	2012-11-22	0	0	@CHeyes23			https://twitter.com/briansardelis/status/271695684296642561
275351154282606592	TjArshit	 never know girl asthma attack im right	2012-12-02	0	0				https://twitter.com/TjArshit/status/275351154282606592
264521593651351552	naturopathealth	 like autism asthma allergic runny noses doubled children http wpmeptw h q	2012-11-02	1	0				https://twitter.com/naturopathealth/status/264521593651351552
256154548794707969	naturopathealth	 heliobacter infection protect asthma http wpmeptw hzw	2012-10-10	0	0				https://twitter.com/naturopathealth/status/256154548794707969
244053807078707200	StephMcDunah	 walked five flights stairs almost asthma attack lazygirlproblems	2012-09-07	0	0		#lazygirlproblems		https://twitter.com/StephMcDunah/status/244053807078707200
243889022190096385	NadeauAustin	 little wayne asthma something weezy	2012-09-06	0	1		#weezy		https://twitter.com/NadeauAustin/status/243889022190096385
235552214951792642	omalley_walsh	 asthma attack passing out soscary hateasthma	2012-08-14	0	1		#soscary #hateasthma		https://twitter.com/omalley_walsh/status/235552214951792642
189430879540625410	gennarosex3	 lot lovemaking unblock stuffy nose sex natural antihistamine help combat asthma hay fever nisha_walls	2012-04-09	0	0	@Nisha_Walls			https://twitter.com/gennarosex3/status/189430879540625410
183275109975474177	_EskimoSally	 sinus infection ear infection asthma back goodtimes	2012-03-23	0	0		#goodtimes		https://twitter.com/_EskimoSally/status/183275109975474177
163669336261795841	MicheleMullen	 mile run done glad its over asthma kicked whole way back cove trail http sqcomwhw so	2012-01-29	0	0	@Back			https://twitter.com/MicheleMullen/status/163669336261795841
160443696683302914	JLB_x3	 caitjennings fake asthma attack ah fuck poor mom weve put much shit lmao aw love just packno wait 	2012-01-20	0	0	@CaitJennings10			https://twitter.com/JLB_x3/status/160443696683302914
188063174585626624	magika_1989	 daniellholly darcimonet jcartsings ugh u guys worste asthma attack ive ever today curse dad giving asthsma lol	2012-04-05	0	0	@daniellholly @DarciMonet @jCartsings			https://twitter.com/magika_1989/status/188063174585626624
