id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
261118631340019712	LiaKatherine	 nebulizer weezyf asthmatic overlook medical arts center http instagramprk p jbvdw	2012-10-24	0	0	@Overlook	#weezyF #asthmatic		https://twitter.com/LiaKatherine/status/261118631340019712
254434173882859521	ShawnNaz29	 yes weezy aint asthmatic	2012-10-06	0	0				https://twitter.com/ShawnNaz29/status/254434173882859521
218324188786720770	OicOzzie	 home hope heat jersey dont kill todaysince iam asthmatic 	2012-06-28	0	0				https://twitter.com/OicOzzie/status/218324188786720770
202615063444602880	bookgirliejay	 gladglads trying asthmatic remedy perils drinking remedy bothsies	2012-05-16	0	0	@gladglads	#bothsies		https://twitter.com/bookgirliejay/status/202615063444602880
202528547607298048	bookgirliejay	 whiskeywhisky whiskey cures asthmatic canaries whiskey whisky http owlyavm r asthmatic canary	2012-05-15	0	0	@WhiskeyWhisky	#Whiskey #Whisky		https://twitter.com/bookgirliejay/status/202528547607298048
266777827448344576	TYMberland_	 im sick asthmatic ctfu fuck yall	2012-11-09	0	0				https://twitter.com/TYMberland_/status/266777827448344576
248224873439178752	groovyzeke	 asthmatic cough 	2012-09-18	0	0				https://twitter.com/groovyzeke/status/248224873439178752
248232684894162944	_aaroncito_	 asthmatic breathless	2012-09-18	0	0		#breathless		https://twitter.com/_aaroncito_/status/248232684894162944
269531211980996609	JudyScool	 so pneumonia asthmatic bronchitis isexplains wheezingdifficulty breathing sadly hubby coming w somethingdr gave us	2012-11-16	0	0				https://twitter.com/JudyScool/status/269531211980996609
225025245298442242	shawnabby19	 ur asthmatic u asthma attacks ctfuuuuuuuuuuuuuuuuu	2012-07-16	0	0				https://twitter.com/shawnabby19/status/225025245298442242
218324188786720770	OicOzzie	 home hope heat jersey dont kill todaysince iam asthmatic 	2012-06-28	0	0				https://twitter.com/OicOzzie/status/218324188786720770
252488680860700672	Did_I_Studda	 mekay ive sick last month bronchitis pneumonia asthmatic sucks	2012-09-30	0	0	@MeKay523			https://twitter.com/Did_I_Studda/status/252488680860700672
