id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
393109700209688576	JessieJo16	 its tylermichienzi fault asthma attack die justsayin forthebooks	2013-10-23	0	0	@TylerMichienzi	#justsayin #forthebooks		https://twitter.com/JessieJo16/status/393109700209688576
383083534383996928	hannah__marie13	 self diagnosed asthma 	2013-09-26	0	0				https://twitter.com/hannah__marie13/status/383083534383996928
378512521079963651	EJEHU	 hate asthma passion	2013-09-13	0	0				https://twitter.com/EJEHU/status/378512521079963651
357735885464272896	dellagramer	 tmoney randomly decide go fest think did shut up asthma wont last day	2013-07-18	0	0	@TMoney422			https://twitter.com/dellagramer/status/357735885464272896
346708073206931456	aeballard	 allergies asthma death really dont time sick 	2013-06-17	0	0				https://twitter.com/aeballard/status/346708073206931456
339910019480956929	hannah__marie13	 think asthma	2013-05-29	0	0				https://twitter.com/hannah__marie13/status/339910019480956929
294553464527265792	JamieVanasse21	 might asthma attack right now	2013-01-24	0	0				https://twitter.com/JamieVanasse21/status/294553464527265792
373253586781609984	summerlardy	 alexheinen yeh appointment tomorrow doctor specialized asthma well see thanks girl 	2013-08-29	0	0	@alexheinen96			https://twitter.com/summerlardy/status/373253586781609984
373248322481307648	summerlardy	 might athletes asthma likewhat 	2013-08-29	0	1		#likewhat		https://twitter.com/summerlardy/status/373248322481307648
351751054884470785	cdschroeder24	 fuck asthma 	2013-07-01	0	0				https://twitter.com/cdschroeder24/status/351751054884470785
343610448169558016	TaylorFennern	 fact brooke wrestled point causing asthma attack stopdeprivingmeofair ilikeoxygen bitch	2013-06-09	0	1		#stopdeprivingmeofair #ilikeoxygen #bitch		https://twitter.com/TaylorFennern/status/343610448169558016
340324741401419776	bhreheimer	 dont got asthma fucking got now stephschefus	2013-05-31	0	2	@stephschefus			https://twitter.com/bhreheimer/status/340324741401419776
416358910065659905	nigletzz	 isitwefest wefestmn k need ticket support people asthma	2013-12-26	0	1	@isitwefest @wefestmn @K102			https://twitter.com/nigletzz/status/416358910065659905
416267663640248320	TSeMilie	 megdalenet kiralee dont wanna run faster tho neither triggers asthma im rest though	2013-12-26	0	1	@MegdaleneT @Kiralee4434			https://twitter.com/TSeMilie/status/416267663640248320
413139126393659392	DThibs	 swim coach tricked us today gave us practice top group club asthma along sucked	2013-12-17	0	1				https://twitter.com/DThibs/status/413139126393659392
410966261443473409	DThibs	 know youre working hard sport practice asthma attack throw up keep going swim life cantstopwontstop	2013-12-11	0	2		#swim4life #cantstopwontstop		https://twitter.com/DThibs/status/410966261443473409
409181925417287681	natashalemke	 im coughing really badly asthma acting dont inhaler im cpr certified friends im worried	2013-12-06	0	0				https://twitter.com/natashalemke/status/409181925417287681
406887006371717121	natashalemke	 getting cold asthma asthmaproblems	2013-11-30	4	6	@AsthmaProblems			https://twitter.com/natashalemke/status/406887006371717121
406344821985394688	Kelsey065	 far black friday brought two asthma attacks lost dollars stolen wallet tistheseason	2013-11-29	0	1		#tistheseason		https://twitter.com/Kelsey065/status/406344821985394688
404619813495898113	Greedy_Baby	 got best home remedies people asthma gotta cold stuffy nose etc kids gunna straight	2013-11-24	0	1				https://twitter.com/Greedy_Baby/status/404619813495898113
397732099056095232	emmanem612	 asthma def sucks booty boo	2013-11-05	0	1				https://twitter.com/emmanem612/status/397732099056095232
392466826522677248	110lbsofperp	 im exaggerating puppy asthma its possibility	2013-10-21	0	1				https://twitter.com/110lbsofperp/status/392466826522677248
389780620433317888	cfegler	 weirdiifetips httpstwittercomweirdiifetipsstatus photo pictwittercomjczate w r dont asthma might helpful someone	2013-10-14	0	0	@weirdIifetips			https://twitter.com/cfegler/status/389780620433317888
365849912929308672	krogers884	 getting ashlynn allergy tested anyone wanna meet lunch around park nicollet asthma allergy clinic http sqcom gneqf	2013-08-09	0	0	@Park			https://twitter.com/krogers884/status/365849912929308672
361947743733813248	Gorgeousole_Jas	 ima asthma attack	2013-07-29	0	0				https://twitter.com/Gorgeousole_Jas/status/361947743733813248
361916530000281602	annikalynn_	 maryahamelia alaynna gonna puke kylie asthma well lungs arent good shape	2013-07-29	0	1	@maryahamelia			https://twitter.com/annikalynn_/status/361916530000281602
360903996841533442	KaileyAskew	 asthma attack cant find inhaler 	2013-07-26	0	0				https://twitter.com/KaileyAskew/status/360903996841533442
355209530461782016	AlJArp	 gotta get asthma lock im wheezy notlilwayne shit	2013-07-11	0	0		#wheezy #notlilwayne		https://twitter.com/AlJArp/status/355209530461782016
354708382244024320	NOuse4Username7	 stupid humidity go away youre making asthma worse humiditysucks	2013-07-09	0	0		#humiditysucks		https://twitter.com/NOuse4Username7/status/354708382244024320
347993026297212928	Brittany_Innes	 would anything asthma	2013-06-21	0	0				https://twitter.com/Brittany_Innes/status/347993026297212928
347892615213096960	davi70kg	 make breath like got asthma	2013-06-20	0	0				https://twitter.com/davi70kg/status/347892615213096960
346115115885662208	basedgodKD_	 asthma sucks 	2013-06-16	0	0				https://twitter.com/basedgodKD_/status/346115115885662208
342031790619373570	anysiabrayboy	 carrieyeakeys computer sounds like small kid asthma ran five miles	2013-06-04	0	0	@CarrieYeakey			https://twitter.com/anysiabrayboy/status/342031790619373570
339547197962076161	topix_in	 unique omega supplement effective reducing exerciseinduced asthma symptoms http bitlyzcw qo bloomington indiana	2013-05-28	0	0		#Bloomington #Indiana		https://twitter.com/topix_in/status/339547197962076161
338671967005716482	BaileeHaines	 ksanders haha exercise induced asthma allergies	2013-05-26	0	0	@ksanders0415			https://twitter.com/BaileeHaines/status/338671967005716482
336669940692168706	AlJArp	 never run long life asthma shortstrides pictwittercom pnfcmdkoj	2013-05-20	0	0		#asthma #shortstrides		https://twitter.com/AlJArp/status/336669940692168706
331591139968839681	kaitlynpro713	 found asthma inhaler breathingisfun	2013-05-06	0	2		#BREATHINGISFUN		https://twitter.com/kaitlynpro713/status/331591139968839681
