id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
404457203320750081	jenica26	 janeschmidt itsjustkate winter here asthma kicking in considering becoming one couch days	2013-11-23	0	0	@janeschmidt @itsjustkate			https://twitter.com/jenica26/status/404457203320750081
403353059482275841	al_naturali	 asthma attack low oxygen lethargic bedtime	2013-11-20	0	0				https://twitter.com/al_naturali/status/403353059482275841
396804574595776512	al_naturali	 would asthma attack right ___	2013-11-02	0	0				https://twitter.com/al_naturali/status/396804574595776512
362041495869595648	madzz1013	 asthma made life hell lately	2013-07-29	0	0				https://twitter.com/madzz1013/status/362041495869595648
417328801363034112	Crunkdroid	 cielphantomhv_ ciel asthma like mother	2013-12-29	0	0	@CielPhantomhv_			https://twitter.com/Crunkdroid/status/417328801363034112
416255282797633537	spoookybutts	 asthma highly inconvenient dont medicine	2013-12-26	0	1				https://twitter.com/spoookybutts/status/416255282797633537
413052044476710912	DakotaRelyea	 huntermoore girl yells worldstarrrrrrrr youre hittin it ether asthma know fucklmfaoooo	2013-12-17	0	0	@Huntermoore			https://twitter.com/DakotaRelyea/status/413052044476710912
412790454586195968	lightskinkid15	 bigdeedee_ chasing you hell got asthma 	2013-12-16	1	0	@BIGDEEDEE_			https://twitter.com/lightskinkid15/status/412790454586195968
410782912590524417	morgypiedmonte	 asthma ruling life	2013-12-11	0	0				https://twitter.com/morgypiedmonte/status/410782912590524417
410131969281122304	morgypiedmonte	 hate bad asthma stuck inside	2013-12-09	0	0				https://twitter.com/morgypiedmonte/status/410131969281122304
409843063901937664	morgypiedmonte	 asthma killing break nebulizer ridiculous	2013-12-08	0	0				https://twitter.com/morgypiedmonte/status/409843063901937664
407589861643022337	morgypiedmonte	 saw mouse cabinet legit asthma attack	2013-12-02	0	0				https://twitter.com/morgypiedmonte/status/407589861643022337
407067473943728128	ekbrennan	 cant breath fuck asthma	2013-12-01	0	0				https://twitter.com/ekbrennan/status/407067473943728128
406900717128257536	The_RealGerald	 lkeepitreai nicknamed dick asthma leaves bitches breathless	2013-11-30	0	0	@lKeepItReaI			https://twitter.com/The_RealGerald/status/406900717128257536
406823084214456321	ekbrennan	 asthma meds make shake badly	2013-11-30	0	0				https://twitter.com/ekbrennan/status/406823084214456321
404507825218797568	JustinReeves53	 makenzinatasha okay yes asthma its kind strobe like asthma	2013-11-24	0	1	@makenzinatasha			https://twitter.com/JustinReeves53/status/404507825218797568
402586820330135552	Xxpriceless	 think odeed asthma medicine smh	2013-11-18	0	0				https://twitter.com/Xxpriceless/status/402586820330135552
402267500194168833	Xxpriceless	 adoreshayyyy allergies asthma dont mix rft feel like im death bed tweet	2013-11-17	0	0	@adoreshayyyy			https://twitter.com/Xxpriceless/status/402267500194168833
400450201162223618	Bangout_x3	 aint chasing niggas got asthma 	2013-11-12	0	1				https://twitter.com/Bangout_x3/status/400450201162223618
397141661870206976	spoookybutts	 daysofthanks im thankful healthy besides asthma bc im whiney little bitch im sickdont feel great	2013-11-03	0	1		#30DaysOfThanks		https://twitter.com/spoookybutts/status/397141661870206976
389231223928655872	DevynCheriee	 neverknownfacts riding roller coasters temporarily cure anxiety asthma wonder love rollercoastersssss	2013-10-12	0	0	@neverknownfacts			https://twitter.com/DevynCheriee/status/389231223928655872
388627115798974464	AlauraAnne	 asthma attack am notok	2013-10-11	0	0		#notok		https://twitter.com/AlauraAnne/status/388627115798974464
383782217698115584	spoookybutts	 asthma sucks lungs suck 	2013-09-27	1	1				https://twitter.com/spoookybutts/status/383782217698115584
383305132215373824	Flailin_Whalon	 thank god carry puffer me asthma	2013-09-26	0	0		#Asthma		https://twitter.com/Flailin_Whalon/status/383305132215373824
382352192885497856	Jessalyn_Bell	 asthma attack treadmill right now	2013-09-23	0	0				https://twitter.com/Jessalyn_Bell/status/382352192885497856
377743132370436096	RonaCheal	 course its really humid out asthma gunna fuck bad today	2013-09-11	0	0				https://twitter.com/RonaCheal/status/377743132370436096
374352972219559937	ambx0_12	 asthma getting kinda crazy lol 	2013-09-01	0	0				https://twitter.com/ambx0_12/status/374352972219559937
368046288484302848	shortscofield	 people excited fall get fall asthma attacks snot constantly running body dry skin mmmmm	2013-08-15	0	2				https://twitter.com/shortscofield/status/368046288484302848
366063283465236481	sydaxton1	 feel like someone squeezing lungs asthma	2013-08-10	0	0		#asthma		https://twitter.com/sydaxton1/status/366063283465236481
364415053555965952	ra_cheaal	 asthma again need puffer im getting xray make sure infection lungs joy	2013-08-05	0	0				https://twitter.com/ra_cheaal/status/364415053555965952
364408812620349440	ra_cheaal	 yay asthma pictwittercomdt kbwcuk	2013-08-05	0	0				https://twitter.com/ra_cheaal/status/364408812620349440
364113964005081088	ShyheimGadson	 asthma suckssss nevercanbreath	2013-08-04	2	3		#nevercanbreath		https://twitter.com/ShyheimGadson/status/364113964005081088
363334653974810624	KollinJames3	 nicknamed dick asthma leaves bitches breathless	2013-08-02	0	0				https://twitter.com/KollinJames3/status/363334653974810624
353347093273903107	Zach__Morris	 sandydunkleman lolololol made asthma attack	2013-07-05	0	0	@sandydunkleman			https://twitter.com/Zach__Morris/status/353347093273903107
352108600648400896	ShyheimGadson	 butttits haha yeahh remember asthma attack way lol	2013-07-02	0	0	@ButtTits			https://twitter.com/ShyheimGadson/status/352108600648400896
351115293961101312	_annee_	 please make fun asthma super cute	2013-06-29	0	0				https://twitter.com/_annee_/status/351115293961101312
345172136652054529	auntcaffrin	 also anyone know anything asthma dogs	2013-06-13	0	0				https://twitter.com/auntcaffrin/status/345172136652054529
344826231675572225	timaatweets	 dont chase niggas got asthma	2013-06-12	6	1				https://twitter.com/timaatweets/status/344826231675572225
342729963721601024	KaterieM	 asthma cause take breath away	2013-06-06	0	3				https://twitter.com/KaterieM/status/342729963721601024
339830982066708480	jpisarski	 im advanced asthma allergy watertown ny http sqcom pkbjd	2013-05-29	0	0				https://twitter.com/jpisarski/status/339830982066708480
334692419243220992	sarah_piraino	 ever chemical liverpool sprayed given asthma attack thanks	2013-05-15	0	0				https://twitter.com/sarah_piraino/status/334692419243220992
333781004919656449	tessah_rae	 dilemma handed bowl asthma attack life cruel	2013-05-12	0	0				https://twitter.com/tessah_rae/status/333781004919656449
332453062801227776	BaumTodd	 harriet unhealthytruth got it thanks would like know hx asthma public health gut flora researched book	2013-05-09	0	0	@harriet75 @unhealthytruth			https://twitter.com/BaumTodd/status/332453062801227776
