id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
416078943301541888	PrincessKelsi24	 seriously think asthma 	2013-12-26	0	1				https://twitter.com/PrincessKelsi24/status/416078943301541888
415382379583131648	Thecaramelnova	 still cant get dog thosince dogs asthma	2013-12-24	0	0				https://twitter.com/Thecaramelnova/status/415382379583131648
414210045836918785	knoxprodigious	 asthma playing fair	2013-12-20	0	0				https://twitter.com/knoxprodigious/status/414210045836918785
413137585511206912	Israelbarbosa98	 asthma attack	2013-12-17	0	0				https://twitter.com/Israelbarbosa98/status/413137585511206912
413072384850010112	bethanyhileman	 timehealth dogs protect asthma http time eln k rayesenbran dogs heal lets get one med school	2013-12-17	0	0	@TIMEHealth @rayesenbran			https://twitter.com/bethanyhileman/status/413072384850010112
412827194046431233	knoxprodigious	 neighbor smokers asthma its ventsi shouldnt wheeze sleep	2013-12-17	0	0				https://twitter.com/knoxprodigious/status/412827194046431233
412475083324538880	djordanbbb	 asthma exist swear hate	2013-12-16	1	0				https://twitter.com/djordanbbb/status/412475083324538880
412415011164655616	sarah_morris123	 see fix asthma cant fix stupid	2013-12-15	0	0				https://twitter.com/sarah_morris123/status/412415011164655616
411923284104462337	TheSamuelVera	 tried running miles hill parents live best believe went inside first half mile toocold asthma	2013-12-14	0	0		#TooCold #Asthma		https://twitter.com/TheSamuelVera/status/411923284104462337
411714983638999040	Benji_The_King	 im glad kati_prkr boyfriend sprayed febreze shit resulting asthma attack	2013-12-13	0	0	@kati_prkr810			https://twitter.com/Benji_The_King/status/411714983638999040
411329738053910528	Swanky___	 scandal time bitchessss gets asthma inhaler	2013-12-12	0	0				https://twitter.com/Swanky___/status/411329738053910528
410620629222584321	HisLotusFlower	 hate asthma feel disable sometimes	2013-12-10	2	0				https://twitter.com/HisLotusFlower/status/410620629222584321
409993534410739712	Courtneybear93	 am im getting tired im even going today anyways scared drive roads asthma kept up	2013-12-09	0	0				https://twitter.com/Courtneybear93/status/409993534410739712
409166170915233794	kyliexmonster	 asthma think youd zombie too thought zombie using inhaler cracks up	2013-12-06	0	1				https://twitter.com/kyliexmonster/status/409166170915233794
408716766294966272	LadiiiiiLady	 asthma attack earlier day n go er get treatment mom picked n got car lights cigarette	2013-12-05	0	0				https://twitter.com/LadiiiiiLady/status/408716766294966272
408628381400322048	skylarOvO	 fuck asthma	2013-12-05	0	0				https://twitter.com/skylarOvO/status/408628381400322048
408337950368227328	SaraKHadidi	 breath in lungs make weird high pitched noise asthma	2013-12-04	0	0		#asthma		https://twitter.com/SaraKHadidi/status/408337950368227328
408045731270782976	CoallaBear	 hope beautiful sister anna_cochran feels better hate asthma acts like this	2013-12-03	1	0	@anna_cochran6			https://twitter.com/CoallaBear/status/408045731270782976
407975091125768193	skylarOvO	 perks girl asthma needa inhaler pull through	2013-12-03	0	0				https://twitter.com/skylarOvO/status/407975091125768193
406919880143695872	Jacob_Meagley	 j kefreeman bro asthma 	2013-11-30	0	0	@j4kefreeman			https://twitter.com/Jacob_Meagley/status/406919880143695872
406802946861453312	trannchan	 first night two weeks without asthma attack praise lord 	2013-11-30	0	3				https://twitter.com/trannchan/status/406802946861453312
406601181494923264	Saintslyssa	 dont see thug asthma thats natural selection wise words christina_ayy	2013-11-29	1	1	@Christina_Ayy			https://twitter.com/Saintslyssa/status/406601181494923264
406579490052005888	trannchan	 finally got medicine hopefully asthma attacks middle night	2013-11-29	0	1				https://twitter.com/trannchan/status/406579490052005888
406211516791152640	ZechHarjo	 yall dont even understand roast sesh endured today mild one reminded thankful wine asthma meds	2013-11-28	0	0				https://twitter.com/ZechHarjo/status/406211516791152640
406122085254066176	ZechHarjo	 realized shitty breathing took asthma meds im breathing better now im thankful asthma meds	2013-11-28	0	0				https://twitter.com/ZechHarjo/status/406122085254066176
405470461640708096	ArbTrey5	 new born got asthma call weezy baby	2013-11-26	0	2				https://twitter.com/ArbTrey5/status/405470461640708096
405376673656225792	_kayleechambers	 asthma isnt heart its lungs dumbblonde	2013-11-26	0	0		#dumbblonde		https://twitter.com/_kayleechambers/status/405376673656225792
405352980465324032	CookiTurner	 sick place oklahoma allergy asthma clinic http sqcom ffzdez	2013-11-26	0	0	@Oklahoma			https://twitter.com/CookiTurner/status/405352980465324032
405199143376654337	iKidSplash	 need stop chasing thotties got asthma 	2013-11-25	2	0				https://twitter.com/iKidSplash/status/405199143376654337
404768553288495104	Saintslyssa	 hes sketchy asthma christina_ayy notrelated	2013-11-24	0	1	@Christina_Ayy	#notrelated		https://twitter.com/Saintslyssa/status/404768553288495104
404099209810702336	spliffsANDbanks	 kattwilliams bitch tried sit face one time almost asthma attack	2013-11-22	0	0	@KattWilliams			https://twitter.com/spliffsANDbanks/status/404099209810702336
403695777362358272	DoMyDance_	 ctfu chrissyy_chris bitch im chasing yu got asthma aint nobody got time 	2013-11-21	0	0	@Chrissyy_Chris			https://twitter.com/DoMyDance_/status/403695777362358272
403371206935461888	skylarOvO	 asthma kickin ass rn	2013-11-20	0	0				https://twitter.com/skylarOvO/status/403371206935461888
402291743627816961	_kohandani	 dat asthma doe neverrunningagain	2013-11-17	0	3		#neverrunningagain		https://twitter.com/_kohandani/status/402291743627816961
401732457416114176	WhyDanielWhy	 mambo no someones ringtone refuse answer oklahoma allergy asthma clinic http sqcom ezt kb	2013-11-16	0	0	@Oklahoma			https://twitter.com/WhyDanielWhy/status/401732457416114176
400453739032502272	mlybrwn	 breaking news cat diagnosed slight asthma r twins	2013-11-12	0	5				https://twitter.com/mlybrwn/status/400453739032502272
397972126952456192	JentriThompson	 mirandalb thanks girl literally asthma attack itll worth it	2013-11-06	0	0	@MirandaLB15			https://twitter.com/JentriThompson/status/397972126952456192
397733140392706048	kaitlinnsmithh	 seriously freaking out dont want know bad allergies asthma anymore go home	2013-11-05	0	1				https://twitter.com/kaitlinnsmithh/status/397733140392706048
397721858184724480	kaitlinnsmithh	 guy allergy asthma clinic said why call caesar salad doubt even ate salad itstooearly	2013-11-05	0	0		#itstooearly		https://twitter.com/kaitlinnsmithh/status/397721858184724480
397542519237378048	i_heart_sooners	 cheyenne coughing daygens asthma outta wack sore throat wonderful monday night	2013-11-04	0	0				https://twitter.com/i_heart_sooners/status/397542519237378048
395646973992132608	FryesWitDat13	 asthma tha death me	2013-10-30	0	1				https://twitter.com/FryesWitDat13/status/395646973992132608
395200941529370625	MJBALAK	 guy said i cant eat pretzels asthma like what bring pretzels everyday eating breathing	2013-10-29	0	0				https://twitter.com/MJBALAK/status/395200941529370625
392874392859840513	SaraKHadidi	 asthma 	2013-10-23	0	0				https://twitter.com/SaraKHadidi/status/392874392859840513
392175455840661504	DanielMurray_46	 waynebelike got asthma call weezy	2013-10-21	0	0		#waynebelike		https://twitter.com/DanielMurray_46/status/392175455840661504
391823586308403200	CameronBunch	 asthma attack driving home inhaler	2013-10-20	0	0				https://twitter.com/CameronBunch/status/391823586308403200
390994675374370816	no1DMIARVKS_fan	 espn nba cavs coach mike brown says f anthony bennett top pick draft asthma sleep apnea	2013-10-17	0	0				https://twitter.com/no1DMIARVKS_fan/status/390994675374370816
390961564854935553	Bree_Jones1	 seriously hate asthma	2013-10-17	1	0				https://twitter.com/Bree_Jones1/status/390961564854935553
390729948370984960	kaitlinnsmithh	 asthma probs	2013-10-17	0	0				https://twitter.com/kaitlinnsmithh/status/390729948370984960
390671732149067776	Camellejokk	 titusnation stop voiceinmyhead like times laughing hard asthma flared up thanks funny shit	2013-10-16	0	0	@TitusNation	#VoiceInMyHead		https://twitter.com/Camellejokk/status/390671732149067776
388011392647036928	King_Troopa	 newbarber_kale bad asthma 	2013-10-09	0	0	@NewBarber_Kale			https://twitter.com/King_Troopa/status/388011392647036928
386914041894940672	kaitlinnsmithh	 asthma attacks one week means k run today	2013-10-06	0	0				https://twitter.com/kaitlinnsmithh/status/386914041894940672
386370813953208320	BobTheCaptainn	 asthma decides choke 	2013-10-05	0	1				https://twitter.com/BobTheCaptainn/status/386370813953208320
386337382720499712	kikisayswhat_	 pretty sure dog asthma attack	2013-10-04	0	0				https://twitter.com/kikisayswhat_/status/386337382720499712
386296340373721088	Naturals_Chelle	 militti good hear mom asthma since moved vt its gotten lot better climate thing guess	2013-10-04	0	0	@Militti25			https://twitter.com/Naturals_Chelle/status/386296340373721088
385809364570759168	djordanbbb	 asthma ughhhhhhhhhh hate much let breathe let breathe	2013-10-03	0	0				https://twitter.com/djordanbbb/status/385809364570759168
384800896380448768	TrapLos	 cousin dying got today asthma acting today died asthma 	2013-09-30	0	1				https://twitter.com/TrapLos/status/384800896380448768
383620456080633856	ALICIAXMD	 sinus infection asthma acting like little bitch	2013-09-27	0	0				https://twitter.com/ALICIAXMD/status/383620456080633856
382558500011786240	HannahEAlbright	 excuse asthma attack insanity dying	2013-09-24	0	0		#insanity #dying		https://twitter.com/HannahEAlbright/status/382558500011786240
382146224070991874	htomliwnai	 jc_guerra wonder life without asthma would be its bad	2013-09-23	0	3	@JC_Guerra19			https://twitter.com/htomliwnai/status/382146224070991874
378766755637637120	iam2Major	 jdvrat asthma devil glad dont anymore	2013-09-14	0	0	@JdVrat10			https://twitter.com/iam2Major/status/378766755637637120
378690257031397377	postrent	 asthma attacks scary	2013-09-13	0	0				https://twitter.com/postrent/status/378690257031397377
378350010837905408	postrent	 welp asthma attack	2013-09-12	0	0				https://twitter.com/postrent/status/378350010837905408
378261075906412544	Xoxohanahh_	 heart issues asthma forreal dont go good together 	2013-09-12	0	1				https://twitter.com/Xoxohanahh_/status/378261075906412544
377903743305777152	hippiemel	 itchy oklahoma institute allergy asthma http instagramcompeiojjvff r	2013-09-11	0	0	@Oklahoma			https://twitter.com/hippiemel/status/377903743305777152
