id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417487492959318016	CourtLickem	 seriously hate asthma	2013-12-29	0	1				https://twitter.com/CourtLickem/status/417487492959318016
417487239476547584	CourtLickem	 sierraaww no im like asthma attack cant get air out	2013-12-29	0	0	@sierraaww			https://twitter.com/CourtLickem/status/417487239476547584
417115556735488000	rachbrosky	 i wish cute laugh one laughs make people laugh sound like hyperventilating walrus asthma yep	2013-12-28	0	0				https://twitter.com/rachbrosky/status/417115556735488000
414948936970174464	K04Young	 itskidcudii dont chase hoes got asthma know true	2013-12-22	0	0	@ItsKidCudii			https://twitter.com/K04Young/status/414948936970174464
414633427192000512	Perciavalle412	 hate asthma really cant breathe	2013-12-22	1	0				https://twitter.com/Perciavalle412/status/414633427192000512
413148000488546304	juls1450	 millers funny im asthma attack	2013-12-17	0	6				https://twitter.com/juls1450/status/413148000488546304
410913202680385536	chucksax	 tonights challenge sing hacking asthma cumberland crossing http sqcom kapgwg	2013-12-11	0	0	@Cumberland			https://twitter.com/chucksax/status/410913202680385536
409183916751204352	breeet31	 youre like asthma take breath away like dandruff cant get head	2013-12-06	1	0				https://twitter.com/breeet31/status/409183916751204352
408958724242690048	asthmainstitute	 billpeduto health minded constituents many patients misdiagnosed asthma cbs pittsburgh http cbslocal d wm t	2013-12-06	0	0	@billpeduto			https://twitter.com/asthmainstitute/status/408958724242690048
408678105772228608	_montecka	 u sound like u havin asthma attack u cry ctfu shefoul	2013-12-05	0	0		#SHEFOUL		https://twitter.com/_montecka/status/408678105772228608
408030220428406784	jenn3814	 shoutout coach keeps making us run causes asthma attack every time youd think hed pick it nope rage	2013-12-03	0	0		#rage		https://twitter.com/jenn3814/status/408030220428406784
408029216899215360	jenn3814	 would freaking amazing could run bit without asthma attack	2013-12-03	0	0				https://twitter.com/jenn3814/status/408029216899215360
408027921153273856	asthmainstitute	 billpeduto healthminded constituents may interested free asthma screening upmc asthma institute pictwittercomr nmcnmie 	2013-12-03	2	1	@billpeduto			https://twitter.com/asthmainstitute/status/408027921153273856
407687942186885120	ralphy____	 bitch asthma	2013-12-02	0	0				https://twitter.com/ralphy____/status/407687942186885120
407350176144449536	tw3rktaylor	 asthma disease take peoples breathe away cant show bobsburgers	2013-12-01	0	0		#bobsburgers		https://twitter.com/tw3rktaylor/status/407350176144449536
406988048803840000	niamjoanz	 bestfriends really bad asthma im sitting smoking	2013-11-30	0	0				https://twitter.com/niamjoanz/status/406988048803840000
406909491116912640	weasley__queen	 typing like this doesnt make your point any stronger just looks like your computer or phone has asthma okay bye now	2013-11-30	0	0				https://twitter.com/weasley__queen/status/406909491116912640
404657335354007552	Liminal	 love moffat thinks asthma inhaler stands character development doctorwho	2013-11-24	1	0		#DoctorWho		https://twitter.com/Liminal/status/404657335354007552
403720016736309248	amby_pants	 currently coughing asthma attack didnt take singulair one night wtf nofair omgitwasonetime	2013-11-21	0	0		#wtf #nofair #omgitwasonetime		https://twitter.com/amby_pants/status/403720016736309248
403691929743155200	RealJonnyDiesel	 anthrax wax gives asthma attacks	2013-11-21	0	1				https://twitter.com/RealJonnyDiesel/status/403691929743155200
403591516972515328	jf_ck	 cant spell cant think cant anything today cant even breathe its cold asthma	2013-11-21	0	0				https://twitter.com/jf_ck/status/403591516972515328
400740609952337921	_kaiwebb	 gurlz damn near asthma attacks today	2013-11-13	0	1				https://twitter.com/_kaiwebb/status/400740609952337921
399738942616244224	JaredSherman17	 think dog asthma	2013-11-10	1	0				https://twitter.com/JaredSherman17/status/399738942616244224
399247529537445888	Pochahonass	 omg asthma death me fuckwheezing	2013-11-09	0	0		#Fuckwheezing		https://twitter.com/Pochahonass/status/399247529537445888
398645140207968256	Mark_Cadden	 trapgoku_ rich homie quan rap like jumping trampoline asthma attack	2013-11-07	0	0	@TrapGoku_			https://twitter.com/Mark_Cadden/status/398645140207968256
398541880486821888	LueckJoey	 thefacts o marshmallows relieve toothaches asthma arthritis made fat people	2013-11-07	0	0	@TheFacts1O1			https://twitter.com/LueckJoey/status/398541880486821888
398160331954212864	jenna15218	 steroids albuterol breathing treatments ughhhh poor guy hate asthma bass wolfson pediatrics http instagramcompgykixjocpt	2013-11-06	0	0	@Bass			https://twitter.com/jenna15218/status/398160331954212864
396129996420689920	marinalindzi	 love asthma attacks	2013-11-01	0	0				https://twitter.com/marinalindzi/status/396129996420689920
395374458808315904	Pochahonass	 asthma who hookah nofucksgiven	2013-10-29	0	0		#hookah #nofucksgiven		https://twitter.com/Pochahonass/status/395374458808315904
395259498702864385	paytjl	 yo lucas good asthma attack hospital day	2013-10-29	1	3				https://twitter.com/paytjl/status/395259498702864385
393583503264460800	Laws_Representa	 splashthe_g got asthma cant chase dese hoes	2013-10-24	0	0	@SplashThe_G			https://twitter.com/Laws_Representa/status/393583503264460800
393540753764679680	Eternal_Salad	 oh asthma 	2013-10-24	0	0				https://twitter.com/Eternal_Salad/status/393540753764679680
393183944864444416	kendrickramar	 asthma attacks	2013-10-23	0	0				https://twitter.com/kendrickramar/status/393183944864444416
392455544641830912	kendrickramar	 asthma attack brb	2013-10-21	0	0				https://twitter.com/kendrickramar/status/392455544641830912
392350849705316353	autautautumn_	 asthma	2013-10-21	0	2				https://twitter.com/autautautumn_/status/392350849705316353
391239771731005441	Stephh_xoxoxo	 hate weather changes like throws asthma kinda scares	2013-10-18	0	0				https://twitter.com/Stephh_xoxoxo/status/391239771731005441
390448570681532417	lillywaalker	 lifecheating tablespoon apple cider vinegar relieves allergy asthma symptoms good know	2013-10-16	0	0	@LifeCheating			https://twitter.com/lillywaalker/status/390448570681532417
389572016044781568	stephishawt	 dilloncarey great kind epidemic go thanks kid asthma fuck kid asthma 	2013-10-13	0	1	@DillonCarey			https://twitter.com/stephishawt/status/389572016044781568
385923344903979009	Pochahonass	 enjoying moment is jk asthma attack gym	2013-10-03	0	0		#jk		https://twitter.com/Pochahonass/status/385923344903979009
385400684960833536	hholly_	 lauren_lusk k like miles cant run outside asthma bitch hahah	2013-10-02	0	1	@lauren_lusk			https://twitter.com/hholly_/status/385400684960833536
383359655550152704	RainboWriterAme	 a lot sex unblock stuffy nose sex natural antihistamine help combat asthma hay fever ash 	2013-09-26	1	1	@Ash04123			https://twitter.com/RainboWriterAme/status/383359655550152704
378298941231865856	MeredithBehm937	 asthma sucks	2013-09-12	0	0				https://twitter.com/MeredithBehm937/status/378298941231865856
377814113537490946	cass_hole6	 would think would used walking shaw steps im still asthma attacks	2013-09-11	0	0				https://twitter.com/cass_hole6/status/377814113537490946
377739447636611072	kimba581	 good day ick asthma never forget proudtobeamerican	2013-09-11	0	0		#proudtobeamerican		https://twitter.com/kimba581/status/377739447636611072
377584020135350272	katieiswhatsup	 nd asthma attack today aaaaaaand go	2013-09-10	0	0				https://twitter.com/katieiswhatsup/status/377584020135350272
377537155457118208	younngnatnat	 random asthma attacks	2013-09-10	0	0				https://twitter.com/younngnatnat/status/377537155457118208
377014780646940672	MGobbie12	 karissajones really want allergies asthma stop	2013-09-09	0	0	@KarissaJones117			https://twitter.com/MGobbie12/status/377014780646940672
376690219644624896	DrinksonTigg	 asthma makes sick much worst	2013-09-08	2	0				https://twitter.com/DrinksonTigg/status/376690219644624896
374719981105459200	Strawberry_sus	 hate asthma	2013-09-02	0	0				https://twitter.com/Strawberry_sus/status/374719981105459200
374586996171485185	Kristen_g6	 the_vic_mik yeah went medexpress thursday ton meds said its asthma fluid lungs stuff	2013-09-02	0	0	@the_vic_mik			https://twitter.com/Kristen_g6/status/374586996171485185
373483914461196288	Kristen_g6	 asthma pain butt	2013-08-30	0	0				https://twitter.com/Kristen_g6/status/373483914461196288
371817484388950017	katieiswhatsup	 gave asthma attack	2013-08-25	0	0				https://twitter.com/katieiswhatsup/status/371817484388950017
371633547893047296	beez_412	 hate waking weeezing nogood asthma	2013-08-25	1	0		#nogood #asthma		https://twitter.com/beez_412/status/371633547893047296
369731581382242304	b_hud35	 ohmylistaa asthma forsure worstpreach	2013-08-20	0	2	@ohmylistaa			https://twitter.com/b_hud35/status/369731581382242304
369623213485330432	viennahowat	 pretty sure asthma attack practice dont even asthma 	2013-08-19	0	0				https://twitter.com/viennahowat/status/369623213485330432
366774522566811650	LevonGause	 kittyb_ meek look like explaining fact asthma httpstwittercomkittyb_status photo pictwittercomhwrc nm mb 	2013-08-12	1	0	@KittyB_			https://twitter.com/LevonGause/status/366774522566811650
366721216867860481	coreygarry	 dang asthma attack meetings	2013-08-11	0	0				https://twitter.com/coreygarry/status/366721216867860481
366463465277239298	darrenbeirnes	 idk know fuck u pull old shit daily sends asthma attack	2013-08-11	0	0				https://twitter.com/darrenbeirnes/status/366463465277239298
365169440515563520	MariiPhilly	 plan either dying suicide asthma 	2013-08-07	0	0				https://twitter.com/MariiPhilly/status/365169440515563520
364270575490830336	CocaineBoss_Ci	 lmfao ole babe wait got asthma 	2013-08-05	1	0				https://twitter.com/CocaineBoss_Ci/status/364270575490830336
