id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417335281688141824	izsidz	 probably wouldve smart bring shin splint insoles asthma inhaler ya know maybe wont die	2013-12-29	0	2				https://twitter.com/izsidz/status/417335281688141824
411567127242743808	ocjason	 inversion layer killing me eyes fire headache close asthma attack fml pic http sqcomjnaxdx	2013-12-13	0	0				https://twitter.com/ocjason/status/411567127242743808
409910683887603712	ScooterSchmidt	 paul_lovland asthma something	2013-12-09	0	0	@paul_lovland195			https://twitter.com/ScooterSchmidt/status/409910683887603712
409061684876021760	0Antwan0	 asthma breath heavier me	2013-12-06	0	1				https://twitter.com/0Antwan0/status/409061684876021760
407653816582938624	antonia2501	 went doc today symptoms asthma inhaler said keep working help	2013-12-02	0	0				https://twitter.com/antonia2501/status/407653816582938624
403639600934965248	ayee_itsmarce	 asthma starts again stupid wind cant even catch breathe c	2013-11-21	0	0				https://twitter.com/ayee_itsmarce/status/403639600934965248
401951449006870528	aspen_drecksel	 honestly really hate asthma	2013-11-17	0	0				https://twitter.com/aspen_drecksel/status/401951449006870528
401403242082361344	PaigeMartinez	 steroids asthma course	2013-11-15	0	0				https://twitter.com/PaigeMartinez/status/401403242082361344
401034266177728512	petersjm	 heres morning you intermountain allergy asthma http instagramcompgs_celphun	2013-11-14	0	0	@Intermountain			https://twitter.com/petersjm/status/401034266177728512
391966257437605889	Utah_Privilege	 mmmm dat asthma horny nerds	2013-10-20	0	0				https://twitter.com/Utah_Privilege/status/391966257437605889
391138896706150400	ryleebooth_	 asthma attacks scary	2013-10-18	1	0				https://twitter.com/ryleebooth_/status/391138896706150400
389500721659265024	dsjolley	 need change ethannichtern someone asthma heres sucks us healthcare httpwww nytimescom us thesoaringcostofasimplebreathhtmlsrcmerefgeneral 	2013-10-13	0	0	@ethannichtern	#asthma #healthcare		https://twitter.com/dsjolley/status/389500721659265024
389163466470072320	JoeyWhoElse	 fuck asthma 	2013-10-12	0	0				https://twitter.com/JoeyWhoElse/status/389163466470072320
380717028098588672	ohsweetswiftie	 didnt plan asthma gods love asthma attack im missing mass	2013-09-19	0	0				https://twitter.com/ohsweetswiftie/status/380717028098588672
380429233316569088	MicahGreensides	 nobody ever get asthma advise sucks	2013-09-18	0	0				https://twitter.com/MicahGreensides/status/380429233316569088
380344762223448064	ryleebooth_	 fucking asthma	2013-09-18	0	1				https://twitter.com/ryleebooth_/status/380344762223448064
378716923216658432	xxChelseyLynnxx	 asthma scary cantbreathe 	2013-09-13	0	1		#CantBreathe		https://twitter.com/xxChelseyLynnxx/status/378716923216658432
377844282457329664	sierratacos11	 faked asthma attack something get ticket	2013-09-11	0	4				https://twitter.com/sierratacos11/status/377844282457329664
375834842908200960	LPhikkips	 last night asthma attack morning	2013-09-06	0	2				https://twitter.com/LPhikkips/status/375834842908200960
374740264373329920	donnasparks	 sanjay gupta said nyad never asthma attack swimming thought attempt stop specifically reason	2013-09-02	0	0				https://twitter.com/donnasparks/status/374740264373329920
374257788433612800	RobbieZ9	 played two games far im breathing like fat man walking stairs asthma	2013-09-01	0	0		#asthma		https://twitter.com/RobbieZ9/status/374257788433612800
373875892201603072	MalineHairup	 feeling sick lung stuff awful asthma acting up energy losing voice this monavie_tweet convention terribletiming 	2013-08-31	0	0	@Monavie_Tweet	#TerribleTiming		https://twitter.com/MalineHairup/status/373875892201603072
371850662809583618	OpheliaOnyx_	 got asthma dont like attack ya could breath	2013-08-26	0	0				https://twitter.com/OpheliaOnyx_/status/371850662809583618
371731484572278784	OpheliaOnyx_	 got asthma 	2013-08-25	0	0				https://twitter.com/OpheliaOnyx_/status/371731484572278784
370369050997559296	softballgg	 think may asthma idk im probably way shape	2013-08-21	0	1				https://twitter.com/softballgg/status/370369050997559296
369472824794025984	heychadman	 trying induce asthma attack heyshellyh elliebean intermountain salt lake clinic http instagramcompdmuootffqg	2013-08-19	0	0	@Intermountain			https://twitter.com/heychadman/status/369472824794025984
368572139760152577	Paytonscotty	 causewereguys nicknamed dick asthma leaves bitches breathless zcav lol	2013-08-16	1	1	@CauseWereGuys @ZCav814			https://twitter.com/Paytonscotty/status/368572139760152577
366769337400438785	tasharamirez13	 maren_mc cant make anything dont make play asthma card haha	2013-08-11	0	1	@maren_mc			https://twitter.com/tasharamirez13/status/366769337400438785
366645409088679940	HoopGoof13	 angry makes workouts better worse time dont know limit asthma starts kick ass lol	2013-08-11	0	0				https://twitter.com/HoopGoof13/status/366645409088679940
363757937329569793	Mike_Christian	 challenge code kata fwhile caring boys yo panicking asthma attack juggle chainsaws tough choice	2013-08-03	0	0		#while		https://twitter.com/Mike_Christian/status/363757937329569793
