id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
518471164767637504	Shydix203	 aint gotta asthma attached pump	2014-10-04	0	1				https://twitter.com/Shydix203/status/518471164767637504
510645615391281152	JJM93	 kaelynfaith its cool really bad asthma	2014-09-13	0	2	@KaelynFaith2			https://twitter.com/JJM93/status/510645615391281152
510172207301926912	eddytristin2014	 feeling ur chest gets tight feel like ur asthma attack u dont feeling pain r still bad	2014-09-11	0	0				https://twitter.com/eddytristin2014/status/510172207301926912
483803780224274433	KarlaCasandraa	 vivs like look reinoah im like whos that says asthma silvia says autism pendeja hahahaha	2014-06-30	0	0				https://twitter.com/KarlaCasandraa/status/483803780224274433
444724491763978241	JaykontheMoon	 okay asthma play soccer minutes im dead anything else im fine lol	2014-03-15	0	1				https://twitter.com/JaykontheMoon/status/444724491763978241
441443712892035072	tessaburford	 asthma dbag	2014-03-06	0	2				https://twitter.com/tessaburford/status/441443712892035072
436618746804060160	tessaburford	 wanted go run today asthma tried kill me great obviously mother nature doesnt understand swimsuit season	2014-02-20	0	3				https://twitter.com/tessaburford/status/436618746804060160
433036248412721152	carly_schaecher	 hhaannnnaahh feel ya im gonna go tonight ill probably asthma attack dont even asthma	2014-02-10	0	1	@hhaannnnaahh8			https://twitter.com/carly_schaecher/status/433036248412721152
424621244399374336	cassidyyyyyy6	 obeyrealtweets want you yea gonna chase no got asthma bri 	2014-01-18	1	0	@ObeyRealTweets @bri3111			https://twitter.com/cassidyyyyyy6/status/424621244399374336
423957681305427969	jdawnfit_	 theres good chance wind gonna give asthma attack	2014-01-16	0	1				https://twitter.com/jdawnfit_/status/423957681305427969
421127435636072448	AlexGuerra96	 asthma ill inhaler	2014-01-08	0	0				https://twitter.com/AlexGuerra96/status/421127435636072448
538505580311113729	alyssabelieves	 fucking shit weed induced asthma	2014-11-28	0	10				https://twitter.com/alyssabelieves/status/538505580311113729
526402897517756416	debjensen1011	 quote day me great haircut u yourself zach would asthma attack would h whatzach 	2014-10-26	0	1		#WhatZach		https://twitter.com/debjensen1011/status/526402897517756416
498669953877565440	BernhardtS3	 fuck asthma	2014-08-10	0	15				https://twitter.com/BernhardtS3/status/498669953877565440
497229689812185088	RebeccaLWhitney	 self diagnosing allergy induced asthma actual condition dr whitney	2014-08-06	0	2				https://twitter.com/RebeccaLWhitney/status/497229689812185088
496732154488176640	eschu27	 brittanyjennett hung much made get asthma thetruth	2014-08-05	1	1	@brittanyjennett	#thetruth		https://twitter.com/eschu27/status/496732154488176640
490971495754371073	0ctopodes	 like bad asthma get green card it would want smoke	2014-07-20	1	3				https://twitter.com/0ctopodes/status/490971495754371073
490971370629890048	0ctopodes	 get green card asthma forced choose edibles tonics capsules weed	2014-07-20	0	2				https://twitter.com/0ctopodes/status/490971370629890048
483803780224274433	KarlaCasandraa	 vivs like look reinoah im like whos that says asthma silvia says autism pendeja hahahaha	2014-06-30	0	0				https://twitter.com/KarlaCasandraa/status/483803780224274433
478631905386967041	_QueenKayonna	 haze high dick called asthma leaves bitches breathless chill	2014-06-16	1	1	@Haze2High			https://twitter.com/_QueenKayonna/status/478631905386967041
468960596210499585	_Jen_Barkley	 teth_chieng severe asthma	2014-05-20	0	1	@Teth_Chieng5			https://twitter.com/_Jen_Barkley/status/468960596210499585
450987583447646208	selenathebeena	 dont wish asthma amongst anyone	2014-04-01	0	0				https://twitter.com/selenathebeena/status/450987583447646208
444542158695981056	schmidt_radio	 aaron_babcock asthma jokeha ha already heard	2014-03-14	0	1	@aaron_babcock			https://twitter.com/schmidt_radio/status/444542158695981056
430896442413031425	terrenceaustin	 everytime see get asthma baby like haaaa haaaaa thats baby	2014-02-04	0	0				https://twitter.com/terrenceaustin/status/430896442413031425
428364079644700676	aestheticgemini	 abcs american life asthma back pain cancer sotu	2014-01-28	0	1		#SOTU		https://twitter.com/aestheticgemini/status/428364079644700676
422903663204384768	tey_1226	 lmao wish cute laugh one laughs make people laugh sound like hyperventilating walrus asthma lmao httpstwittercomtey_ status kdedick wish cute laugh sound like hyperventilating walrus asthma shelbydedick shelbydedick httpstwittercomkdedickstatus niemeyer wish cute laugh one laughs make people laugh sound like hyperventilating walrus asthma	2014-01-10	0	0				https://twitter.com/niemeyer41/status/421826889272287232
507312696854052864	CheetahSistaa	 me going running like saying how voluntary asthma attack today sounds like fun	2014-09-03	0	8				https://twitter.com/CheetahSistaa/status/507312696854052864
502667935459315712	Sydney_Krause	 sydney_krause im asthma attack	2014-08-22	0	0	@Sydney_Krause			https://twitter.com/Sydney_Krause/status/502667935459315712
488000071695228929	RZ213	 frenfren got asthma cant chasing hoes lol	2014-07-12	0	2	@FrenFren14			https://twitter.com/RZ213/status/488000071695228929
433728529910353920	aliiciiaewiing	 heierfirebaby mom wont even let leave keep asthma attacks fmllllll	2014-02-12	0	0	@HeierFireBaby			https://twitter.com/aliiciiaewiing/status/433728529910353920
425293161242841088	CAHutzler	 becky pogreba educates norris hs staff diabetes asthma anaphylaxis seizures norristitans healthpdday pictwittercomdccbwoh fv	2014-01-20	0	1	@norris160	#norristitans #healthPDday		https://twitter.com/CAHutzler/status/425293161242841088
423125471409098753	BigCatMuggsy21	 wish could retweet times rt mufasa_ fuck asthma 	2014-01-14	0	1	@mufasa_21			https://twitter.com/BigCatMuggsy21/status/423125471409098753
421826889272287232	niemeyer41	 wish cute laugh one laughs make people laugh sound like hyperventilating walrus asthma 	2014-01-10	0	0				https://twitter.com/niemeyer41/status/421826889272287232
549616743002701824	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomchynkeqr d 	2014-12-29	0	0				https://twitter.com/KristyBoltin/status/549616743002701824
547078262263132160	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomc o jxapixy 	2014-12-22	0	0				https://twitter.com/KristyBoltin/status/547078262263132160
545254565470552064	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomc elcpmwisn	2014-12-17	0	0				https://twitter.com/KristyBoltin/status/545254565470552064
542797534528552961	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomcauoyugunkb 	2014-12-10	0	0				https://twitter.com/KristyBoltin/status/542797534528552961
540276202557411329	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomclbeau bonq 	2014-12-03	0	0				https://twitter.com/KristyBoltin/status/540276202557411329
537716591430221825	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomchoegzbgnvhr	2014-11-26	0	0				https://twitter.com/KristyBoltin/status/537716591430221825
535144460007788544	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomci aiqingatg	2014-11-19	0	0				https://twitter.com/KristyBoltin/status/535144460007788544
533666241484169216	Twin_Tower8	 niggas aint got asthma always trying use ya pump	2014-11-15	0	0				https://twitter.com/Twin_Tower8/status/533666241484169216
532582351512276992	KristyBoltin	 im boys town allergy asthma omaha ne httpswww swarmappcomcb plgipuuj	2014-11-12	0	0				https://twitter.com/KristyBoltin/status/532582351512276992
