id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
549049627614265345	pussymoneyjaci	 peterkyd _yeahbasically wasnt fault lol also post asthma attack lot pain lol	2014-12-27	0	1	@PeterKyd @_yeahbasically			https://twitter.com/pussymoneyjaci/status/549049627614265345
548221164703596546	YaGirlEmerald	 asthma going grandmas house good combination emerald dying	2014-12-25	0	1				https://twitter.com/YaGirlEmerald/status/548221164703596546
548194690902663168	depechemoan	 fucktyler ive happy complaints weak ass asthma tyler	2014-12-25	0	1	@fucktyler			https://twitter.com/depechemoan/status/548194690902663168
547335222010732546	_VictorSama_	 uberfacts sex natural antihistamine combats asthma high fever 	2014-12-23	0	0	@UberFacts			https://twitter.com/_VictorSama_/status/547335222010732546
547215613295616000	Princess_Minaaa	 zgodanmladic oh man yeah ha ended getting asthma sucks sick	2014-12-22	0	1	@ZgodanMladic			https://twitter.com/Princess_Minaaa/status/547215613295616000
546387545295044609	coolasta	 uberfacts playing swimming pools hot day cause asthma bladder cancer ouch what	2014-12-20	0	0	@UberFacts			https://twitter.com/coolasta/status/546387545295044609
544914084592754690	DMoneyJuice	 big momma could never forget ass asthma 	2014-12-16	0	0				https://twitter.com/DMoneyJuice/status/544914084592754690
544345045508161536	Iwanderfar	 goodmanespn stonelarry suffer asthma appears breath often	2014-12-14	0	0	@GoodmanESPN @StoneLarry			https://twitter.com/Iwanderfar/status/544345045508161536
543228568658911232	ThtDudeBilly	 already sniffin blow tell friends its asthma everytime itch throat	2014-12-11	0	0				https://twitter.com/ThtDudeBilly/status/543228568658911232
542317181782872064	OAbdulalim	 be_healthy_tips health asthma manage asthma tips guidelines http bitly lmz k 	2014-12-09	0	1	@Be_Healthy_Tips	#Health #Asthma		https://twitter.com/OAbdulalim/status/542317181782872064
542031096372670465	AAWizdomz	 got bunch steroids doc treat asthma n allergies ibbeefing xmas	2014-12-08	0	0		#ibbeefing4xmas		https://twitter.com/AAWizdomz/status/542031096372670465
541413020954398720	nignogpigdog	 matt_hefty hes asthma attack still talk choking doesnt help	2014-12-06	0	0	@Matt_Hefty13			https://twitter.com/nignogpigdog/status/541413020954398720
540303195692482560	cinveen	 asthma acts icantbreathe either guess dont need worry strangled policeman hustling smokes	2014-12-03	0	1		#ICantBreathe		https://twitter.com/cinveen/status/540303195692482560
539496757235679232	briankegebein2	 dopeman since cannabis never anything it weed cured asthma recovering epilepsy rn gateway life	2014-12-01	0	1				https://twitter.com/briankegebein2/status/539496757235679232
539341422613131265	mckayleerae	 oh joy love winter asthma attacks season brings	2014-12-01	0	1				https://twitter.com/mckayleerae/status/539341422613131265
538208993504534528	AjislandBoi	 food ate gon fuck around n give asthma attack	2014-11-28	0	0				https://twitter.com/AjislandBoi/status/538208993504534528
537949127816904704	sleepylemur	 lexus combustion engines breathtaking asthma heartdisease	2014-11-27	0	0	@Lexus	#asthma #HeartDisease		https://twitter.com/sleepylemur/status/537949127816904704
537864590546051072	Urrieta___	 itzgus_ asthma sick horrible seriously	2014-11-27	0	1	@itzgus_			https://twitter.com/Urrieta___/status/537864590546051072
537493161950867456	RexiRoo3483	 wtf asthma hasnt acted like since little	2014-11-26	0	0				https://twitter.com/RexiRoo3483/status/537493161950867456
537074975103287296	housegoId	 xxbrokenbentxx liamscandy hes tryna laugh sayin sounds like someone asthma consipated trying vine	2014-11-24	0	2	@XxbrokenbentxX @LiamsCandy			https://twitter.com/housegoId/status/537074975103287296
534720480960192512	ParentingGeekly	 lungs sound like rice krispies morning cold asthma dont play well together	2014-11-18	0	0				https://twitter.com/ParentingGeekly/status/534720480960192512
534594876386869248	kylieberwin	 uberfacts sex unblock stuffy nose sex also natural antihistamine help combat asthma hay fever tealerrr_	2014-11-18	0	2	@UberFacts @tealerrr_			https://twitter.com/kylieberwin/status/534594876386869248
533530662427324417	gaganbains_11	 ya boi asthma attack today pretty great	2014-11-15	0	2				https://twitter.com/gaganbains_11/status/533530662427324417
533427888906063872	hellbox	 darth baker no relation breathing oh asthma mask debilitation childhood accident cape well	2014-11-14	2	4				https://twitter.com/hellbox/status/533427888906063872
533142731070402560	_TheMeans	 asthma bed anyone justme goodnight	2014-11-14	0	0		#asthma #JustMe #goodnight		https://twitter.com/_TheMeans/status/533142731070402560
532911276796956673	sabyon101	 asthma degrees dont mix fml	2014-11-13	0	1				https://twitter.com/sabyon101/status/532911276796956673
