id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
548547613683748864	BlowPatrick	 yes weezy aint asthmatic	2014-12-26	0	1				https://twitter.com/BlowPatrick/status/548547613683748864
540244509909860352	LMHuskovich	 strangled asthmatic death still goes doesnt go trial plaxico burress shot thigh got years	2014-12-03	0	0				https://twitter.com/LMHuskovich/status/540244509909860352
536310798188965888	WhitCarnielle	 aint mess become patient asthmatic thattimeofyear http instagramcompvulx iijkp	2014-11-22	0	0		#asthmatic #thattimeofyear		https://twitter.com/WhitCarnielle/status/536310798188965888
531598734933917696	muller27x	 ihop one servers walked table spraying potent air freshener face level rude especially asthmatic	2014-11-09	0	0	@IHOP			https://twitter.com/muller27x/status/531598734933917696
528262341532848131	wingsofapig	 correct behavior said diabetic asthmatic cowgirl surrounding drivers emilybest pictwittercomeg efxyt y	2014-10-31	2	2	@emilybest			https://twitter.com/wingsofapig/status/528262341532848131
525857319834628096	kabiejurnes	 time boldlygo hes asthmatic hes trouble breathing kennestone sent scottish rite sisters	2014-10-24	0	0	@time2boldlygo			https://twitter.com/kabiejurnes/status/525857319834628096
517321547632357378	ConfidentEgo	 lady keeps complaining smelling weed unit shes asthmatic lady shyt isnt bothering you ugh	2014-10-01	0	0				https://twitter.com/ConfidentEgo/status/517321547632357378
510253984095821824	Kairbear87	 miles tomorrow probably doesnt seem like lot some asthmatic its big deal halfmarathontraining	2014-09-11	0	4		#halfmarathontraining		https://twitter.com/Kairbear87/status/510253984095821824
509549362578718720	KylieJordannn	 fr cant even walk room without going asthmatic state katiwestpeters	2014-09-09	0	0	@KatiWestPeters			https://twitter.com/KylieJordannn/status/509549362578718720
498864204850286592	andi_wunderlich	 its struggle keep breathing existential asthmatic puff puff pass addict	2014-08-11	0	0				https://twitter.com/andi_wunderlich/status/498864204850286592
495616187162951680	yorudann_	 yes wheezy aint asthmatic	2014-08-02	0	0				https://twitter.com/yorudann_/status/495616187162951680
495323427511623680	ShazebAbbas	 named weezy asthmatic	2014-08-01	0	0				https://twitter.com/ShazebAbbas/status/495323427511623680
494180558415466496	JenRennicks	 privilege speak atlepa hearing support reducing carbon pollution behalf asthmatic child	2014-07-29	2	4	@	#ATLEPA #carbon		https://twitter.com/JenRennicks/status/494180558415466496
490492287626252288	ElectrikCarter	 video asthmatic father dies nypd chokehol http youtube_ uy i ebu	2014-07-19	0	0				https://twitter.com/ElectrikCarter/status/490492287626252288
484954686018301952	SirakSiku	 heathen struggle keep breathing existential asthmatic puff puff pass addict craftmatic making moves sleeping	2014-07-04	0	0				https://twitter.com/SirakSiku/status/484954686018301952
482358883176808450	VanessaMumba	 asthmatic much lmao insider	2014-06-26	0	0		#Insider		https://twitter.com/VanessaMumba/status/482358883176808450
479285271171960832	MsHairTherapist	 ughhh thewait asthmatic hughesspualding tired mommyduties childrens healthcare atlanta at http instagramcomppy_kjzuphd	2014-06-18	0	0	@Children	#ughhh #thewait #asthmatic #hughesspualding #tired #mommyduties		https://twitter.com/MsHairTherapist/status/479285271171960832
472337334139387904	yobitch_blowin	 morning twitter well feel like fish outta water youre asthmatic youll understand 	2014-05-30	0	0				https://twitter.com/yobitch_blowin/status/472337334139387904
467799879838740480	charrrr83	 talking bout ks im like sup im asthmatic	2014-05-17	1	2				https://twitter.com/charrrr83/status/467799879838740480
466930440503586816	sweetnteddy	 yes weezy aint asthmatic	2014-05-15	0	0				https://twitter.com/sweetnteddy/status/466930440503586816
466669307695730688	TalerBGutierrez	 msz_beatsbydre lol im asthmatic ass damn asthma attack crying hard	2014-05-14	0	0	@Msz_BeatsByDre			https://twitter.com/TalerBGutierrez/status/466669307695730688
463765416247308288	aaronarich	 asthmatic kitty using email redefine street teams via mailchimp http pocketcoshjvy	2014-05-06	0	0	@MailChimp			https://twitter.com/aaronarich/status/463765416247308288
446826140577984513	TheyScreamTravi	 im asthmatic dont put much bullshit nahfr 	2014-03-20	0	0		#NahFR		https://twitter.com/TheyScreamTravi/status/446826140577984513
440013631124963328	TechKidKyle	 heathen its struggle keep breathing existential asthmatic puff puff pass addict	2014-03-02	0	0				https://twitter.com/TechKidKyle/status/440013631124963328
434362060189597696	craftreid	 existential asthmatic childishgambino	2014-02-14	1	1		#ChildishGambino		https://twitter.com/craftreid/status/434362060189597696
427845124987838464	ashbugatti	 nicki pretty bxtch tf ima get down know im asthmatic llh	2014-01-27	0	0	@nicki3pretty			https://twitter.com/ashbugatti/status/427845124987838464
509874919203934208	lowkeyknicksfan	 skyyraee yes weezy aint asthmatic pictwittercom ud cuyhei	2014-09-10	1	2	@SkyyRaee			https://twitter.com/lowkeyknicksfan/status/509874919203934208
487099329895596032	MartinezGSC21	 yes weezy aint asthmatic	2014-07-10	0	0				https://twitter.com/MartinezGSC21/status/487099329895596032
464202330800279554	RavenGreathouse	 scrap asthmatic ass lil love triangle taking lhhatl 	2014-05-07	0	0		#LHHATL		https://twitter.com/RavenGreathouse/status/464202330800279554
463479871050489856	RavenGreathouse	 scrappy falling hoes sensitive asthmatic thot loverr 	2014-05-05	0	0				https://twitter.com/RavenGreathouse/status/463479871050489856
459389783966765056	holloak	 asthmatic cant handle mold butistilllovethisoldhouse city roanoke http instagramcompnlojs kbmz	2014-04-24	0	0	@City	#butistilllovethisoldhouse		https://twitter.com/holloak/status/459389783966765056
447377558758510592	karsynnailah	 omg im wheezing asthmatic sounds like whining puppy	2014-03-22	0	0		#Asthmatic		https://twitter.com/karsynnailah/status/447377558758510592
437051131122827264	GarrettTWatson	 davecfields existential asthmatic puff puff pass addict	2014-02-21	0	0	@davecfields			https://twitter.com/GarrettTWatson/status/437051131122827264
432755660682698752	GarrettTWatson	 _schierhoff thing wanna it thoughts cant breathe youre thinking asthmatic 	2014-02-10	1	1	@_Schierhoff			https://twitter.com/GarrettTWatson/status/432755660682698752
427973609760378880	GarrettTWatson	 heathen struggle keep breathin existential asthmatic puff puff pass addict	2014-01-27	0	0				https://twitter.com/GarrettTWatson/status/427973609760378880
492471583664250880	365Newday	 eric garner asthmatic father dies nypd chok http youtubevaioh emco please stop violence nypd	2014-07-24	0	0		#nypd		https://twitter.com/365Newday/status/492471583664250880
432949555660079105	amandasmodels	 greater panic asthmatic missing puffer it bring back wont questions needtobreathe	2014-02-10	0	1		#needtobreathe		https://twitter.com/amandasmodels/status/432949555660079105
548897932255428609	_YungEazyE	 cloutgod lil wayne said yes weezy aint asthmatic pictwittercomyb vywkc ppl stupid	2014-12-27	0	0	@CloutGod			https://twitter.com/_YungEazyE/status/548897932255428609
548389771010396160	AustinNFloyd13	 cloutgod lil wayne said yes weezy aint asthmatic pictwittercomapp xzhvd 	2014-12-26	0	0	@CloutGod			https://twitter.com/AustinNFloyd13/status/548389771010396160
509874919203934208	lowkeyknicksfan	 skyyraee yes weezy aint asthmatic pictwittercom ud cuyhei	2014-09-10	1	2	@SkyyRaee			https://twitter.com/lowkeyknicksfan/status/509874919203934208
432949555660079105	amandasmodels	 greater panic asthmatic missing puffer it bring back wont questions needtobreathe	2014-02-10	0	1		#needtobreathe		https://twitter.com/amandasmodels/status/432949555660079105
531598734933917696	muller27x	 ihop one servers walked table spraying potent air freshener face level rude especially asthmatic	2014-11-09	0	0	@IHOP			https://twitter.com/muller27x/status/531598734933917696
427845124987838464	ashbugatti	 nicki pretty bxtch tf ima get down know im asthmatic llh	2014-01-27	0	0	@nicki3pretty			https://twitter.com/ashbugatti/status/427845124987838464
528262341532848131	wingsofapig	 correct behavior said diabetic asthmatic cowgirl surrounding drivers emilybest pictwittercomeg efxyt y	2014-10-31	2	2	@emilybest			https://twitter.com/wingsofapig/status/528262341532848131
438434333821784064	traceyelrod	 orgasms stages asthmatic ahh ahh ahhmathematics more more morereligious oh god criminalif pull ill kill you	2014-02-25	0	0				https://twitter.com/traceyelrod/status/438434333821784064
491315963053473793	__Longwayy	 juanndacut lil wayne said yes weezy aint asthmatic pictwittercombcnfsl pti 	2014-07-21	0	0	@JuanNDaCut			https://twitter.com/__Longwayy/status/491315963053473793
509549362578718720	KylieJordannn	 fr cant even walk room without going asthmatic state katiwestpeters	2014-09-09	0	0	@KatiWestPeters			https://twitter.com/KylieJordannn/status/509549362578718720
487099329895596032	MartinezGSC21	 yes weezy aint asthmatic	2014-07-10	0	0				https://twitter.com/MartinezGSC21/status/487099329895596032
432949555660079105	amandasmodels	 greater panic asthmatic missing puffer it bring back wont questions needtobreathe	2014-02-10	0	1		#needtobreathe		https://twitter.com/amandasmodels/status/432949555660079105
