id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
501900279579963393	Juday_Booday	 jtown lived evansville would train hefty asthmatic ess	2014-08-19	0	0				https://twitter.com/Juday_Booday/status/501900279579963393
485969935525363712	A_Snodd	 thoughts cant breathe youre thinking asthmatic	2014-07-06	0	0				https://twitter.com/A_Snodd/status/485969935525363712
481631840546340864	M_LYRYC5	 yes weezy aint asthmatic 	2014-06-24	0	0				https://twitter.com/M_LYRYC5/status/481631840546340864
441763090929942529	GeofferyAHart	 asthmatic pain ass	2014-03-06	0	1				https://twitter.com/GeofferyAHart/status/441763090929942529
518538014906011648	AirmanAl	 heathen its struggle keep breathing existential asthmatic puff puff pass addict gambino	2014-10-04	0	0		#Gambino		https://twitter.com/AirmanAl/status/518538014906011648
505128757003567104	posherov	 fireside chat asthmatic kittys john beeler joyful noise karl hofstetter vergeindy http instagramcompsqn aha de	2014-08-28	0	0		#vergeindy		https://twitter.com/posherov/status/505128757003567104
488790035362500609	ClaireMcInerny	 ls_boland usweekly whatsinmybag working asthmatic spill prone girl chic put magazine pictwittercomvuiketlcfh	2014-07-14	0	2	@LS_Boland @usweekly	#WhatsInMyBag		https://twitter.com/ClaireMcInerny/status/488790035362500609
487285833095856128	michael_j_huber	 mustread citylab piece michaelseman indys asthmatic kitty record label impacts http bitly zrwz johnthebeeler	2014-07-10	2	3	@michaelseman @johnthebeeler			https://twitter.com/michael_j_huber/status/487285833095856128
478663034198446080	KinglefromIndy	 gassed thats asthmatic cant breathe nigga cant see	2014-06-16	0	0				https://twitter.com/KinglefromIndy/status/478663034198446080
472159054148558849	Rene5810	 smiles head wrap wont protect asthmatic attack	2014-05-29	0	0	@smiles30			https://twitter.com/Rene5810/status/472159054148558849
469672701393907714	No_Booty_Judy	 name weezy im asthmatic	2014-05-22	0	0				https://twitter.com/No_Booty_Judy/status/469672701393907714
458091409296211968	elizabethcuttle	 thoughts cant breathe youre thinking asthmatic	2014-04-20	0	0				https://twitter.com/elizabethcuttle/status/458091409296211968
453782161129082880	KinglefromIndy	 thing wanna it thoughts cant breathe thinking asthmatic 	2014-04-09	0	0				https://twitter.com/KinglefromIndy/status/453782161129082880
436333418872205313	britmc	 c k week day tonight ran minute mile without stopping may seem like nothing asthmatic big deal 	2014-02-19	0	1				https://twitter.com/britmc/status/436333418872205313
427634663222280192	indancer	 rosecolored heart breaking watching tonight spent many days hospital w asthmatic son know going thru	2014-01-26	0	0	@rosecolored6			https://twitter.com/indancer/status/427634663222280192
423995922498867200	JEFF1DEEP	 lil asthmatic ass goin hard 	2014-01-16	0	0				https://twitter.com/JEFF1DEEP/status/423995922498867200
422288779085225984	justRee__	 heathen its struggle keep breathing existential asthmatic puff puff pass addict crafmatic making moves sleeping	2014-01-12	0	0				https://twitter.com/justRee__/status/422288779085225984
518945978511269891	MeganNadolskii	 newsongoftheday fuck asthma mc asthmatic ajrocha daybydayviaajizzle	2014-10-05	1	2	@ajrocha95	#NewSongOfTheDay #DaybydayviaAJizzle		https://twitter.com/MeganNadolskii/status/518945978511269891
542482193046843392	Joooooocelynn	 asthmatic sucks	2014-12-09	0	0				https://twitter.com/Joooooocelynn/status/542482193046843392
443523333418524673	kdc_0525	 asthmatic bronchitis birds 	2014-03-11	0	0				https://twitter.com/kdc_0525/status/443523333418524673
540232368204681216	lekan_l	 dude yelled asthmatic gods sake still kept choking him disgusting	2014-12-03	1	0		#disgusting		https://twitter.com/lekan_l/status/540232368204681216
427261247625502720	miller_bud	 nothing else full court basketball taught physical conditioning pound asthmatic	2014-01-25	1	5				https://twitter.com/miller_bud/status/427261247625502720
542482193046843392	Joooooocelynn	 asthmatic sucks	2014-12-09	0	0				https://twitter.com/Joooooocelynn/status/542482193046843392
488790035362500609	ClaireMcInerny	 ls_boland usweekly whatsinmybag working asthmatic spill prone girl chic put magazine pictwittercomvuiketlcfh	2014-07-14	0	2	@LS_Boland @usweekly	#WhatsInMyBag		https://twitter.com/ClaireMcInerny/status/488790035362500609
443523333418524673	kdc_0525	 asthmatic bronchitis birds 	2014-03-11	0	0				https://twitter.com/kdc_0525/status/443523333418524673
427634663222280192	indancer	 rosecolored heart breaking watching tonight spent many days hospital w asthmatic son know going thru	2014-01-26	0	0	@rosecolored6			https://twitter.com/indancer/status/427634663222280192
