id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
549663653411422208	itsanAthing_	 yes weezy im asthmatic	2014-12-29	0	0				https://twitter.com/itsanAthing_/status/549663653411422208
510545149207011328	ranurajames	 extensional asthmatic puff puff pass addict	2014-09-12	0	0				https://twitter.com/ranurajames/status/510545149207011328
504143076139745280	ISAIAHs915	 jordandavis_ yes weezy aint asthmatic	2014-08-26	0	1	@JordanDavis_3			https://twitter.com/ISAIAHs915/status/504143076139745280
426653740893229056	mmerxury	 yes weezy aint asthmatic	2014-01-24	1	0				https://twitter.com/mmerxury/status/426653740893229056
540458855613100032	xbeautifulxmeme	 breathing machine asthmatic ass	2014-12-04	0	0				https://twitter.com/xbeautifulxmeme/status/540458855613100032
534140785588199424	jake_christian1	 yes weezy aint asthmatic	2014-11-16	0	2				https://twitter.com/jake_christian1/status/534140785588199424
532250951835725824	mynameismadison	 einsteins purr slightly resembles asthmatic pig oink hes also kneading stomach im sure feel that	2014-11-11	0	0				https://twitter.com/mynameismadison/status/532250951835725824
524029627958710272	Shallah_	 attire traumatic niggas become asthmatic bitches dramatic	2014-10-19	0	0				https://twitter.com/Shallah_/status/524029627958710272
520264534163197953	themainkatie	 wasting away lets go run see gives out first workoutjunkie asthmatic igotthis skinnypeopleproblems	2014-10-09	0	0		#workoutjunkie #asthmatic #IGotThis #SkinnyPeopleProblems		https://twitter.com/themainkatie/status/520264534163197953
509554182362509312	erin_hewett	 yes weezy aint asthmatic	2014-09-10	0	0				https://twitter.com/erin_hewett/status/509554182362509312
498699530121248768	Blackkout__	 rip eric garner asthmatic father husband choked death nyc police broke fight justice	2014-08-11	5	4				https://twitter.com/Blackkout__/status/498699530121248768
496814828892475392	kirbyisthatgirl	 gee thanks spraying perfume me like im severely asthmatic anything	2014-08-05	0	0				https://twitter.com/kirbyisthatgirl/status/496814828892475392
456402508005789697	sarah_weavil	 well hello asthmatic cough 	2014-04-16	0	3				https://twitter.com/sarah_weavil/status/456402508005789697
451802342384762880	JJEAN_LOUIS	 asthmatic scrugglin	2014-04-03	0	0		#Asthmatic #SCRUGGLIN		https://twitter.com/JJEAN_LOUIS/status/451802342384762880
451580455632916480	k8tyk8	 spookstina oh dear male friends please wear axe hackingtodeath heard cause asthmatic reaction neverbeenthatclose	2014-04-03	0	0	@spookstina	#hackingtodeath #neverbeenthatclose		https://twitter.com/k8tyk8/status/451580455632916480
445364436338225152	bitemytweets	 know its funny hell get asthmatic cough afterwards	2014-03-16	0	1				https://twitter.com/bitemytweets/status/445364436338225152
445015042824888320	NaturallyTuki	 suffering asthmatic emotions bullcity jambalayasoulslam doindurm poetryslam pictwittercomquxkow jsh	2014-03-15	0	0		#BullCity #JambalayaSoulSlam #doinDurm #poetryslam		https://twitter.com/NaturallyTuki/status/445015042824888320
427675521477255168	atownx	 thoughts cant breathe youre thinkin asthmatic 	2014-01-27	0	1				https://twitter.com/atownx/status/427675521477255168
534140785588199424	jake_christian1	 yes weezy aint asthmatic	2014-11-16	0	2				https://twitter.com/jake_christian1/status/534140785588199424
532693635184476160	Tayy_Mouse	 yes true asthmatic stoner smoke every day matter say	2014-11-12	0	1				https://twitter.com/Tayy_Mouse/status/532693635184476160
524029627958710272	Shallah_	 attire traumatic niggas become asthmatic bitches dramatic	2014-10-19	0	0				https://twitter.com/Shallah_/status/524029627958710272
498699530121248768	Blackkout__	 rip eric garner asthmatic father husband choked death nyc police broke fight justice	2014-08-11	5	4				https://twitter.com/Blackkout__/status/498699530121248768
496814828892475392	kirbyisthatgirl	 gee thanks spraying perfume me like im severely asthmatic anything	2014-08-05	0	0				https://twitter.com/kirbyisthatgirl/status/496814828892475392
492530755818373120	DOPESHITT14	 im weezy im asthmatic	2014-07-25	0	0				https://twitter.com/DOPESHITT14/status/492530755818373120
441397259935449088	QuayTribble	 cuff bitch till fuck bitch till fuck bitch cus asthmatic zachtaughtme	2014-03-05	1	1	@ZachTaughtMe			https://twitter.com/QuayTribble/status/441397259935449088
435219528314658817	MeganKate60	 cold shaky asthmatic 	2014-02-16	0	0				https://twitter.com/MeganKate60/status/435219528314658817
430222338945470464	ShelbyLauryn17	 journey sounds like asthmatic laughs	2014-02-03	2	2				https://twitter.com/ShelbyLauryn17/status/430222338945470464
439510691561881602	whenimzoned	 thoughts cant breathe thinking asthmatic	2014-02-28	0	0				https://twitter.com/whenimzoned/status/439510691561881602
524029627958710272	Shallah_	 attire traumatic niggas become asthmatic bitches dramatic	2014-10-19	0	0				https://twitter.com/Shallah_/status/524029627958710272
498699530121248768	Blackkout__	 rip eric garner asthmatic father husband choked death nyc police broke fight justice	2014-08-11	5	4				https://twitter.com/Blackkout__/status/498699530121248768
