id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
545381556140130304	elijahbill	 tylermxmuffin fucking diabetes seriously mcflurries like me asthmatic smoking cigarettes cmon boi	2014-12-17	0	0	@tylermxmuffin			https://twitter.com/elijahbill/status/545381556140130304
540374794416701440	JudyKulak	 happen me asthmatic shame police	2014-12-04	0	0				https://twitter.com/JudyKulak/status/540374794416701440
515684215158210560	oh_smithery	 poor dog asthmatic pugs	2014-09-26	0	1				https://twitter.com/oh_smithery/status/515684215158210560
515274112143740929	GlamandGraffiti	 little asthmatic ran first k pretty happy time watch world	2014-09-25	0	1				https://twitter.com/GlamandGraffiti/status/515274112143740929
504072913805643776	mikeygilmore4L	 _shaunawalters dont im asthmatic its goal since like lol hate running	2014-08-25	0	1	@_shaunawalters			https://twitter.com/mikeygilmore4L/status/504072913805643776
484396885180821504	mikeygilmore4L	 im asthmatic need air you stop breathing	2014-07-02	0	0				https://twitter.com/mikeygilmore4L/status/484396885180821504
482201971265265664	nickkree	 asthmatic midnight makearappersoft	2014-06-26	0	0	@midnight	#MakeARapperSoft		https://twitter.com/nickkree/status/482201971265265664
473380688025378816	mikeygilmore4L	 im asthmatic af	2014-06-02	0	0				https://twitter.com/mikeygilmore4L/status/473380688025378816
463363441164820480	MayerT17	 mom proud asthmatic thin fuck	2014-05-05	0	0				https://twitter.com/MayerT17/status/463363441164820480
447551375577448448	LGeeLTee	 place asthmatic	2014-03-22	0	0				https://twitter.com/LGeeLTee/status/447551375577448448
446345681792671744	BowenPitts	 thoughts cant breathe thinkin asthmatic	2014-03-19	0	0				https://twitter.com/BowenPitts/status/446345681792671744
441728311836672000	Cj1097McNany	 sethsilverio last time took david seriously plus im asthmatic parents care me its good	2014-03-06	0	0	@SethSilverio			https://twitter.com/Cj1097McNany/status/441728311836672000
463885058093232128	2nddegreeeBurns	 katebrennan currently air quality college park asthmatic dying pictwittercommkmnpsmfci	2014-05-06	1	0	@KateBrennan04	#asthmatic #dying		https://twitter.com/2nddegreeeBurns/status/463885058093232128
428221211869732864	kdBAER13	 yeah name weezy aint asthmatic	2014-01-28	0	0				https://twitter.com/kdBAER13/status/428221211869732864
540631660044500992	mccauley000	 _loganandrew dudehe instigated whole thing officer choked matter seconds guy asthmatic obese	2014-12-04	0	0	@_LoganAndrew			https://twitter.com/mccauley000/status/540631660044500992
