id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
14999560300535808	62033	 jazz saxophonist james moody dies pancreatic cancer httpbitlyftcrlb via httpoutsidein 	2010-12-15	0	0				https://twitter.com/62033/status/14999560300535808
14530466954612736	ratman2455	 rt friendslikeus follow fightlikeagirlc weektheyll help friendslikeus donate chemobear per new followers child w cancer	2010-12-13	0	0	@friendslikeus @FightLikeAGirlC			https://twitter.com/ratman2455/status/14530466954612736
14420443180048384	ratman2455	 rt friendslikeus alrightweve reached first andfightlikeagirlc donating chemobear child cancer nowto reachthe next 	2010-12-13	0	0	@friendslikeus @FightLikeAGirlC			https://twitter.com/ratman2455/status/14420443180048384
14340144106577921	ratman2455	 rt friendslikeus for every new followers offightlikeagirlcthey donatechemobear packages tofriendslikeus give childrenw cancer	2010-12-13	0	0	@friendslikeus @FightLikeAGirlCthey @FriendsLikeUs			https://twitter.com/ratman2455/status/14340144106577921
14288336034205696	61822	 researchers develop laser technology identify cancer cells quickly httpbitlyeb cyu via httpoutsidein 	2010-12-13	0	0				https://twitter.com/61822/status/14288336034205696
13475914847358977	oracleninja	 wbc protesting elizabeth edwards funeral mean seriously god gave cancer chose die right fuckthewbc	2010-12-11	0	0		#fuckTheWBC		https://twitter.com/oracleninja/status/13475914847358977
12808595238293504	61571	 elizabeth edwards gravely ill cancer httpbitlyfvqrzw via httpoutsidein 	2010-12-09	0	0				https://twitter.com/61571/status/12808595238293504
12446630510854144	61571	 elizabeth edwards gravely ill cancer httpbitlyh qs via httpoutsidein 	2010-12-08	0	0				https://twitter.com/61571/status/12446630510854144
11801032610816000	TristanLovsYou1	 love everyone ignoring ne day find brain cancer	2010-12-06	0	0				https://twitter.com/TristanLovsYou1/status/11801032610816000
11359827074752512	62326	 rep myers loses battle cancer httpbitlyg p x via httpoutsidein 	2010-12-05	0	0				https://twitter.com/62326/status/11359827074752512
11359820393218048	61951	 rep myers loses battle cancer httpbitlyh zpl via httpoutsidein 	2010-12-05	0	0				https://twitter.com/61951/status/11359820393218048
11276120292851712	ryan_louis_	 didnt get cancer last night im getting tonight brewhause http sqcom empru	2010-12-04	0	0	@Brewhause			https://twitter.com/ryan_louis_/status/11276120292851712
10634199522353152	62326	 rep myers loses battle cancer httpbitlyeavsbm via httpoutsidein 	2010-12-03	0	0				https://twitter.com/62326/status/10634199522353152
10634198175981568	62326	 state rep rich myers dies battling prostate cancer httpbitlyfqklf via httpoutsidein 	2010-12-03	0	0				https://twitter.com/62326/status/10634198175981568
10634183189733376	61951	 rep myers loses battle cancer httpbitlyhery via httpoutsidein 	2010-12-03	0	0				https://twitter.com/61951/status/10634183189733376
8757667782729729	ratman2455	 rt matthew declare pink friday survivors fallen breast cancer got pink ondo you	2010-11-28	0	0	@Matthew6813			https://twitter.com/ratman2455/status/8757667782729729
5302173399257088	BBBinIL	 im community cancer center http sqcombijr j	2010-11-18	0	0				https://twitter.com/BBBinIL/status/5302173399257088
4716647172546560	topix_ia	 cooperman cancer benefit saturday httpbitly bps y burlington iowa	2010-11-16	0	0		#Burlington #Iowa		https://twitter.com/topix_ia/status/4716647172546560
4343737593368576	flavius217	 springfield native rip rt baseballamerica siu coach callahan loses battle cancer httpbitlycpiw j	2010-11-15	0	0	@BaseballAmerica			https://twitter.com/flavius217/status/4343737593368576
4065830019006464	62010	 benefit sax player diagnosed lung cancer httpbitlycliuvx via httpoutsidein 	2010-11-15	0	0				https://twitter.com/62010/status/4065830019006464
3634027714060288	AdeliaReid	 twitter break go husbands right lung removed super surgeon due lung cancer roach pls pray tks	2010-11-13	0	0				https://twitter.com/AdeliaReid/status/3634027714060288
818849536544769	52639	 servicemaster fm joins cleaning reason effort help women cancer httpbitlycwyvkr via httpoutsidein 	2010-11-06	0	0				https://twitter.com/52639/status/818849536544769
818844092338176	52627	 servicemaster fm joins cleaning reason effort help women cancer httpbitly pido via httpoutsidein 	2010-11-06	0	0				https://twitter.com/52627/status/818844092338176
29517309879	BrittMaya613	 ripshannontavarez beautiful year old broadway performer lost battle cancer life precious cherish	2010-11-02	1	0		#RIPShannonTavarez		https://twitter.com/BrittMaya613/status/29517309879
