id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
20294907189002240	S_daniels	 rt abolishcancer retweet mewe sick tired cancer ruining lives unite abolish beast	2010-12-29	0	0	@abolishcancer			https://twitter.com/S_daniels/status/20294907189002240
18093415669436416	britt061688	 grandaddys home cancer freeand im enjoying night the santa claus chinese foodgod great	2010-12-23	0	0				https://twitter.com/britt061688/status/18093415669436416
13848103580860416	stlemt911	 yrs old girl sings mom died cancer httpwww youtubecomwatchvfhcz b fssk via youtube little girl awesome pauleyp garysinise	2010-12-12	0	0	@youtube @pauleyp @garysinise			https://twitter.com/stlemt911/status/13848103580860416
13286844087148544	Trugars	 please pray jessica yearold wife marine mother monthold cancer esophagus diagnosis less week	2010-12-10	0	0				https://twitter.com/Trugars/status/13286844087148544
13044399604764672	topix_nc	 whats store pajama party aids cancer charity httpbitlygwdu s carolinabeach northcarolina	2010-12-09	0	0		#CarolinaBeach #NorthCarolina		https://twitter.com/topix_nc/status/13044399604764672
12834760623661056	topix_nc	 pajama party held raise money breast cancer awareness httpbitlyfshdhj carolinabeach northcarolina	2010-12-09	0	0		#CarolinaBeach #NorthCarolina		https://twitter.com/topix_nc/status/12834760623661056
12361831666421760	eaSTARnbound	 lemmeguess smoke medicinal reasonshope cancer its definitely increased weight	2010-12-07	0	0		#lemmeguess		https://twitter.com/eaSTARnbound/status/12361831666421760
12310710851731456	CaptainSkully	 rt livestrong want make difference lives people affected cancer httpbitlyeijeaq join team livestrong your	2010-12-07	0	0	@LIVESTRONG			https://twitter.com/CaptainSkully/status/12310710851731456
10995792986767360	topix_nc	 mass marine trying get home cancer treatment httpbitlyfrbs s jacksonville northcarolina	2010-12-04	0	0		#Jacksonville #NorthCarolina		https://twitter.com/topix_nc/status/10995792986767360
9184278373990401	27858	 dream comes true girl battling cancer httpbitlyf kzwv via httpoutsidein 	2010-11-29	0	0				https://twitter.com/27858/status/9184278373990401
9184277753241600	27858	 dream comes true girl battling cancer httpbitlyfczeph via httpoutsidein 	2010-11-29	0	0				https://twitter.com/27858/status/9184277753241600
9184274204852224	27834	 dream comes true girl battling cancer httpbitlyh hzf via httpoutsidein 	2010-11-29	0	0				https://twitter.com/27834/status/9184274204852224
9184273596686336	27834	 dream comes true girl battling cancer httpbitlyekm un via httpoutsidein 	2010-11-29	0	0				https://twitter.com/27834/status/9184273596686336
7342571235840000	27822	 family plans memorial cancer walk httpbitlyepoenr via httpoutsidein 	2010-11-24	0	0				https://twitter.com/27822/status/7342571235840000
6670787851329536	CaptainSkully	 rt usatoday coffee tea lower brain cancer risk httpusatme 	2010-11-22	0	0	@USATODAY			https://twitter.com/CaptainSkully/status/6670787851329536
6215048032681984	ASL0AN	 fourlokoingredients cancer	2010-11-21	0	0		#fourlokoingredients		https://twitter.com/ASL0AN/status/6215048032681984
5115529249423360	rhiles2760	 libertybelle church best comforting people families stricken cancer terminal disease	2010-11-17	0	0	@LibertyBelle4			https://twitter.com/rhiles2760/status/5115529249423360
3718324143783936	27858	 gr whitfield raises student cancer httpbitlya r an via httpoutsidein 	2010-11-14	0	0				https://twitter.com/27858/status/3718324143783936
3718323124568064	27834	 gr whitfield raises student cancer httpbitly zmnay via httpoutsidein 	2010-11-14	0	0				https://twitter.com/27834/status/3718323124568064
2448733287485441	imcarrieann	 need donate money cancer research ultra tan http sqcom gjzia	2010-11-10	0	0	@Ultra			https://twitter.com/imcarrieann/status/2448733287485441
