id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
2509664415653888	76262	 pastors faith endures cancerous brain tumor httpbitlycnsqzx via httpoutsidein 	2010-11-10	0	0				https://twitter.com/76262/status/2509664415653888
2420759456649216	ImNoBetterThanU	 rt nbcdfw pastors faith endures cancerous brain tumor httpbitlyc z g	2010-11-10	0	0	@nbcdfw			https://twitter.com/ImNoBetterThanU/status/2420759456649216
2418889761755137	75034	 pastors faith endures cancerous brain tumor httpbitly xvojp via httpoutsidein 	2010-11-10	0	0				https://twitter.com/75034/status/2418889761755137
29149618652	HolyMeekrob	 glue used attach pubes giant cancerous balls known cause cancer ironic	2010-10-29	0	0				https://twitter.com/HolyMeekrob/status/29149618652
28034721697	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjrwp	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28034721697
28033821724	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033821724
28033819921	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033819921
28033813572	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033813572
24735631494	AngelaMcGill	 johnriot thank sugar long its cancerous im good im gonna take bunch pills control it cut cont	2010-09-17	0	0	@JohnRiot			https://twitter.com/AngelaMcGill/status/24735631494
17969852093	writershear	 drnicomartini glad hear youre mend wasnt cancerous 	2010-07-07	0	0	@drnicomartini			https://twitter.com/writershear/status/17969852093
14297143245	sydneysageee	 amygamache found something mammogram wanna see its cancerous 	2010-05-19	0	0	@AmyGamache			https://twitter.com/sydneysageee/status/14297143245
2509664415653888	76262	 pastors faith endures cancerous brain tumor httpbitlycnsqzx via httpoutsidein 	2010-11-10	0	0				https://twitter.com/76262/status/2509664415653888
2420759456649216	ImNoBetterThanU	 rt nbcdfw pastors faith endures cancerous brain tumor httpbitlyc z g	2010-11-10	0	0	@nbcdfw			https://twitter.com/ImNoBetterThanU/status/2420759456649216
2418889761755137	75034	 pastors faith endures cancerous brain tumor httpbitly xvojp via httpoutsidein 	2010-11-10	0	0				https://twitter.com/75034/status/2418889761755137
29149618652	HolyMeekrob	 glue used attach pubes giant cancerous balls known cause cancer ironic	2010-10-29	0	0				https://twitter.com/HolyMeekrob/status/29149618652
28034721697	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjrwp	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28034721697
28033821724	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033821724
28033819921	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033819921
28033813572	ShaneStraw	 teacher tweeps helps deal cancerous attitude students classroom httpmylocmedjpwq	2010-10-21	0	0				https://twitter.com/ShaneStraw/status/28033813572
24735631494	AngelaMcGill	 johnriot thank sugar long its cancerous im good im gonna take bunch pills control it cut cont	2010-09-17	0	0	@JohnRiot			https://twitter.com/AngelaMcGill/status/24735631494
19799509280	alexbeeler	 scheduled surgery august th praise jeebus heres hoping its cancerous tumor	2010-07-29	0	0				https://twitter.com/alexbeeler/status/19799509280
17969852093	writershear	 drnicomartini glad hear youre mend wasnt cancerous 	2010-07-07	0	0	@drnicomartini			https://twitter.com/writershear/status/17969852093
14297143245	sydneysageee	 amygamache found something mammogram wanna see its cancerous 	2010-05-19	0	0	@AmyGamache			https://twitter.com/sydneysageee/status/14297143245
17966990488506368	Clutzy	 im gettin surgery doesnt look cancerous hell send pathology check surgery lookin cystbengin tumor wants check	2010-12-23	0	0				https://twitter.com/Clutzy/status/17966990488506368
17562946527830017	krwes_1	 ochocinco get rt diagnosed either hodgkins disease lymphomaboth cancerous trying stay positive thanks	2010-12-22	0	0	@ochocinco			https://twitter.com/krwes_1/status/17562946527830017
17368914690310144	NICCOLUXX	 atlanta cancerous real rap ringtonerap	2010-12-21	0	0		#RingToneRap		https://twitter.com/NICCOLUXX/status/17368914690310144
715327675572224	oldboy82	 dudes need stop talking kgs misuse cancerous talk dunked bulls	2010-11-05	0	0				https://twitter.com/oldboy82/status/715327675572224
