id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
148249217268322304	_loverface_	 please say extra prayers beautiful cousin two lil kids breast cancer looking good	2011-12-17	0	0				https://twitter.com/_loverface_/status/148249217268322304
143470118029111296	brandoneckroth	 clay_suck_it cancer family lifestyle chewtweet chewingsgross	2011-12-04	0	0	@Clay_Suck_It	#chewtweet #chewingsgross		https://twitter.com/brandoneckroth/status/143470118029111296
142117873387716608	topix_nd	 sadd hosts pancreatic cancer awareness day simle http bitlytvd ui bismarck northdakota	2011-12-01	0	0		#Bismarck #NorthDakota		https://twitter.com/topix_nd/status/142117873387716608
140093793138507776	jlondon81	 hjbiss know what see find cbs story aired yesterday bradys qb coach fight cancer excellent	2011-11-25	0	0	@HJBiss83			https://twitter.com/jlondon81/status/140093793138507776
137561673165844480	joshaskvig	 sporting arizona_wildcat azathletics jersey preparation tonights k coaches vs cancer game http twitpiccom fuxn 	2011-11-18	0	0	@Arizona_Wildcat @AZATHLETICS			https://twitter.com/joshaskvig/status/137561673165844480
130019899086082048	SteveAOster	 tim tebow tebowing a kid tweeted cancer said im tebowing im chemoing cool that	2011-10-28	0	0		#Tebowing		https://twitter.com/SteveAOster/status/130019899086082048
122774908148264960	SDgirl86	 breeann making fun extra sweat gland lime making fun someone w cancer megan no its not	2011-10-08	0	0				https://twitter.com/SDgirl86/status/122774908148264960
115105082500067328	numba1KeyJ_ist	 nick_thedick yo gurl make wanna hurl yo ass cancer malignant cause aint significant	2011-09-17	0	0	@nick_thedick			https://twitter.com/numba1KeyJ_ist/status/115105082500067328
110845770512601089	SDgirl86	 screw cancer 	2011-09-05	0	0				https://twitter.com/SDgirl86/status/110845770512601089
104419652637163520	DianaWhitley1	 droz good new dr oz husband two different places skin cancer removed thankfully benign	2011-08-19	0	1	@DrOz			https://twitter.com/DianaWhitley1/status/104419652637163520
102050762418421762	TriviaTour	 blueprint meeting bismarck cancer center pic http sqcomo anvd	2011-08-12	0	0	@Bismarck			https://twitter.com/TriviaTour/status/102050762418421762
96677295623905280	TriviaTour	 blueprint meeting bismarck cancer center pic http sqcomqdxkcq	2011-07-28	0	0	@Bismarck			https://twitter.com/TriviaTour/status/96677295623905280
86219530464010240	dcmacnut	 cancer survivorship its worth celebrating jaycee centenial park pic http sqcomkisv h	2011-06-29	0	0	@Jaycee			https://twitter.com/dcmacnut/status/86219530464010240
80289329569738752	TriviaTour	 scope project meeting bismarck cancer center http sqcomjry zl	2011-06-13	0	0	@Bismarck			https://twitter.com/TriviaTour/status/80289329569738752
