id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
285179349416685569	ClarKentM0nster	 rt zodiacfacts cancer sometimes trust issues limit lot things taking risk every then	2012-12-29	0	0	@ZodiacFacts	#Cancer		https://twitter.com/ClarKentM0nster/status/285179349416685569
284874043130277889	HopOff_myNutzHo	 cup full pink im supporting breast cancer 	2012-12-28	0	0				https://twitter.com/HopOff_myNutzHo/status/284874043130277889
283713692971970560	Chaz42096	 wish see day cancer zodiac sign	2012-12-25	0	0				https://twitter.com/Chaz42096/status/283713692971970560
281897344327368705	ClarKentM0nster	 rt cancerfollowers cancer become completely absorbed feelings sometimes best leave alone	2012-12-20	1	0	@CancerFollowers	#Cancer		https://twitter.com/ClarKentM0nster/status/281897344327368705
281863922389229569	Square_Head357	 think ima cop breast cancer foamposites bae match hollister shit got her	2012-12-20	0	0				https://twitter.com/Square_Head357/status/281863922389229569
281746886715641858	ClarKentM0nster	 rt cancerterms cancer wonderfully dependable overall despite occasional mood swings	2012-12-20	0	0	@CancerTerms	#cancer		https://twitter.com/ClarKentM0nster/status/281746886715641858
281717715297771521	ClarKentM0nster	 rt i_ cancer cancers one challenging zodiac get know	2012-12-20	0	0	@i_	#Cancers		https://twitter.com/ClarKentM0nster/status/281717715297771521
281303635042893824	ClarKentM0nster	 rt i_ cancer analysing mind cancer constantly ask overthink situation	2012-12-19	0	0	@i_	#cancer		https://twitter.com/ClarKentM0nster/status/281303635042893824
281300941397975040	ClarKentM0nster	 rt i_ cancer cancer doesnt gamble love theyve you	2012-12-19	0	0	@i_	#cancer		https://twitter.com/ClarKentM0nster/status/281300941397975040
280466225778274304	WhooIsYOUU__	 pregnancy periods breast cancer walked on rape abuse harassment us females go alot born stronger think	2012-12-16	3	0				https://twitter.com/WhooIsYOUU__/status/280466225778274304
280086367168499712	ClarKentM0nster	 rt zodiacfacts cancer prove connection worthwhile investment taking next step	2012-12-15	0	0	@ZodiacFacts	#Cancer		https://twitter.com/ClarKentM0nster/status/280086367168499712
280046057285632001	ClarKentM0nster	 rt zodiacfacts cancer feel comfortable become outgoing even aggressive	2012-12-15	1	0	@ZodiacFacts	#Cancer		https://twitter.com/ClarKentM0nster/status/280046057285632001
279790930347847683	theclaylong	 could use prayer right now pawpaw surgery cancer removed last wed today learn spread lymph nodes 	2012-12-14	0	4				https://twitter.com/theclaylong/status/279790930347847683
279503844214444033	ClarKentM0nster	 rt forthecancers cancer starts falling hard someone leave fear getting hurt	2012-12-14	0	0	@ForTheCancers	#cancer		https://twitter.com/ClarKentM0nster/status/279503844214444033
279422663884161024	JakeHarvell	 cup full pink im supporting breast cancer chainz	2012-12-13	0	0		#2chainz		https://twitter.com/JakeHarvell/status/279422663884161024
278579463057453056	JamesAdair21	 charlie sheen donates jasmine faulk los angeles girl cancer via huffpost http hufftoqtzyas	2012-12-11	0	0				https://twitter.com/JamesAdair21/status/278579463057453056
277015768321908736	Simply_Alecha	 sad delilah dies cancer stella got groove back wonderful movie smh	2012-12-07	0	0				https://twitter.com/Simply_Alecha/status/277015768321908736
276969260226580481	cobriaaa	 its gonna breast cancer sign 	2012-12-07	0	0				https://twitter.com/cobriaaa/status/276969260226580481
276768671400067072	_GodFavoredMe_	 power_ _sprite last fish cancer	2012-12-06	0	0	@Power_2_Sprite			https://twitter.com/_GodFavoredMe_/status/276768671400067072
275656729608454146	WilsonJustin46	 cup full pink im supporting breast cancer 	2012-12-03	0	0				https://twitter.com/WilsonJustin46/status/275656729608454146
275037384750551040	LoveGracie23	 zodiacfacts zodiac sign sexually satisfy pisces cancer cancer men there lol	2012-12-01	0	0	@ZodiacFacts	#Pisces		https://twitter.com/LoveGracie23/status/275037384750551040
274389826298593280	lp0928	 beyond awesome news birmingham cancer extremely blessed wonderful god	2012-11-30	4	8				https://twitter.com/lp0928/status/274389826298593280
274369351786852353	motivated_tsg	 memoriesiwontforget disgnosed mom ovarian cancer twice	2012-11-29	0	0		#MemoriesIWontForget		https://twitter.com/motivated_tsg/status/274369351786852353
