id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
285429164255895552	shelbylynnmoore	 bitchanywhorton ian_michael singing could cure cancer	2012-12-30	0	0	@BitchanyWhorton @ian_michael93			https://twitter.com/shelbylynnmoore/status/285429164255895552
270752560489566208	heart_QueenB	 isexstrology cancer sees grey area offers second chances hurt them gone lives pretty much	2012-11-19	0	0	@iSexstrology	#Cancer		https://twitter.com/heart_QueenB/status/270752560489566208
266058576030732288	P_Lindsey16	 mnasty yeah say now dad smoked cigs almost life said ehhh ill fine he dead lung cancer cont	2012-11-07	0	0	@mnasty3			https://twitter.com/P_Lindsey16/status/266058576030732288
257513607699496960	2Out_Spoken	 almost game time babyloving breast cancer awareness eagles pictwittercomb hks o	2012-10-14	0	0		#eagles		https://twitter.com/2Out_Spoken/status/257513607699496960
251519608048193536	KingLoafOfHot	 hahaha horoscope thing kinda fun dough cancer	2012-09-27	0	0		#Cancer		https://twitter.com/KingLoafOfHot/status/251519608048193536
249777497317732352	Tsache_	 dude said lung cancer still puffin cigs smh	2012-09-23	0	0				https://twitter.com/Tsache_/status/249777497317732352
247706424833097730	luvscharmed	 volunteering nanticoke cancer care center seaford	2012-09-17	0	0				https://twitter.com/luvscharmed/status/247706424833097730
243504493218643968	BladeSynger	 proud mom momentmy daughter making shirts kids cancer ward dupont could things	2012-09-05	0	0				https://twitter.com/BladeSynger/status/243504493218643968
240312900705734656	ChicChelle	 tomorrow morning grandfather surgery remove cancer itd mean lot could keep prayersthoughts	2012-08-28	0	0				https://twitter.com/ChicChelle/status/240312900705734656
239418413041209344	BladeSynger	 wilw fuck cancer rt ryanmacklin im going say right now many times life fuck cancer sigh	2012-08-25	0	0	@wilw @RyanMacklin	#sigh		https://twitter.com/BladeSynger/status/239418413041209344
237400659656310784	Tsache_	 tiqhteyes cancer new best friend	2012-08-20	0	0	@Tiqhteyes			https://twitter.com/Tsache_/status/237400659656310784
226178271988047872	beth_ah_nee	 ladies tan alot melanoma skin cancer tumors look like pictwittercomudzopdpe	2012-07-20	1	0				https://twitter.com/beth_ah_nee/status/226178271988047872
223893008754552832	JankFromThe302	 big freaks taurus virgos capricorn pisces aries gemini cancer leos sagittarius scorpios libra rt one	2012-07-13	9	0				https://twitter.com/JankFromThe302/status/223893008754552832
212774850194968576	katelynmarie__	 _toprettytocare big shout cancer fuck you fucking feel you	2012-06-13	0	0	@_ToPrettyToCare			https://twitter.com/katelynmarie__/status/212774850194968576
212561441109196802	katelynmarie__	 bridget_likeme think cancer arthritis mainge acting 	2012-06-12	0	0	@BridGet_LikeMe			https://twitter.com/katelynmarie__/status/212561441109196802
211990919887589377	KingLoafOfHot	 sosruger sign cancer 	2012-06-10	0	0	@SOSRUGER			https://twitter.com/KingLoafOfHot/status/211990919887589377
207216862520557568	daktl92	 hate sun face look like cancer 	2012-05-28	0	0				https://twitter.com/daktl92/status/207216862520557568
207108085699985408	daktl92	 somuch fucking pain went look mirror look like fucking sad ass kid cancer fuckkkk	2012-05-28	0	0				https://twitter.com/daktl92/status/207108085699985408
206856222589194240	katelynmarie__	 houstatlantash burnt ima nice tan httpstwittercomhoustatlantashstatus photo pictwittercomyjndshab holy hell tf go hospital yo skin cancer lmfaooo	2012-05-27	0	0	@houstatlantash			https://twitter.com/katelynmarie__/status/206856222589194240
