id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
285522091254640643	cubanbaby77	 fuk cancer livestrong	2012-12-30	0	0		#LiveStrong		https://twitter.com/cubanbaby77/status/285522091254640643
285517213899845632	CutlerRidgeLAZ	 sick ending seasons like this miamidolphins front office disgrace city fans cancer teams future finsfuckedus	2012-12-30	3	0	@MiamiDolphins	#FinsFuckedUs		https://twitter.com/CutlerRidgeLAZ/status/285517213899845632
285431901018279936	NayomieSuarez	 zodiacbelievers yes cancer dance car yes see staring them no care	2012-12-30	0	0	@ZodiacBelievers	#Cancer		https://twitter.com/NayomieSuarez/status/285431901018279936
285246357864853504	REALDeanKruse	 mayhemmiller geez bro stay away cancer humor that keep rockin free world	2012-12-29	0	0	@mayhemmiller			https://twitter.com/REALDeanKruse/status/285246357864853504
285166115284475904	pablito_it0	 cancerareus cancer lovers dont sleep around rotflmfao	2012-12-29	0	0	@CancerAreUs	#Cancer		https://twitter.com/pablito_it0/status/285166115284475904
285032091706605568	Stephphilbeck	 cancer horrible people praying aunt tami	2012-12-29	1	0				https://twitter.com/Stephphilbeck/status/285032091706605568
284887715974115328	QueenOfTheNilee	 lmao ivan said saw thing tv saying hispanics likely get cancer _	2012-12-29	0	0				https://twitter.com/QueenOfTheNilee/status/284887715974115328
284858253752553473	PaulArsenault	 buy pink deck cards way bar breast cancer awareness savetheta tas	2012-12-28	0	1		#SaveTheTa		https://twitter.com/PaulArsenault/status/284858253752553473
284831630135275521	kiki_baxter	 enoch_contreras happy full moon cancer	2012-12-28	0	0	@Enoch_Contreras	#Cancer		https://twitter.com/kiki_baxter/status/284831630135275521
284763613485473792	NayomieSuarez	 urfavritasshole cancer dont hold grudges theyre waste energy let go move cuz dat burden u dont need right hoe	2012-12-28	0	0	@UrFavritAsshole			https://twitter.com/NayomieSuarez/status/284763613485473792
284741126462791681	Fvck_Dreams	 wheniwaslittle used think people cancers cancer 	2012-12-28	0	0		#WhenIWasLittle		https://twitter.com/Fvck_Dreams/status/284741126462791681
284737666002599936	EliotGT	 im palm beach cancer institute west palm beach fl http sqcom uehft	2012-12-28	0	0				https://twitter.com/EliotGT/status/284737666002599936
284731631414177792	NayomieSuarez	 factsaboutme rft cancer _ cancer stubborn feel way always right	2012-12-28	1	0	@Cancer69_	#15FactsAboutMe #Cancer		https://twitter.com/NayomieSuarez/status/284731631414177792
284702269235138561	JodeciLee1	 lol mama said talkinqq phone give youu cancer 	2012-12-28	0	0				https://twitter.com/JodeciLee1/status/284702269235138561
284670467900583937	lorrieanne28	 dianadegarmo im disability due cancer hope work soon love music happy new year	2012-12-28	0	0	@DianaDeGarmo			https://twitter.com/lorrieanne28/status/284670467900583937
284645229146017792	Romeo_Vixen	 pregnancy periods breast cancer walked on rape harrassment abuse females go alot womenarestrong rt show respect	2012-12-28	0	0		#WomenAreStrong #RT		https://twitter.com/Romeo_Vixen/status/284645229146017792
284599449056067584	NothingWas_Same	 cup full pink im supportin breast cancer	2012-12-28	0	0				https://twitter.com/NothingWas_Same/status/284599449056067584
284503411343376384	NayomieSuarez	 cancerareus best match cancer pisces sheilitadgaf_x xothalia	2012-12-27	1	1	@CancerAreUs @SheilitaDGAF_x3 @xothalia	#Cancer		https://twitter.com/NayomieSuarez/status/284503411343376384
284502898832986112	KuntryKaitlyn	 i_am_hollywood test results came back deffinanetly breast cancer 	2012-12-27	0	0	@I_Am_Hollywood			https://twitter.com/KuntryKaitlyn/status/284502898832986112
