id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
282534954485833728	Trimby17	 mom officially beaten breast cancer today truly grateful	2012-12-22	4	11				https://twitter.com/Trimby17/status/282534954485833728
281218686075957248	Trimby17	 two radiation treatments mom successfully beaten breast cancer 	2012-12-18	1	8				https://twitter.com/Trimby17/status/281218686075957248
271990263671566336	katiebellx3	 cancer actually ripping life apart	2012-11-23	0	1				https://twitter.com/katiebellx3/status/271990263671566336
267835921142009857	jesssrhodesss	 try living it its worst thing ever hope nobody ever hit disease could possibly worse cancer 	2012-11-11	0	0				https://twitter.com/jesssrhodesss/status/267835921142009857
260935179093282817	jesssrhodesss	 curing cancer simple eating lot purple ketchup nobody thought trying yet	2012-10-23	1	0				https://twitter.com/jesssrhodesss/status/260935179093282817
255815148659429376	CharlieConway91	 lilpoppy c_godfrey hahaha beautiful karel see roch pink night breast cancer fuck sojealous	2012-10-09	0	0	@lilpoppy33 @C_Godfrey9	#sojealous		https://twitter.com/CharlieConway91/status/255815148659429376
253900257539260416	logymichelle	 cougarmandoyle girl infront killed darts potsdam norwood someone call american cancer society	2012-10-04	0	0	@CougarManDoyle			https://twitter.com/logymichelle/status/253900257539260416
251792807226929153	rickwarken	 mvbcyp prayed understand count us pray rice family without ceasing could everyone pray cancer 	2012-09-28	0	0	@mvbcyp			https://twitter.com/rickwarken/status/251792807226929153
245557792470102016	m_lynch22	 congratulations coachtwenty cancer free	2012-09-11	2	1	@coachtwenty4			https://twitter.com/m_lynch22/status/245557792470102016
239020771551367168	kmacvittie	 one impressed lance could dope cancer die its rules cuz its dangerous	2012-08-24	0	0				https://twitter.com/kmacvittie/status/239020771551367168
235400691923955713	jwla	 mbmulhall cancer chemo made weak bad stonach infection cant fight off 	2012-08-14	0	0	@MBMulhall			https://twitter.com/jwla/status/235400691923955713
234820183120834560	LilNikki44	 st drag cigg smoke st bowl nighti understand causes cancer feelssogood thingsilove	2012-08-12	0	0		#FeelsSoGood #ThingsILove		https://twitter.com/LilNikki44/status/234820183120834560
229375577616969728	Trimby17	 coincidence brand makes brest cancer golf ball titech pictwittercomguelfcc 	2012-07-28	0	0		#TITech		https://twitter.com/Trimby17/status/229375577616969728
228009524215287810	Trimby17	 cannot stress grateful mom die cancer 	2012-07-25	0	0				https://twitter.com/Trimby17/status/228009524215287810
211575653210927104	britz	 road warriors prerace dinner cbritz runs support cancer research gr quote dont fear cancer respect it http sqcommu hg	2012-06-09	0	0	@cbritz			https://twitter.com/britz/status/211575653210927104
208493745669275648	prostatediaries	 breast cancer regulator also found prostate cancer newswise researchers clarkson university potsdam http bitlym kfak	2012-06-01	0	0				https://twitter.com/prostatediaries/status/208493745669275648
208415465758932992	topix_ny	 breast cancer regulator also found prostate cancer http bitlylqjozu potsdam newyork	2012-06-01	0	0		#Potsdam #NewYork		https://twitter.com/topix_ny/status/208415465758932992
202941096043618304	RobbieOrbach	 lancearmstrong one cancer survivor another amazing role model looking good thankyou pictwittercomenpb z 	2012-05-16	0	0	@lancearmstrong	#thankyou		https://twitter.com/RobbieOrbach/status/202941096043618304
200795056515448832	PapiScoe	 guy lost mom today cancer keep j rock n family ya prayers nite rip ms harper	2012-05-10	2	0				https://twitter.com/PapiScoe/status/200795056515448832
192402937031569409	Trimby17	 shleemee breast cancer bad	2012-04-17	0	0	@shleemee			https://twitter.com/Trimby17/status/192402937031569409
189447573004759040	amsher10	 uberfacts maple syrup actually contains antioxidants beneficial compounds help fight cancer _joellemarie ohcanada	2012-04-09	0	0	@UberFacts @_JoelleMarie	#ohCanada		https://twitter.com/amsher10/status/189447573004759040
158107949754105857	topix_ny	 possible receptor key breast cancer regulator identified http bitlywaogmm potsdam newyork	2012-01-14	0	0		#Potsdam #NewYork		https://twitter.com/topix_ny/status/158107949754105857
284529180295704576	michayla__	 nothing kills high like commercial kids cancer 	2012-12-28	0	0				https://twitter.com/michayla__/status/284529180295704576
