id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
285299154031357952	NinaMeliza	 last paragraph point hahaha ill always land feet xstrology gemini cancer cusp http xstrologyscopescomarticlesgemin igeminicancercusp 	2012-12-30	0	0	@XSTROLOGY	#Gemini #Cancer		https://twitter.com/NinaMeliza/status/285299154031357952
285272011398336512	DevilDogDating	 uberfacts men masturbate lower chance getting prostate cancer guess cancer free two life times	2012-12-30	0	0	@UberFacts			https://twitter.com/DevilDogDating/status/285272011398336512
285010451350290432	aimie_ash	 xstrology cancer love sex go together	2012-12-29	0	0	@XSTROLOGY	#Cancer		https://twitter.com/aimie_ash/status/285010451350290432
284328294613147648	RileyLynch	 im lombardi cancer center georgetown university washington dc http sqcomyqfuif	2012-12-27	0	0				https://twitter.com/RileyLynch/status/284328294613147648
284084034462707712	JessicaSecrist	 looking ahead cancer research looks set thriveparticularly transitional research arena development new therapeutics	2012-12-26	0	0				https://twitter.com/JessicaSecrist/status/284084034462707712
283459610432659457	Edwinx_x	 squeezing tits prevents breast cancer http twitpiccombp zky	2012-12-25	0	0				https://twitter.com/Edwinx_x/status/283459610432659457
283270147786043392	kucmh010	 know cancer patient survivor hug little tighter holiday continue give strength happiness	2012-12-24	0	0				https://twitter.com/kucmh010/status/283270147786043392
283266535739510784	otto_voettiner	 battling lifethreatening leukemia cancer months coach chuck pagano back colts chuckstrong	2012-12-24	0	0		#CHUCKSTRONG		https://twitter.com/otto_voettiner/status/283266535739510784
283037234049990656	kayla_dupree	 gemini pisces taurus leo aries cancer sagittarius scorpio virgos winning 	2012-12-23	1	0		#Winning		https://twitter.com/kayla_dupree/status/283037234049990656
283019933259010048	cuntent	 cancer beat papa	2012-12-23	0	0				https://twitter.com/cuntent/status/283019933259010048
282986077902471168	topix_va	 reston family lights hope cancer patients http bitlyuna zg reston virginia	2012-12-23	0	0		#Reston #Virginia		https://twitter.com/topix_va/status/282986077902471168
282958802301632512	nae_oh_mii	 within years ive lost family members cancer 	2012-12-23	0	0				https://twitter.com/nae_oh_mii/status/282958802301632512
282894287715315715	Twoolz14	 rip summer didnt know all everybody deserves life nobody stronger cancer patient resteasyoudeserveit	2012-12-23	0	0				https://twitter.com/Twoolz14/status/282894287715315715
282611106898382848	JustSomone34	 scorpiomystique friendship matches scorpio cancer pisces libra virgo capricorn taurus 	2012-12-22	0	0	@ScorpioMystique	#Scorpio #Cancer #Pisces #Libra #Virgo #Capricorn #Taurus		https://twitter.com/JustSomone34/status/282611106898382848
282609908074045440	beckygrainjer	 look cancer fresh right	2012-12-22	0	0				https://twitter.com/beckygrainjer/status/282609908074045440
282336257701445632	Danii489	 achu isnt true lol zodiacfacts best compatible car passenger cancer taurus	2012-12-21	0	0	@Achu22 @ZodiacFacts	#Cancer		https://twitter.com/Danii489/status/282336257701445632
282176072487936000	gthreepio	 theadmiraljn tikis twin kidney cancer one told me	2012-12-21	0	0	@theadmiraljn			https://twitter.com/gthreepio/status/282176072487936000
282087542877220864	trali1975	 stephenmowens needing job cure moms liver cancer well	2012-12-21	0	0	@StephenMOwens			https://twitter.com/trali1975/status/282087542877220864
281907262182797312	topix_va	 reston family lights hope cancer patients http bitlyxrc jf reston virginia	2012-12-20	0	0		#Reston #Virginia		https://twitter.com/topix_va/status/281907262182797312
