id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
285262379787366400	TheGreatSuar	 uberfacts men masturbate lower chance getting prostate cancer probably clear el_justino_	2012-12-30	0	0	@UberFacts @el_justino_			https://twitter.com/TheGreatSuar/status/285262379787366400
285255645748404224	DeltaCinderella	 premedprincess_ always welcome im thinking getting ms nutrition working w cancer patients starts w microbiology	2012-12-30	0	1	@PremedPrincess_			https://twitter.com/DeltaCinderella/status/285255645748404224
285199143708798977	archietibayan	 visited mom tonight cancer 	2012-12-29	0	0				https://twitter.com/archietibayan/status/285199143708798977
285164927000399872	MicaleShipman	 cancerareus sex cancer celestially filled emotion its magical amazing experience	2012-12-29	1	0	@CancerAreUs	#cancer		https://twitter.com/MicaleShipman/status/285164927000399872
285093164845510656	MicaleShipman	 cancerareus cancer lover many ways ideal lover takes care you love you sex probably cloth you	2012-12-29	0	0	@CancerAreUs	#Cancer		https://twitter.com/MicaleShipman/status/285093164845510656
285091408661082112	MicaleShipman	 cancerareus cancer high expectations love leads major disappointments love life	2012-12-29	0	0	@CancerAreUs	#cancer		https://twitter.com/MicaleShipman/status/285091408661082112
284892421580521472	lankyzor	 bbcbreaking former england cricket captain tony greig diagnosed lung cancer earlier year died aged tony	2012-12-29	0	0	@BBCBreaking	#Greig		https://twitter.com/lankyzor/status/284892421580521472
284816732055564288	KulaMovement	 happy full moon final moon falls cancer moon invites us dive deep realm dreams imagination and	2012-12-28	0	0				https://twitter.com/KulaMovement/status/284816732055564288
284781741703565313	AnUpppityNegro	 im going kid see news years either serial killer cured cancer dontyathink 	2012-12-28	0	0		#DontYaThink		https://twitter.com/AnUpppityNegro/status/284781741703565313
284763879551168512	vvickedme	 year ago today prostate cancer took away father words cant explain much hurts much miss him	2012-12-28	0	0				https://twitter.com/vvickedme/status/284763879551168512
284558704265805824	casery1896	 fuck cancer	2012-12-28	0	0				https://twitter.com/casery1896/status/284558704265805824
284183482501054464	Phlabergasted	 mercola always say sunscreen causes skin cancer i idea facts definitly give concideration	2012-12-27	0	0	@mercola			https://twitter.com/Phlabergasted/status/284183482501054464
284019197690904577	AKAseOfMystery	 xstrology cancer funny quiet suddenly sad horrible truth	2012-12-26	0	0	@XSTROLOGY	#Cancer		https://twitter.com/AKAseOfMystery/status/284019197690904577
283822269833285633	MakenzieHobart	 wish cancer got cancer died missyougrandpa 	2012-12-26	1	0		#MissYouGrandpa		https://twitter.com/MakenzieHobart/status/283822269833285633
283776988668370944	RobbieAhrens	 grandpa diagnosed prostate cancer years ago told less years live point thats miracle	2012-12-25	0	3				https://twitter.com/RobbieAhrens/status/283776988668370944
