id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
273256587899047936	tvlorenz	 huffingtonpost fox news shawn hannity cancerous case denial ln prime time sane world ever seen	2012-11-26	0	0	@HuffingtonPost			https://twitter.com/tvlorenz/status/273256587899047936
273276435957956609	mae_price_	 hate cancerous life behappy	2012-11-26	1	1		#behappy		https://twitter.com/mae_price_/status/273276435957956609
256881826801541120	bitabama	 bastard killed yr old child hope never find peace may grow cancerous death slow sickfuck	2012-10-12	0	0		#sickfuck		https://twitter.com/bitabama/status/256881826801541120
241749674300686336	UKnowBoutMatt	 cancer bit cancerous argue much lmfo cool kat tho lol	2012-09-01	1	0				https://twitter.com/UKnowBoutMatt/status/241749674300686336
241673653874483201	KevinYeaux	 water boil order lifted west baton rouge im glad got contamination prestorm levels cancerous 	2012-08-31	0	0				https://twitter.com/KevinYeaux/status/241673653874483201
238845554862485505	Tayydean	 kristenajubita well found tumor size pea brain its cancerous watch growth	2012-08-23	0	0	@KristenAjubita			https://twitter.com/Tayydean/status/238845554862485505
238804280641978368	Tayydean	 catiebooth oh gosh im sorry one size pea its cancerous though	2012-08-23	0	0	@catiebooth			https://twitter.com/Tayydean/status/238804280641978368
180126408146829313	h_borne	 cant take facebook anymore dying cancerous children starving people cute couples pleasestop	2012-03-14	3	0		#pleasestop		https://twitter.com/h_borne/status/180126408146829313
157977439627259904	edinnola1	 british mother six claims shes cancerfree coughing cancerous throat tumor http androidlocalwirelesscomwapnewstext jspsid nid cid scid suzyturquoise wow	2012-01-13	0	0	@suzyturquoise			https://twitter.com/edinnola1/status/157977439627259904
273276435957956609	mae_price_	 hate cancerous life behappy	2012-11-26	1	1		#behappy		https://twitter.com/mae_price_/status/273276435957956609
241749674300686336	UKnowBoutMatt	 cancer bit cancerous argue much lmfo cool kat tho lol	2012-09-01	1	0				https://twitter.com/UKnowBoutMatt/status/241749674300686336
180126408146829313	h_borne	 cant take facebook anymore dying cancerous children starving people cute couples pleasestop	2012-03-14	3	0		#pleasestop		https://twitter.com/h_borne/status/180126408146829313
157977439627259904	edinnola1	 british mother six claims shes cancerfree coughing cancerous throat tumor http androidlocalwirelesscomwapnewstext jspsid nid cid scid suzyturquoise wow	2012-01-13	0	0	@suzyturquoise			https://twitter.com/edinnola1/status/157977439627259904
273276435957956609	mae_price_	 hate cancerous life behappy	2012-11-26	1	1		#behappy		https://twitter.com/mae_price_/status/273276435957956609
180126408146829313	h_borne	 cant take facebook anymore dying cancerous children starving people cute couples pleasestop	2012-03-14	3	0		#pleasestop		https://twitter.com/h_borne/status/180126408146829313
256881826801541120	bitabama	 bastard killed yr old child hope never find peace may grow cancerous death slow sickfuck	2012-10-12	0	0		#sickfuck		https://twitter.com/bitabama/status/256881826801541120
238845554862485505	Tayydean	 kristenajubita well found tumor size pea brain its cancerous watch growth	2012-08-23	0	0	@KristenAjubita			https://twitter.com/Tayydean/status/238845554862485505
238804280641978368	Tayydean	 catiebooth oh gosh im sorry one size pea its cancerous though	2012-08-23	0	0	@catiebooth			https://twitter.com/Tayydean/status/238804280641978368
170933468753166336	FlizzleFlame_32	 liljuke everybody know teamfevahouseent lyrically flowvicious cancerous	2012-02-18	1	0	@LilJuke32	#TEAMFevaHouseEnt #FlowVicious #Cancerous		https://twitter.com/FlizzleFlame_32/status/170933468753166336
256881826801541120	bitabama	 bastard killed yr old child hope never find peace may grow cancerous death slow sickfuck	2012-10-12	0	0		#sickfuck		https://twitter.com/bitabama/status/256881826801541120
