id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
186215894299590659	ThePatrickSisk	 commercial guys confidence comes sings freaks out needs get check could cancerous truth	2012-03-31	0	0		#truth		https://twitter.com/ThePatrickSisk/status/186215894299590659
180696295403552768	2LockedInLife	 tumor taken wasnt cancerous vanderbilt surgical intensive care http sqcomfpmwcj	2012-03-16	0	0	@Vanderbilt			https://twitter.com/2LockedInLife/status/180696295403552768
262085807219810304	Ash_Stokes	 thought contracted massive cancerous mole throughout night black sequin stuck side we regood	2012-10-27	0	0		#we		https://twitter.com/Ash_Stokes/status/262085807219810304
160215312581668868	Carolynleigh2	 apparently im cancerous mole hahaha goodone	2012-01-19	0	0		#hahaha #Goodone		https://twitter.com/Carolynleigh2/status/160215312581668868
263150018532372480	robbieg1111	 mom finds thursday biopsy see cancerous not please send little prayer	2012-10-30	2	1				https://twitter.com/robbieg1111/status/263150018532372480
231111509739200512	jmillyuhmilly	 well mom another cat scan morning shows sign cancerous tumors hope strong family cure worst	2012-08-02	1	0				https://twitter.com/jmillyuhmilly/status/231111509739200512
204289401327587329	SnappinNicholas	 justinpetty got stabbed doctor stabbed mean mole removed thought might cancerous 	2012-05-20	0	0	@JustinPetty			https://twitter.com/SnappinNicholas/status/204289401327587329
204289401327587329	SnappinNicholas	 justinpetty got stabbed doctor stabbed mean mole removed thought might cancerous 	2012-05-20	0	0	@JustinPetty			https://twitter.com/SnappinNicholas/status/204289401327587329
174674379983163392	kolbsmarie93	 elaine_wheat chance found spot breast biopsy yesterday see cancerous 	2012-02-28	0	0	@elaine_wheat			https://twitter.com/kolbsmarie93/status/174674379983163392
204289401327587329	SnappinNicholas	 justinpetty got stabbed doctor stabbed mean mole removed thought might cancerous 	2012-05-20	0	0	@JustinPetty			https://twitter.com/SnappinNicholas/status/204289401327587329
