id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417801115288084481	MarcyAthanBucy	 son cancer may sterile chemo knows it said adopt adoption	2013-12-30	0	0		#adoption		https://twitter.com/MarcyAthanBucy/status/417801115288084481
417799334583746561	YungAnt_	 cancerterms cancer s beautiful smiles graceful moves expressive eyesnope	2013-12-30	0	2	@CancerTerms	#Cancer		https://twitter.com/YungAnt_/status/417799334583746561
417798783343140864	marshaflower	 mom told dr told need test tooo see doesnt cervical cancer 	2013-12-30	0	0				https://twitter.com/marshaflower/status/417798783343140864
417798637519769600	erikkoral	 coslive school seven bells member benjamin curtis died effects cancer http bitlyjg r q awful 	2013-12-30	0	0	@coslive			https://twitter.com/erikkoral/status/417798637519769600
417796684866138112	veronica651988	 visited mom cancer free mom beat cancer survivor blessedthelord uci http instagramcompikfznkgb r	2013-12-30	0	0	@UCI	#Blessedthelord		https://twitter.com/veronica651988/status/417796684866138112
417795028086317057	Iindadougie	 fuck cancer	2013-12-30	0	0				https://twitter.com/Iindadougie/status/417795028086317057
417771262576836608	santiagocoral12	 smoked cigarette gave cancer	2013-12-30	0	0				https://twitter.com/santiagocoral12/status/417771262576836608
417766338258427905	filipinoslugger	 well since colonoscopy takes place tomorrow hope doctors find nothing serious im still young cancer take life	2013-12-30	0	0				https://twitter.com/filipinoslugger/status/417766338258427905
417760340953137152	yardleysarah	 results physical cancer good health lost pounds fully immunized win	2013-12-30	0	5		#win		https://twitter.com/yardleysarah/status/417760340953137152
417759070842392576	Cheif_Tanner	 hope whoever stole shit gets pancreatic cancer	2013-12-30	0	1				https://twitter.com/Cheif_Tanner/status/417759070842392576
417756162742710272	jffstphns3	 pray mt relevant darlene zschech announced treated breast cancer http relmag tyldj	2013-12-30	0	0	@RELEVANT			https://twitter.com/jffstphns3/status/417756162742710272
417751997274542080	mandii0394	 breaks heart pieces seeing people struggle cancer fuckcancer	2013-12-30	0	2		#fuckcancer		https://twitter.com/mandii0394/status/417751997274542080
417738904712654849	Rick_Vega24	 feel wrong wearing pink shorts theyre awareness breast cancer shouldnt feel way	2013-12-30	0	1				https://twitter.com/Rick_Vega24/status/417738904712654849
417727736073822208	NicaraguaBendit	 elnuevodiario el cncer de hgado es la tercera causa de muerte en nicaragua ms detalles http bitlyjf whw	2013-12-30	0	0	@elnuevodiario	#Nicaragua		https://twitter.com/NicaraguaBendit/status/417727736073822208
417713794542882816	JeanetteLOBrien	 rachelzoe worst year ever miscarriage weeks cancer bite me	2013-12-30	0	0	@RachelZoe			https://twitter.com/JeanetteLOBrien/status/417713794542882816
417712297617137664	BubbaJM5	 arrived dads injection home comprehensive blood cancer center http owlys u c	2013-12-30	0	0	@Comprehensive			https://twitter.com/BubbaJM5/status/417712297617137664
417637958724775937	CarlJBunker	 sorry not being ten year old kid with cancer was money would pouring people pocket	2013-12-30	0	2				https://twitter.com/CarlJBunker/status/417637958724775937
417602871756988416	amiraarya	 cancerterms cancer cancer woman anger easily smallest mishaps kalenn	2013-12-30	0	0	@CancerTerms @kalenn	#Cancer		https://twitter.com/amiraarya/status/417602871756988416
417599236809564162	__Bval__	 cancer _ht aint fucken truth cancer	2013-12-30	0	0	@Cancer	#cancer		https://twitter.com/__Bval__/status/417599236809564162
417594516246261760	amiraarya	 kalenn cancer s settled relationshipif dont feel loved secretly find another fulfill emotional needs	2013-12-30	0	0	@kalenn	#Cancer		https://twitter.com/amiraarya/status/417594516246261760
417582353037271040	bbymacee	 crying even aunt cancer omg cant even deal	2013-12-30	0	4				https://twitter.com/bbymacee/status/417582353037271040
417567223490674689	NatalieAvitia19	 hate white socks one pair theyre breast cancer elites	2013-12-30	0	0				https://twitter.com/NatalieAvitia19/status/417567223490674689
417558271768014848	Iindadougie	 thebasedjew fuck cancer httpstwittercomthebasedjewstatus photo pictwittercom d zbnybxh rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft rft	2013-12-30	0	0	@thebasedjew			https://twitter.com/Iindadougie/status/417558271768014848
417558141266452480	ann_m_paty	 know dignified means raising breast cancer awareness i boobies paraphernalia integrity respect women	2013-12-30	0	6				https://twitter.com/ann_m_paty/status/417558141266452480
417557953374191616	SirGhoe_92	 cancer bitch	2013-12-30	0	1				https://twitter.com/SirGhoe_92/status/417557953374191616
417557089678946304	stylesfrapp	 im bakersfield finally came see cousin while hope beats cancer recovers soon hecandoit	2013-12-30	0	0		#hecandoit		https://twitter.com/stylesfrapp/status/417557089678946304
417550511076687873	alondrawut	 nadster_ im trying sound rude dont understand like awareness breast cancer rmft	2013-12-30	0	0	@nadster_			https://twitter.com/alondrawut/status/417550511076687873
417543050613624832	_DrinkinAlize	 cancerterms dating cancer like frank ocean thinking you think far ahead theyre thinking forever	2013-12-30	0	0	@CancerTerms	#Cancer		https://twitter.com/_DrinkinAlize/status/417543050613624832
417539518191783936	Mickleyyyy	 one stronger kid whos parent cancer cuz honestly idk howd deal	2013-12-30	0	0				https://twitter.com/Mickleyyyy/status/417539518191783936
417539393365110784	ruizmagda93	 horoscopa relationship waste time cancer wrong ones teach lessons prepare right ones	2013-12-30	0	0	@Horoscopa	#Cancer		https://twitter.com/ruizmagda93/status/417539393365110784
417532702439383040	mgrossi1	 mikewhitmore yes thyroid aggressive breast cancer leukemia husband two brain tumors last yrs strokes everyday counts	2013-12-30	0	0	@mikewhitmore			https://twitter.com/mgrossi1/status/417532702439383040
417531703381336064	kimbigman__	 harry name kim recently finished along battle cancer dream wish would could daughter meet	2013-12-30	0	0				https://twitter.com/kimbigman__/status/417531703381336064
417523322537009154	22JayMac	 know many family gotten cancer died it im always support find cure breastcancer	2013-12-30	0	0		#BreastCancer		https://twitter.com/22JayMac/status/417523322537009154
417522756943495169	LosAngelesCP	 supermodel gisele bundchen surprises teenage cancer patient day christmas biggest gift all http dlvrit bsyxm	2013-12-30	0	0				https://twitter.com/LosAngelesCP/status/417522756943495169
417521222805504000	22JayMac	 game socks wear every game night grandma survived cancer breastcancerawareness breastcancer pictwittercomjbrp yxybm	2013-12-30	0	0		#BreastCancerAwareness #BreastCancer		https://twitter.com/22JayMac/status/417521222805504000
417520377850380291	ManOf_The_Year	 cancer commercials got nigga feeling guilty smh	2013-12-29	0	0				https://twitter.com/ManOf_The_Year/status/417520377850380291
417514934918856704	tstreet	 horror scream queens fight cancer aconundrummovie prints charity jessicacameron_ http googlwsbawz pictwittercomwbigkgqrty	2013-12-29	2	4	@AConundrumMovie @JessicaCameron_	#horror #cancer		https://twitter.com/tstreet/status/417514934918856704
