id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417805400512401408	TaytayyBitch	 rt see sign pisces aries taurus gemini cancer leo virgo libra scorpio sagittarius capricorn aquarius	2013-12-30	20	2				https://twitter.com/TaytayyBitch/status/417805400512401408
417800076241539073	sibrinav	 garybergermd go er call iud different things places go fda knowingly give us something cause cancer	2013-12-30	0	0	@GaryBergerMD			https://twitter.com/sibrinav/status/417800076241539073
417780965398683648	marvindeans	 im ill enough cure cancer baby im chemo	2013-12-30	0	0				https://twitter.com/marvindeans/status/417780965398683648
417764826325450752	jmoore7103	 excruciating watch pain misery god awful disease causing momma please god give strength lungcancer cancer	2013-12-30	0	1		#lungcancer #cancer		https://twitter.com/jmoore7103/status/417764826325450752
417759450028453888	sibrinav	 brighamwomens discover fda letting cancer products med_watcher drug_watch essure bayer playing games pictwittercomikxjtyq fr	2013-12-30	2	0	@brighamwomens @med_watcher @Drug_watch	#fda #essure #Bayer		https://twitter.com/sibrinav/status/417759450028453888
417754752257359872	tfbdess	 cancer _ht reason cancer talk ones whose answers accept	2013-12-30	0	0	@Cancer	#Cancer		https://twitter.com/tfbdess/status/417754752257359872
417735985032888320	fiesty404	 truth cancer _ht cancer hate never try hurt someones feelings nowhere must provoked first	2013-12-30	0	0	@Cancer	#Truth #Cancer		https://twitter.com/fiesty404/status/417735985032888320
417712401006731264	jay_andrew11	 dentist said perfect teeth gums dip every day josh got tested gum cancer almost never dips	2013-12-30	0	6				https://twitter.com/jay_andrew11/status/417712401006731264
417685381614952448	tokiochic87	 im choa aflac cancer blood disorder center egleston atlanta ga http sqcom cq fy 	2013-12-30	0	0	@Egleston			https://twitter.com/tokiochic87/status/417685381614952448
417679047863189504	sibrinav	 bayerhealthcare many u need fdarecalls americancancer essure drs knew may cause cancer cdcgov drug_watch httpwww accessdatafdagovscriptscdrhc fdocscfmauderesultscfmstart_search searchyearproductcodeproductproblemdevicenameknumberkpmanumberpmanufacturerconceptusbrandnameessureeventtypereportdatefrom reportdateto pagenum key_count 	2013-12-30	2	0	@BayerHealthCare @FDArecalls @AmericanCancer @CDCgov @Drug_watch	#essure		https://twitter.com/sibrinav/status/417679047863189504
417655801357271040	CarlsBrownn	 smoking cig cancer center feels wrong	2013-12-30	0	2				https://twitter.com/CarlsBrownn/status/417655801357271040
417569894948159488	_imQueenK	 mogwuaap types cancer get cause uncle died shit really hurts see ppl go thru man	2013-12-30	0	0	@MOGwuaap			https://twitter.com/_imQueenK/status/417569894948159488
417530638561193984	edenjmiller	 fuck cancer 	2013-12-30	0	5				https://twitter.com/edenjmiller/status/417530638561193984
417471833210761217	HuffingtonsPost	 thestacylouis looks cancer	2013-12-29	0	0	@TheStacyLouis			https://twitter.com/HuffingtonsPost/status/417471833210761217
417444362189279233	KTKirby	 bravo u robinroberts may cancer free much happiness u gf yourock gma gmanews gma samchampion	2013-12-29	0	0	@RobinRoberts @GMA @gmanews @SamChampion	#YouRock #gma		https://twitter.com/KTKirby/status/417444362189279233
417442977766985729	JSwifttt	 irapedoprah_ dollar tree sell non brand chips cause cancer reproductive issues cries 	2013-12-29	0	0	@IRapedOprah_			https://twitter.com/JSwifttt/status/417442977766985729
417425070319869952	IrishInAtlanta	 deltalina sorry loss let know family might need support cancer charities help	2013-12-29	0	0	@Deltalina	#help		https://twitter.com/IrishInAtlanta/status/417425070319869952
417422193191313409	HowardMiles38	 espngreeny got mom a cancer survivor copy all could ask for christmas enjoyed it thank writing it	2013-12-29	0	0	@Espngreeny			https://twitter.com/HowardMiles38/status/417422193191313409
417403055135784960	savanner94	 xstrology cancer lady street chef kitchen whore bedroom keefe_kim	2013-12-29	0	1	@XSTROLOGY @keefe_kim	#Cancer		https://twitter.com/savanner94/status/417403055135784960
417379206205800448	channingbtuell	 cancer terrible sickness	2013-12-29	2	15				https://twitter.com/channingbtuell/status/417379206205800448
417358303094919168	xoKatelynnC	 mama might breast cancer could day get worse 	2013-12-29	0	0				https://twitter.com/xoKatelynnC/status/417358303094919168
417349636849152000	ilovegirlss_	 shes virgo sagittarius cancer taurus leo libra pisces aquarius aries shes keeper 	2013-12-29	12	2				https://twitter.com/ilovegirlss_/status/417349636849152000
417347020353847296	lafemmesophia	 zodiacfacts its easy fall love w cancer even harder fall love w them scotchbutter cant wait see you	2013-12-29	0	0	@ZodiacFacts @scotchbutter			https://twitter.com/lafemmesophia/status/417347020353847296
417342631320887296	CaseyLady624	 xstrology cancer lady street chef kitchen whore bedroomlmfao	2013-12-29	0	0	@XSTROLOGY	#Cancer		https://twitter.com/CaseyLady624/status/417342631320887296
417335498286198784	A_Hand_Full	 cancer _ht cancer like people dont beat around bush	2013-12-29	0	0	@Cancer	#Cancer		https://twitter.com/A_Hand_Full/status/417335498286198784
417331515802918913	IBreedInsanity	 uberfacts orgasms lower womans risk heart disease breast cancer stroke depression deny guys sex smh	2013-12-29	0	0	@UberFacts			https://twitter.com/IBreedInsanity/status/417331515802918913
