id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417714275885412352	libbybouma	 jakebouma im super excited officially introduce new cancer theology ebook http bitlyctebook wonderful read	2013-12-30	0	0	@jakebouma			https://twitter.com/libbybouma/status/417714275885412352
417385975229083648	tkayyy__	 xstrology cancer try work things outbut done done wont go back	2013-12-29	0	0	@XSTROLOGY	#Cancer		https://twitter.com/tkayyy__/status/417385975229083648
417353450536448000	___xpink	 _picassobaby mom finally home cancer free pictwittercom yltwrhpiz beautiful	2013-12-29	18	13	@_PicassoBaby			https://twitter.com/___xpink/status/417353450536448000
417157364140105728	xJakeDinger	 web md logic i stubbed toe you brain cancer 	2013-12-28	0	0				https://twitter.com/xJakeDinger/status/417157364140105728
416983297831362560	jwia	 cancer bitch people life diagnosed within last month findacure	2013-12-28	0	2		#findacure		https://twitter.com/jwia/status/416983297831362560
416970862051352576	js4jamie	 meganhorn promoted webmd so its germs its cancer 	2013-12-28	0	0	@meganhorn			https://twitter.com/js4jamie/status/416970862051352576
416953817880854528	mcdonalds2014	 cancer lot cancer cannot do take away faith destroy true friendship lesson love acceptance	2013-12-28	0	2		#acceptance		https://twitter.com/mcdonalds2014/status/416953817880854528
416948626628554752	XxMcAwesomexX	 autumn_ranae especially want die gum cancer 	2013-12-28	0	0	@Autumn_ranae15			https://twitter.com/XxMcAwesomexX/status/416948626628554752
416736442690191360	Dylc9	 commoncurtisey like cancer 	2013-12-27	0	0	@CommonCurtisey			https://twitter.com/Dylc9/status/416736442690191360
416658057951604736	FehimPorcic	 bosniankidd_ lmao smoking drinking doesnt age skin super fast give skin cancer ugly wrinkles grow up	2013-12-27	0	0	@bosniankidd_			https://twitter.com/FehimPorcic/status/416658057951604736
416386546627911680	rylillquist	 read lindsey aubrey goes mommy youre gonna get throat cancer pictwittercommxo n o g	2013-12-26	0	1				https://twitter.com/rylillquist/status/416386546627911680
416328070794997760	Kling_15	 courtney said looked like cancer patient	2013-12-26	0	4				https://twitter.com/Kling_15/status/416328070794997760
416300655347654656	Hooper_Dreams21	 uncle got throat cancer	2013-12-26	0	0				https://twitter.com/Hooper_Dreams21/status/416300655347654656
416295287569657856	reineke4367	 factboook youre likely get throat cancer oral sex smoking whoa ladies	2013-12-26	0	0	@FactBoook			https://twitter.com/reineke4367/status/416295287569657856
416064665429356544	Morgan_Mishel	 heart goes anybody lost anybody due cancer	2013-12-25	0	7				https://twitter.com/Morgan_Mishel/status/416064665429356544
416063880675069952	Morgan_Mishel	 read messages like makes mad cancer show somebodys life screw everything	2013-12-25	0	1				https://twitter.com/Morgan_Mishel/status/416063880675069952
416005437519966208	theisisgroup	 one year ago december th dad lost battle cancer think everyday love miss dad see side	2013-12-25	0	1				https://twitter.com/theisisgroup/status/416005437519966208
415952001504010241	shanshanny95	 worst thing hear christmas grandpa cancer	2013-12-25	0	0				https://twitter.com/shanshanny95/status/415952001504010241
415937045643542528	tkayyy__	 isexstrology like excitement surprise hit cancer never chance get bored	2013-12-25	0	0	@iSexstrology	#Cancer		https://twitter.com/tkayyy__/status/415937045643542528
415914650803265537	ItsaTraVesTy_	 iowa terminal cancer patient entire family arrested medical marijuana use hemp news http hemporgnewscontenti owaterminalcancerpatiententirefamilyarrestedhismedicalmarijuanause 	2013-12-25	0	0				https://twitter.com/ItsaTraVesTy_/status/415914650803265537
415892483176804352	justisneff	 seeing grandpa broken arm cancer knowing doesnt much longer makes want longer christmas	2013-12-25	0	3				https://twitter.com/justisneff/status/415892483176804352
415692290028363776	carterj01	 leah told mom would shave head mom got cancer think ment hair	2013-12-24	0	0				https://twitter.com/carterj01/status/415692290028363776
415617037554049024	calebploeger	 brother turned bo burnhams new stand favor larry cable guys new stand up cancer	2013-12-24	0	2		#cancer		https://twitter.com/calebploeger/status/415617037554049024
415320409911746561	TheRealC_Davis	 people dont understand cause cancer 	2013-12-23	1	1				https://twitter.com/TheRealC_Davis/status/415320409911746561
