id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
416652012089266176	itsmoniquexoxo	 fuegodon zodiacareus cancer make happy without even trying	2013-12-27	6	0	@Fuegodon @ZodiacAreUs	#Cancer		https://twitter.com/itsmoniquexoxo/status/416652012089266176
416603817187106816	hippiel0ver	 omg grandmas cancer spot went omg its shrinking	2013-12-27	0	3				https://twitter.com/hippiel0ver/status/416603817187106816
416558284758208512	hippiel0ver	 headed cancer center sending good vibes grandma	2013-12-27	0	3				https://twitter.com/hippiel0ver/status/416558284758208512
415763973800067072	kcalddd7	 breaks heart seeing kids cancer	2013-12-25	0	1				https://twitter.com/kcalddd7/status/415763973800067072
415668969207373824	sheswithboss	 rt xstrology cancer s capability change moods faster keep track agreed	2013-12-24	0	0	@XSTROLOGY	#Cancer #agreed		https://twitter.com/sheswithboss/status/415668969207373824
415666089155395584	fuckjordannnn	 grandmother got cancer test results back free clear got best christmas gift imaginable thankful family	2013-12-24	2	5				https://twitter.com/fuckjordannnn/status/415666089155395584
414247266804064256	itsmoniquexoxo	 cancer _ht cancer text you dont text back feel stupid	2013-12-20	0	0	@Cancer	#Cancer		https://twitter.com/itsmoniquexoxo/status/414247266804064256
414225783238844417	itsmoniquexoxo	 cancer _ht cancer s receptive sensitive defensive perfectly written	2013-12-20	0	0	@Cancer	#Cancer		https://twitter.com/itsmoniquexoxo/status/414225783238844417
413430674973278209	That_Mariee	 itstwitta shes virgo sagittarius cancer leo libra pisces aquarius gemini aries shes keeper 	2013-12-18	0	0	@ItsTwitta			https://twitter.com/That_Mariee/status/413430674973278209
411819379827802113	JuiiCeyD_iAM	 didnt think cancer would straight fowardexcuse me	2013-12-14	0	0				https://twitter.com/JuiiCeyD_iAM/status/411819379827802113
411158076059045888	WooWeeDatGood	 cyclicsven im happy house burnt down lost parents dog cancer want year	2013-12-12	0	0	@cyclicsven			https://twitter.com/WooWeeDatGood/status/411158076059045888
410099932222083072	AlexCollins7	 smile could end wars cure cancer 	2013-12-09	2	0				https://twitter.com/AlexCollins7/status/410099932222083072
408072512669753344	Bobby_Peterson	 jimmy vs speech cancer never fails make cry cancer cant touch mind cant touch heart cant touch soul	2013-12-03	0	3				https://twitter.com/Bobby_Peterson/status/408072512669753344
405883535887593472	JUICYtweets_	 tamar said dick cure cancer	2013-11-27	1	0				https://twitter.com/JUICYtweets_/status/405883535887593472
