id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
416858214181765120	_YouKnowho__	 ever get cancer know ill doing	2013-12-28	0	1				https://twitter.com/_YouKnowho__/status/416858214181765120
416835457385635840	KAY_FREEE	 dad grandpa days away dying cancer still trynna tear piece grandmaso its blood buddy	2013-12-28	0	1				https://twitter.com/KAY_FREEE/status/416835457385635840
416464765033000960	dhankins95	 random alcoholic chick accuses smoking cancer stick mikimikayyy didnthappen	2013-12-27	0	1	@MikiMikayyy	#didnthappen		https://twitter.com/dhankins95/status/416464765033000960
415786104151744512	haileycorinn	 mums best friend collects mustangs since battle cancer sold like white cobra	2013-12-25	0	1				https://twitter.com/haileycorinn/status/415786104151744512
415182483190075393	joyawilliams	 almost christmas yikes first time without step daughter june lung cancer christmas spirit fleeting best	2013-12-23	0	0				https://twitter.com/joyawilliams/status/415182483190075393
414865326774312961	trickytoricky	 todays fuck cancer memory cousin saying good bye today far soon	2013-12-22	0	0				https://twitter.com/trickytoricky/status/414865326774312961
414225011134582784	mikaylacromp	 bestofcancer cancer nonchalant simply nicer way showing disinterest seriously though get hint please	2013-12-20	0	0	@BestofCancer	#Cancer		https://twitter.com/mikaylacromp/status/414225011134582784
413919395967021056	Itsshmessiee	 cancer commercial makes cry really hits home	2013-12-20	6	2				https://twitter.com/Itsshmessiee/status/413919395967021056
413570927902093312	DavidKennyTwits	 two years losing wife cancer man recreated wedding photos daughter beautiful pictwittercomaojgx xsdl	2013-12-19	0	2		#beautiful		https://twitter.com/DavidKennyTwits/status/413570927902093312
413565953373245440	thatonenickkid	 xstrology cancer s feel like nothing wrong mood swings tru cancer then	2013-12-19	0	2	@XSTROLOGY	#Cancer		https://twitter.com/thatonenickkid/status/413565953373245440
413386267707985921	X0x0kehala	 guess say im nurturing sensitive cancer	2013-12-18	0	0		#Cancer		https://twitter.com/X0x0kehala/status/413386267707985921
413375319643418624	facymusi_	 paul bingo players passed away last night battle cancer rest peace play bangers heaven homie eyybayy	2013-12-18	1	1	@eyybayy			https://twitter.com/facymusi_/status/413375319643418624
413340906373140480	Littlebear942	 cancer isnt big deal know cure it	2013-12-18	0	1				https://twitter.com/Littlebear942/status/413340906373140480
413333209821097984	Littlebear942	 brkbaddbobcat said something multiple times tell anyone cancer know	2013-12-18	0	0	@BrkBaddBobcat			https://twitter.com/Littlebear942/status/413333209821097984
413332455991422976	Littlebear942	 brkbaddbobcat well researched it scientist look it multiple cures cancer there	2013-12-18	0	0	@BrkBaddBobcat			https://twitter.com/Littlebear942/status/413332455991422976
413330200466702336	Littlebear942	 brkbaddbobcat anyone knows cancer given information	2013-12-18	0	0	@BrkBaddBobcat			https://twitter.com/Littlebear942/status/413330200466702336
413327939103518720	Littlebear942	 brkbaddbobcat aunt stage brain cancer completely cured years later cures	2013-12-18	0	0	@BrkBaddBobcat			https://twitter.com/Littlebear942/status/413327939103518720
413130705561214977	bunnyhugger75	 reallybillklein hoping goes well getwelljen think cancer pictwittercomqwcjfh ptk	2013-12-17	0	1	@ReallyBillKlein	#getwelljen #cancer		https://twitter.com/bunnyhugger75/status/413130705561214977
411670110756032512	GlennBrammer	 fuck cancer	2013-12-13	0	4				https://twitter.com/GlennBrammer/status/411670110756032512
411334982703923200	KidSensation44	 maybe cure cancer going hours without smoking weed world never know	2013-12-12	0	4				https://twitter.com/KidSensation44/status/411334982703923200
