id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417785323733934080	YASSITSNALLELY	 justinbieber vist two little girls cancer love u please help vist hopisal justinmeetmiley	2013-12-30	1	0	@justinbieber	#JustinMeetMiley		https://twitter.com/YASSITSNALLELY/status/417785323733934080
417730668618326016	khaleesilovemn	 friend sammi stage brain cancer done radiation getting another surgery prayers thoughts would appreciated	2013-12-30	0	0				https://twitter.com/khaleesilovemn/status/417730668618326016
417445676768047104	jTizzy_8	 factsionary chris rock snuck copy pamela anderson sex tape yearold makeawish boy dying cancer 	2013-12-29	0	0	@Factsionary			https://twitter.com/jTizzy_8/status/417445676768047104
417442341063241728	YASSITSNALLELY	 beliebers please help two little girls cancer meet idols justinmeetmiley justinmeeteden justinmeeteden	2013-12-29	1	1		#JustinMeetMiley #JustinMeetEden #JustinMeetEden		https://twitter.com/YASSITSNALLELY/status/417442341063241728
417430061894348800	YASSITSNALLELY	 beccabarnes little girl get cancer wants meet idol _unnormal helping	2013-12-29	1	3	@BeccaBarnes2 @_UnNormal			https://twitter.com/YASSITSNALLELY/status/417430061894348800
416982543968514048	khaleesilovemn	 shaneolsontf pharmaceutical companies would lose shit ton money chances its already discovered w cancer 	2013-12-28	0	1	@ShaneOlsonTF			https://twitter.com/khaleesilovemn/status/416982543968514048
416794914144677889	lindseybaer	 feel like everyone gunna cancer were olivia	2013-12-27	0	0				https://twitter.com/lindseybaer/status/416794914144677889
416321559746584576	thedrunktruth	 rt cancerareus_ cancer loveswants attention never give it	2013-12-26	0	0	@CancerAreUs_	#Cancer		https://twitter.com/thedrunktruth/status/416321559746584576
415904844332138496	yoelivaldez	 every child person cancer beautiful inside outside	2013-12-25	1	1				https://twitter.com/yoelivaldez/status/415904844332138496
415572558235582464	rachyadler	 fuck cancer love auntie mary	2013-12-24	0	1				https://twitter.com/rachyadler/status/415572558235582464
415297760930582528	meredithodonn	 cancer sucks	2013-12-23	0	0				https://twitter.com/meredithodonn/status/415297760930582528
414177770353483776	thedrunktruth	 ladyb_thuggin rt jay papa accurate rt marnelbarbie cancerareus cancer true d httpstwittercomcandicebelove status photo pictwittercom vnkmge fb yeah thats accurate	2013-12-20	1	0	@LadyB_Thuggin @Jay2Papa @marnelbarbie @CancerAreUs	#Cancer		https://twitter.com/thedrunktruth/status/414177770353483776
413908637049159680	khourygunzz	 horoscope always point cancer	2013-12-20	0	0		#cancer		https://twitter.com/khourygunzz/status/413908637049159680
413784258273378306	DeidreLoren	 alexandani stands cancer uglysweater su c alex ani chapel view http instagramcompihlkmzhy 	2013-12-19	0	0	@su2c @Alex	#uglysweater		https://twitter.com/DeidreLoren/status/413784258273378306
413490507130871808	ilove_neska	 xstrology cancer s feel like nothing wrong mood swings	2013-12-18	0	0	@XSTROLOGY	#Cancer		https://twitter.com/ilove_neska/status/413490507130871808
413483513867141120	kelvin__rod	 guess retweets cure cancer now	2013-12-18	4	3				https://twitter.com/kelvin__rod/status/413483513867141120
413387171937419264	cellbl0ck	 papas cancer full remission couldnt asked better christmas present 	2013-12-18	0	3				https://twitter.com/cellbl0ck/status/413387171937419264
413363571264077824	Firstpaid_	 cancer taken lives many good people smh	2013-12-18	1	0				https://twitter.com/Firstpaid_/status/413363571264077824
413114734167470080	giannasilvestri	 lifehacks love pizza eat pizza week decrease risk esophageal cancer good thing love pizza jonkolb_	2013-12-17	0	1	@LifeHacks @jonkolb_			https://twitter.com/giannasilvestri/status/413114734167470080
412568080498569216	ilove_neska	 cancerareus cancer problem shutting world staying shell yup 	2013-12-16	0	0	@CancerAreUs	#cancer		https://twitter.com/ilove_neska/status/412568080498569216
412326817773912064	Hugh_Hefner_401	 martin_joonya _ag serious cancer awful	2013-12-15	0	0	@martin_joonya @_AG3			https://twitter.com/Hugh_Hefner_401/status/412326817773912064
412044690683613184	ilove_neska	 xstrology cancer s true friends always want cheer up	2013-12-14	0	0	@XSTROLOGY	#Cancer		https://twitter.com/ilove_neska/status/412044690683613184
411922569852628993	allanschmallan	 quite certain would rather get dick cancer see rey mysterio wrestle	2013-12-14	0	0				https://twitter.com/allanschmallan/status/411922569852628993
411129362772402177	tonyusabmw	 os dias felizes pig o dia que anunciaram q lula tinha cancer o dia que chaves morreu de cancer mas eles se arrempederao um dia	2013-12-12	0	0				https://twitter.com/tonyusabmw/status/411129362772402177
410788765368877056	victoriaval7	 cancer _ht promises mean everything cancer theyre broken sorry means nothing	2013-12-11	0	0	@Cancer	#Cancer		https://twitter.com/victoriaval7/status/410788765368877056
410747387096076288	luvjordan72	 atlangela send prayers today send good thoughts today everyday come mind today always kick cancer ass	2013-12-11	0	0	@ATLangela			https://twitter.com/luvjordan72/status/410747387096076288
410386101031804928	ranaprieta	 lastimosamente draco rosa enfrenta nueva batalla contra el cncer farandula samirsaba poder zgarcia 	2013-12-10	0	0	@FARANDULA40 @SamirSaba @poder1110 @zgarcia1110			https://twitter.com/ranaprieta/status/410386101031804928
410300041799421952	khourygunzz	 cancer ur life pretty damn blessed	2013-12-10	1	0				https://twitter.com/khourygunzz/status/410300041799421952
410120466096214016	K_Powersxo	 heros dont always wear capes comprehensive cancer center ri hospital http instagramcomphti tbfybe	2013-12-09	0	0	@Comprehensive			https://twitter.com/K_Powersxo/status/410120466096214016
408958786704261120	sjaxxy	 brazilian blowouts whatever cost last months cause cancer im fan goodhairdayeveryday soworthit	2013-12-06	0	0		#goodhairdayeveryday #soworthit		https://twitter.com/sjaxxy/status/408958786704261120
408641383969587200	luckilgore	 would guessed cure cancer world hunger facebook likes	2013-12-05	1	4				https://twitter.com/luckilgore/status/408641383969587200
408594120488148993	dvrowan	 kca with ben comprehensive cancer center ri hospital https pathcomp wbbvo	2013-12-05	0	0	@RI	#KCA		https://twitter.com/dvrowan/status/408594120488148993
408287111830568960	JoshPari13	 cant even believe people make fun someone cancer like seriously	2013-12-04	0	0				https://twitter.com/JoshPari13/status/408287111830568960
408107553751834624	thedrunktruth	 aww friends rt lifestylezcrazy truuuuuu thedrunktruth rt bestofcancer want true friend find cancer 	2013-12-04	1	0	@LifestylezCrazy @thedrunktruth @BestofCancer	#Cancer		https://twitter.com/thedrunktruth/status/408107553751834624
408107154269548544	thedrunktruth	 rt bestofcancer want true friend find cancer 	2013-12-04	0	0	@BestofCancer	#Cancer		https://twitter.com/thedrunktruth/status/408107154269548544
407967246078988288	gii_xo	 hope something good living maybe cure cancer lopsided boobs ok brittt_am	2013-12-03	0	1	@brittt_am			https://twitter.com/gii_xo/status/407967246078988288
405347879025672192	APCruzMD	 british actor vinnie jones reveals wife battling skin cancer comcast http xfinitycomcastnetarticlesenter tainmenteonline b 	2013-11-26	0	0				https://twitter.com/APCruzMD/status/405347879025672192
405040357458866176	thedrunktruth	 cancer _ cancer wants feel safe want know one else ever heart	2013-11-25	0	0	@Cancer69_	#cancer		https://twitter.com/thedrunktruth/status/405040357458866176
404722968414388224	thedrunktruth	 nobodyyyy rt zodiacfacts wont anyone love better cancer make even worst days seem tolerable	2013-11-24	3	0	@ZodiacFacts	#Cancer		https://twitter.com/thedrunktruth/status/404722968414388224
404332120048693248	giannasilvestri	 hate trying leave house moms home shes like leave clean room fold clothes find cure cancer	2013-11-23	2	2				https://twitter.com/giannasilvestri/status/404332120048693248
403596949120884736	19_ninetyfive	 sex city episode samantha finds cancer 	2013-11-21	0	1				https://twitter.com/19_ninetyfive/status/403596949120884736
403362601460961280	jJILLYg	 naultville cancer thats thought	2013-11-20	0	0	@Naultville			https://twitter.com/jJILLYg/status/403362601460961280
403362391296991234	jJILLYg	 naultville hair falling lol cancer thats	2013-11-20	0	0	@Naultville			https://twitter.com/jJILLYg/status/403362391296991234
403351464749170688	ilove_neska	 xstrology cancer become close know handle moodiness	2013-11-20	0	0	@XSTROLOGY	#Cancer		https://twitter.com/ilove_neska/status/403351464749170688
402918884023750656	_BeautyOnFleek_	 studys show marijuana smoking found non carcinogenic meaning doesnt increase risk lung cancer	2013-11-19	0	1				https://twitter.com/_BeautyOnFleek_/status/402918884023750656
402160095611871232	Rubsaucey	 something life goes wrong think it couldve cancer	2013-11-17	0	0				https://twitter.com/Rubsaucey/status/402160095611871232
401546494203162624	aerdnaarutnev	 ariannamisfit_ cancer looks lip sides cross eyed 	2013-11-15	0	0	@AriannaMisfit_1			https://twitter.com/aerdnaarutnev/status/401546494203162624
401489599937413121	_stevenduran	 _xojacks fuck cancer rt	2013-11-15	0	0	@_xojacks			https://twitter.com/_stevenduran/status/401489599937413121
401196269152268288	stephmichelleox	 smoke cancer stick getting the brittany hochman	2013-11-14	0	2				https://twitter.com/stephmichelleox/status/401196269152268288
400874390428344320	Joeyr821	 true bestofcancer cancer hurt depress stay home alone quietly	2013-11-14	0	0	@BestofCancer	#Cancer		https://twitter.com/Joeyr821/status/400874390428344320
400807153923280896	BGene5187	 nigga drink like late fred sanford nigga smoke like cancer	2013-11-13	1	1				https://twitter.com/BGene5187/status/400807153923280896
400422546228916225	oshiokiyo__	 im gonna get cancer pictwittercoms qffxhymm	2013-11-12	0	0				https://twitter.com/oshiokiyo__/status/400422546228916225
400153747789459456	heathyfbaby	 heart breaking finding grandfather cancer makes wish lived closer could spend little extra time	2013-11-12	0	0				https://twitter.com/heathyfbaby/status/400153747789459456
399923801468968960	aiva_marie	 bestofcancer cancer s loving affectionate	2013-11-11	0	0	@BestofCancer	#Cancer		https://twitter.com/aiva_marie/status/399923801468968960
398671188278648832	VivaLaJordan_	 cure cancer trapped mind person cant afford education	2013-11-07	0	0				https://twitter.com/VivaLaJordan_/status/398671188278648832
398504584005840897	BrownBearsILN	 brownufootball helped raise bench press cancer check highlights http googl dgczy	2013-11-07	0	0	@BrownUFootball			https://twitter.com/BrownBearsILN/status/398504584005840897
397581083971420160	IAmRitzCarlson	 lizfallon cancer fire thats gonna end lol	2013-11-04	0	1	@LizFallon0			https://twitter.com/IAmRitzCarlson/status/397581083971420160
397424804523159553	Blognonian	 wtf happening main green brownufootball s bench press cancer main green http instagramcompgtrkj ljmv	2013-11-04	0	0	@BrownUFootball @Main			https://twitter.com/Blognonian/status/397424804523159553
397136419535458304	ftaylorc	 webmd cancer 	2013-11-03	0	0				https://twitter.com/ftaylorc/status/397136419535458304
