id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
411953513615622145	pinkcookie78	 losing battle cancer little raylee ross daughter cousin sister best friend http instagramcomph kocopea	2013-12-14	0	0				https://twitter.com/pinkcookie78/status/411953513615622145
411005413308383232	audreyeldredge	 one day cancer zodiac sign	2013-12-12	2	11				https://twitter.com/audreyeldredge/status/411005413308383232
408823855696723968	cassieepeck	 im done cancer third person family diagnosed tonight ever end cancersucks	2013-12-06	0	4		#cancersucks		https://twitter.com/cassieepeck/status/408823855696723968
406645412372570112	jacoycoyy	 guys tomorrow get princess day little girl cancer aw	2013-11-29	1	9				https://twitter.com/jacoycoyy/status/406645412372570112
406511758417731584	Crashinash2010	 always hear bout cancer affecting others lives family never knew now praying mom cancersucks	2013-11-29	0	0		#cancersucks		https://twitter.com/Crashinash2010/status/406511758417731584
404432678692220928	ashlesschapss	 god gives us trials handle whyd give people die cancer cancer died clearly couldnt handle it	2013-11-23	0	3				https://twitter.com/ashlesschapss/status/404432678692220928
402977376545406977	ashlesschapss	 dont expect sympathy get lung cancer faggot	2013-11-19	0	1				https://twitter.com/ashlesschapss/status/402977376545406977
395444588913389568	pinkcookie78	 team tuffy girl miss raylee ross the house hate cancer http instagramcompgfrim pe i	2013-10-30	0	0	@The			https://twitter.com/pinkcookie78/status/395444588913389568
394929228895883265	L_Smith13	 hahaha lol blackwidow blackfish cancer obamacare	2013-10-28	0	0		#blackwidow #Blackfish #Cancer #Obamacare		https://twitter.com/L_Smith13/status/394929228895883265
394648060216631296	huskies5876	 were fortunate deal cancer cant say that count blessings help can	2013-10-27	0	0				https://twitter.com/huskies5876/status/394648060216631296
394646909844869120	huskies5876	 thank god war cancer 	2013-10-27	0	0				https://twitter.com/huskies5876/status/394646909844869120
394176579091587072	Heathergee93	 help dpo say cancer philanthropy week american cancer society think pink week http instagramcompf px amy_k	2013-10-26	0	0				https://twitter.com/Heathergee93/status/394176579091587072
389946047998349314	coltsmith	 walked infant las vegas casino today pretty sure add lung cancer bleak world view	2013-10-14	0	2				https://twitter.com/coltsmith/status/389946047998349314
383337853242966016	egbert2008	 breakingbad walts gotta die cancer gets custody odds jesse living maybe chance living breaking bad finale	2013-09-26	0	0		#BreakingBad		https://twitter.com/egbert2008/status/383337853242966016
377149809238355968	egbert2008	 aba ababasketball utahstars basketball nba aba basketball star big z zelmo beaty died today cancer 	2013-09-09	0	0		#aba #ababasketball #utahstars #basketball		https://twitter.com/egbert2008/status/377149809238355968
375966978533371904	saydeejorollins	 well cancer took strong man us last night least heaven took pain away rest paradise uncle lorain	2013-09-06	0	3				https://twitter.com/saydeejorollins/status/375966978533371904
375872043939405824	Brandi_lav	 krishamont deff gunna die lung cancer 	2013-09-06	0	0	@KrishaMont			https://twitter.com/Brandi_lav/status/375872043939405824
373507072546988032	jenfurey7273	 cancer _ cancer sign nothing else said here 	2013-08-30	0	0	@Cancer69_	#Cancer		https://twitter.com/jenfurey7273/status/373507072546988032
364499199682805761	DanHaslam	 hourenergyteam sporting pink jerseys thus week honor breast cancer awareness tou pictwittercompy glltd 	2013-08-05	0	0	@5hourEnergyTeam	#tou13		https://twitter.com/DanHaslam/status/364499199682805761
356295146989568001	amysurrencyy	 fux cancer	2013-07-14	2	1				https://twitter.com/amysurrencyy/status/356295146989568001
354896328351944704	pinkcookie78	 looks like may losing battle keeping faith news grim stage cancer no http instagramcompbljjwnpe 	2013-07-10	0	0				https://twitter.com/pinkcookie78/status/354896328351944704
343963821720891392	JoceeCampeau	 jadensmittycox pregnancy periods breast cancer walked on rape harrassment abuse females go lot ladies strong jadensmittycox httpstwittercomjoceecampeaustatus marleekayy efff skin cancer http instagrampvgciwjlxmk http httpstwittercommarleekayystatus stevenwescott walking miles american cancer society uintah basin relay life vernal utah http instagramcomparuyllppvh vernal httpstwittercomstevenwescottstatus amarahudson working pool symptoms laziness missing jayson skin cancer broke still fun though httpstwittercomamarahudson status hollykathrine everyone exercise cancer cant like eat pie cancer shitannasays	2013-05-04	1	1		#shitannasays		https://twitter.com/hollykathrine/status/330859519301279744
417731384745000960	G_Ballardd	 drake_nielsen haha snowboards belts tees tags zumiez causing cancer since 	2013-12-30	0	2	@drake_nielsen			https://twitter.com/G_Ballardd/status/417731384745000960
417508746261061635	beybladeordie	 putting sparkles uggs like adding cancer death	2013-12-29	1	7				https://twitter.com/beybladeordie/status/417508746261061635
417453212405227520	Cheyanneskye3	 like three big signs cancer i probably go doctor	2013-12-29	0	1				https://twitter.com/Cheyanneskye3/status/417453212405227520
417340913661124608	angiestaysgold	 jourddxo xstrology cancer lady street chef kitchen whore bedroom	2013-12-29	0	0	@Jourddxo @XSTROLOGY	#Cancer		https://twitter.com/angiestaysgold/status/417340913661124608
417204844127350784	Koraleigh29	 havent heard new cancer ive never looked better cant stand it	2013-12-29	0	0				https://twitter.com/Koraleigh29/status/417204844127350784
417085834714550274	kylehawkey	 skiing celebrating years cancer free happy anniversary mom pictwittercomr g fiiamx	2013-12-28	1	3				https://twitter.com/kylehawkey/status/417085834714550274
416852014664925184	breebills	 sorry havent tweeting gma passed away christmas morning cancer	2013-12-28	0	0				https://twitter.com/breebills/status/416852014664925184
416735807450255360	LongSkinnyFella	 told god answer ask shit get answer god cancer	2013-12-27	1	1				https://twitter.com/LongSkinnyFella/status/416735807450255360
416090344485175297	MitchDaBalla	 much want complain sore throat least its cancer knock wood	2013-12-26	0	2				https://twitter.com/MitchDaBalla/status/416090344485175297
416055698225512448	makenzie_noelg	 youre fresh death sick cancer 	2013-12-25	0	0				https://twitter.com/makenzie_noelg/status/416055698225512448
416006576323821568	ewwinnn_15	 cure cancer trapped inside brain someone cant afford education idk	2013-12-25	0	0				https://twitter.com/ewwinnn_15/status/416006576323821568
415725639556018176	suunnflowerr	 cancer great industry	2013-12-25	0	1				https://twitter.com/suunnflowerr/status/415725639556018176
415371764252672000	bridgermax	 unfortunate choice words ew cancer took steve last billing cycle pictwittercomk sw wbd 	2013-12-24	1	3	@EW			https://twitter.com/bridgermax/status/415371764252672000
415192406800093185	ccarmen298	 todo aquel que lucha luchado luch contra el cancer se merece todo mi respeto	2013-12-23	2	2				https://twitter.com/ccarmen298/status/415192406800093185
415184233275990016	AshhhTag	 grandpa diagnosed liver cancer probably wont make long last night mom go er awesome	2013-12-23	0	0		#Awesome		https://twitter.com/AshhhTag/status/415184233275990016
415124044954882048	bp1989	 xstrology youre issues simple problems cancer sign go advice	2013-12-23	0	0	@XSTROLOGY	#Cancer		https://twitter.com/bp1989/status/415124044954882048
414458358754586624	michaelkavros	 the justin cant science cure cancer aids	2013-12-21	0	0	@The1Justin			https://twitter.com/michaelkavros/status/414458358754586624
414308262926745600	Tdaddy34	 im deeply sadden wife tonight brother cancer might last christmas breaks heart see pain pray	2013-12-21	0	0		#Pray		https://twitter.com/Tdaddy34/status/414308262926745600
414208043442634752	mirandaleesharp	 woman strong stage cancer kicking ass school im glad met her pictwittercom ukeq et 	2013-12-20	0	2				https://twitter.com/mirandaleesharp/status/414208043442634752
414151538190204928	LipstickLunges_	 postelservice really awkward im tryin inhale cancer like oh got awkward walked	2013-12-20	0	0	@PostelService11			https://twitter.com/LipstickLunges_/status/414151538190204928
414080811294400512	hilaryy_rose	 watching dr phil its segment pancreatic cancer fuckcancer	2013-12-20	0	0		#fuckcancer		https://twitter.com/hilaryy_rose/status/414080811294400512
413934099615588352	sunshinekiisses	 thegooglefactz love pizza eat pizza week decrease risk esophageal cancer pizza good hell yeah	2013-12-20	0	0	@Thegooglefactz			https://twitter.com/sunshinekiisses/status/413934099615588352
413708591900553216	kirstenlturner	 incredibly powerful photos husband took wife battled breast cancer via upworthy httpwww upworthycomahusbandtook thesephotosofhiswifeandcapturedloveandlossbeautifullyg creccon 	2013-12-19	0	1	@Upworthy			https://twitter.com/kirstenlturner/status/413708591900553216
413545155430715393	gabs_wright	 met cutest little cancer survivors tonight made day pictwittercomqnbjkwnwek	2013-12-19	0	19				https://twitter.com/gabs_wright/status/413545155430715393
413543975283212289	aly_egan	 proud kids cancer saw tonight charity dinner im blessed work families fight hard	2013-12-19	0	4				https://twitter.com/aly_egan/status/413543975283212289
413482922063048704	AlvaroPizarro	 never really love rt cancerareus loved cancer never stop working make feel special	2013-12-18	6	2	@CancerAreUs	#Cancer		https://twitter.com/AlvaroPizarro/status/413482922063048704
413411154812080128	louismatsui	 fuck cancer rip paul b	2013-12-18	0	0				https://twitter.com/louismatsui/status/413411154812080128
413362065445642240	WendyHo56257810	 genosworld prayers you cancer youngest baby hang 	2013-12-18	0	0	@Genosworld			https://twitter.com/WendyHo56257810/status/413362065445642240
413296701479219200	ccarmen298	 yesterday game pink socks team stop breast cancer	2013-12-18	0	0				https://twitter.com/ccarmen298/status/413296701479219200
413225455903203328	BayJ95	 k im convinced lung cancer obsession breaking bad caused this know it	2013-12-18	0	1				https://twitter.com/BayJ95/status/413225455903203328
413172045858766848	agarry605	 its honestly one thing another lately cancer suck it love infinity beyond grandma pictwittercomazpsm rhps	2013-12-18	0	15				https://twitter.com/agarry605/status/413172045858766848
413170844618084352	WilliamBoyea	 marisa_heinecke thinking those buy think donate money towards cancer aids	2013-12-17	0	0	@Marisa_Heinecke			https://twitter.com/WilliamBoyea/status/413170844618084352
413031470165291008	bell_brooklen	 gets retweets cut hair donate cancer retweet good cause pictwittercom vyupmoaf	2013-12-17	53	7				https://twitter.com/bell_brooklen/status/413031470165291008
412440581168590848	MrRager_801	 kaella yourgirlchannie yeah its horrible plant causes cancer kills people	2013-12-15	0	0	@kaella13 @YourgirlChannie			https://twitter.com/MrRager_801/status/412440581168590848
412266919324954625	angiestaysgold	 gosh cancer sometimes	2013-12-15	0	1				https://twitter.com/angiestaysgold/status/412266919324954625
411732201030447105	melissasj	 check httpwww gofundmecom o cck please please help young cancer survivor thanks god bless	2013-12-14	1	0				https://twitter.com/melissasj/status/411732201030447105
411584887083130880	derricklytle	 provo smog unifies makes provo equal raises citizen awareness people funnier w cancer smog makes people smarter utpol	2013-12-13	1	1		#utpol		https://twitter.com/derricklytle/status/411584887083130880
411567776126365696	griffinschone42	 enjoy cancer free would recommend breathing salt lakes air right	2013-12-13	0	1				https://twitter.com/griffinschone42/status/411567776126365696
