id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
405406641958699008	mackermemms	 justinross knew cancerous tumor forehead	2013-11-26	0	0	@justinross832			https://twitter.com/mackermemms/status/405406641958699008
380819984009932800	browne_husky1	 trvplxrd_ cancerous like red the enlightenment real ouchea	2013-09-19	1	1	@TrvpLxrd_			https://twitter.com/browne_husky1/status/380819984009932800
361199043122171905	H_Boop23	 removed one cancerous mole found more dads health ringer year 	2013-07-27	0	0				https://twitter.com/H_Boop23/status/361199043122171905
409885713975762945	HeyImMattStone	 bvtbarb hes good going remove biopsy dont think its cancerous	2013-12-08	0	0	@Bvtbarb			https://twitter.com/HeyImMattStone/status/409885713975762945
395602087087984640	JennissaMariah	 dog cancerous tumor apparently months live	2013-10-30	0	0				https://twitter.com/JennissaMariah/status/395602087087984640
392798621433102338	xGuns_Up	 theyre cancerous memories theyre breaking like disease	2013-10-22	0	0				https://twitter.com/xGuns_Up/status/392798621433102338
367353108722352128	BHLevesque	 editben true red sox fans claim cancerous mere presence precluded team success	2013-08-13	0	0	@editben			https://twitter.com/BHLevesque/status/367353108722352128
286317251353796611	LuisConce_14	 kodymorio lmaotwltpics hes cancerous team	2013-01-01	1	1	@KodyMorio @LMAOTWlTPICS			https://twitter.com/LuisConce_14/status/286317251353796611
409140173176578048	Eliaslaysheavy	 never disgusted something apple makes cancerous chargers products	2013-12-06	0	0		#apple		https://twitter.com/Eliaslaysheavy/status/409140173176578048
403291181943386112	katelyn_swift	 biggest mistake using web md symptom checker theres way cough loss voice cancerous theyre lying	2013-11-20	0	1				https://twitter.com/katelyn_swift/status/403291181943386112
393728276784754688	StellaaAVE	 marijuana cancerous tobacco ok	2013-10-25	0	0				https://twitter.com/StellaaAVE/status/393728276784754688
384810273376567297	Stevemassaro8	 post cancerous tumor removal grandmother lively woman ever met wish im like age	2013-09-30	0	3				https://twitter.com/Stevemassaro8/status/384810273376567297
384175865422417920	Eliaslaysheavy	 lil wayne absolutely cancerous nuisance liltunechi	2013-09-29	0	0	@LilTunechi	#nuisance		https://twitter.com/Eliaslaysheavy/status/384175865422417920
381943672889413632	CameronCP	 foreverizel bluevein_member im nervous bump collar bonei read online could cancerous going dr asap	2013-09-22	0	0	@foreveRizel @BlueVein_Member			https://twitter.com/CameronCP/status/381943672889413632
377568712817410048	mollyymca	 praying lump dogs paw isnt anything cancerous hang stanley baby	2013-09-10	0	0				https://twitter.com/mollyymca/status/377568712817410048
371425286585196544	jude13jd	 shouldve unfriend u back jeez ur updates cancerous	2013-08-24	0	0				https://twitter.com/jude13jd/status/371425286585196544
365312962753343488	teramonkey	 hela genome offers clues cells cancerous nature http tolymhbi	2013-08-07	0	0				https://twitter.com/teramonkey/status/365312962753343488
319907346824433667	JMcKenzie__	 bitch said hickeys cancerous 	2013-04-04	0	0				https://twitter.com/JMcKenzie__/status/319907346824433667
292690905012527104	JCSlow	 doctor tells may cancerous tumor good guess cross one bucket list	2013-01-19	0	1				https://twitter.com/JCSlow/status/292690905012527104
417715209818869760	FerSharks	 notdavery hey found something awful cancerous also theres whole album httpwww youtubecomwatchvcdpz a lxvly 	2013-12-30	0	0	@NotDavery			https://twitter.com/FerSharks/status/417715209818869760
381971598406057984	duhhckyy	 cancerous	2013-09-22	0	0				https://twitter.com/duhhckyy/status/381971598406057984
