id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
408019285710102528	ckrub	 brings levinsons the silk code novel mind mt notimposs glass orb enables bees sniff cancerous cells http zootli d e	2013-12-03	1	0	@notimposs			https://twitter.com/ckrub/status/408019285710102528
399034349443510272	Glorygirlone	 sixnineone_ sounding good alli hope its cancerous 	2013-11-08	0	0	@SixNineOne_			https://twitter.com/Glorygirlone/status/399034349443510272
391429705611489280	Da_Pangle	 factsguide least day immune system kills cell would become cancerous lived beastmode	2013-10-19	0	0	@FactsGuide	#beastmode		https://twitter.com/Da_Pangle/status/391429705611489280
387074264454557696	afallnstar	 women need realize friends cancerous 	2013-10-07	0	1				https://twitter.com/afallnstar/status/387074264454557696
366658113765511168	ohhitsbrittaney	 doesnt seem cancerous 	2013-08-11	0	0				https://twitter.com/ohhitsbrittaney/status/366658113765511168
362643624678268928	bretholomu	 y ungrunway cancerous heated food container	2013-07-31	0	0	@y0ungrunway			https://twitter.com/bretholomu/status/362643624678268928
339458885477879808	kellysgal	 really bad day take guys dog put rest huge cancerous mass back tongue	2013-05-28	0	0				https://twitter.com/kellysgal/status/339458885477879808
337624578350260224	keziapdrums	 getting botox on jk eczema getting better bump lip cancerous http instagramcompzqbtjihk z	2013-05-23	0	0				https://twitter.com/keziapdrums/status/337624578350260224
337620724569219072	FiedlerNeil	 youre unhappy work please stop cancerous tumor quit workingwithidiots	2013-05-23	0	0		#workingwithidiots		https://twitter.com/FiedlerNeil/status/337620724569219072
313712814835519490	BluetoothHusky	 toastcoyote luceroshepbutt maybe cancerous lump	2013-03-18	0	0	@toastcoyote @luceroshepbutt			https://twitter.com/BluetoothHusky/status/313712814835519490
293782561799426049	ABomb88	 bad newsgood news tumor removed cancerous fine follow up happy day overall	2013-01-22	0	0				https://twitter.com/ABomb88/status/293782561799426049
292774027225882624	bavenss	 girl said hickeys cancerous dumbass	2013-01-19	0	0		#dumbass		https://twitter.com/bavenss/status/292774027225882624
291216230919057408	StophJ	 breaking news lance armstrong confesses cancerous balls transplanted chimpanzee ped whogivesashit	2013-01-15	0	0		#PED #WhoGivesAShit		https://twitter.com/StophJ/status/291216230919057408
334368799686000640	theBerthaKim	 according bio teacher green mm taste best cause cancerous dye what onlyatcbc madisumsion	2013-05-14	1	2	@madisumsion	#what #onlyatcbc		https://twitter.com/theBerthaKim/status/334368799686000640
354839108054552578	ColinMcQ23	 tonight swx tonight ohio state fan grant names cancerous tumor michigan beats it cause michigan sucks pictwittercomekdzsq god	2013-07-10	0	2				https://twitter.com/ColinMcQ23/status/354839108054552578
389146489278058496	anisadrexler	 benjaminshawnn remove something tail cause could become cancerous	2013-10-12	0	0	@BenjaminShawnn			https://twitter.com/anisadrexler/status/389146489278058496
