id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
541258289624125440	hashtagsteven	 cant pirate girl rum presents rockin beach bash benefit cupcakes canine cancer event own	2014-12-06	6	2				https://twitter.com/hashtagsteven/status/541258289624125440
527698752451383297	RikkiLaine	 stefcostanzi colon cancer might related loss hormone chem au httpwww biochemistorgnewspagehtm item 	2014-10-30	0	0	@StefCostanzi	#chem560au		https://twitter.com/RikkiLaine/status/527698752451383297
526152480087085057	landonyost	 boobs overrated not spike breast cancer awareness	2014-10-25	0	0				https://twitter.com/landonyost/status/526152480087085057
522125717858189313	Pamshops4you	 thanks ralphlauren pinkponypromise donated cancer related cause per tweet please and tweet	2014-10-14	0	1		#ralphlauren #PinkPonyPromise #tweet #and		https://twitter.com/Pamshops4you/status/522125717858189313
521677961519714304	ma_r_is	 breast cancer awareness solve anything	2014-10-13	0	1				https://twitter.com/ma_r_is/status/521677961519714304
521677711375618048	ma_r_is	 think well aware breast cancer exists	2014-10-13	0	2				https://twitter.com/ma_r_is/status/521677711375618048
512358758215737346	MagloughlinA	 bbcbreaking toronto mayor robford undergo chemotherapy fairly aggressive cancer woulda thought crack kills	2014-09-17	0	1	@BBCBreaking	#RobFord		https://twitter.com/MagloughlinA/status/512358758215737346
511660038969372672	RichLatendresse	 cancer surdiagnostiqu surtrait wsj group experts argue cancer overdiagnosed overtreated http onwsjcom s tmzc 	2014-09-15	1	3	@WSJ			https://twitter.com/RichLatendresse/status/511660038969372672
502476257020633089	cityshopgirl	 cstammen help mlb_players kcancer shirt http tinyurlcomnzp m together strike cancer 	2014-08-21	0	0	@cstammen35 @MLB_PLAYERS	#KCancer14		https://twitter.com/cityshopgirl/status/502476257020633089
490283628405223425	AceBands_	 birthday week cancer def come celebrate us pictwittercom vainvyc	2014-07-18	3	1		#Cancer		https://twitter.com/AceBands_/status/490283628405223425
489610469112836096	KThomasDC	 die mean lose cancer beat cancer live live live stuartscott espys	2014-07-16	2	2	@StuartScott	#ESPYS		https://twitter.com/KThomasDC/status/489610469112836096
486313350607822849	marktmcl	 amid controversy disgrace forgot important lance armstrong still cancer patients everywhere	2014-07-07	0	0				https://twitter.com/marktmcl/status/486313350607822849
486197208832688128	HunterHodies	 fck cancer	2014-07-07	0	1				https://twitter.com/HunterHodies/status/486197208832688128
472753147107364864	sctwea	 notobaccoday personal granddad died pancreatic cancer probably worsened smoking	2014-05-31	0	0		#NoTobaccoDay		https://twitter.com/sctwea/status/472753147107364864
471330790727766016	Thearab313	 side dishes actually cure cancer thats expensive	2014-05-27	0	0				https://twitter.com/Thearab313/status/471330790727766016
463438594062163968	Indiejoi	 _dboogiee cancer stick	2014-05-05	0	0	@_dboogiee			https://twitter.com/Indiejoi/status/463438594062163968
455219337012740096	jwolffnj	 night finishthefight cancer aurelay 	2014-04-13	1	1		#FinishTheFight #AURelay2014		https://twitter.com/jwolffnj/status/455219337012740096
452894788086665216	benitastyle	 diagnosed womens cancer year survive dc support http nedthemoviecom pictwittercom oxdn q m	2014-04-06	0	0				https://twitter.com/benitastyle/status/452894788086665216
452084225999900672	DouglasPatch	 reptierney extreme partisan voted funding pediatric cancer autism research http nrccmeprseci mapoli	2014-04-04	0	0	@RepTierney	#mapoli		https://twitter.com/DouglasPatch/status/452084225999900672
449578052247633920	digitalkash	 help part generation ends cancer donate link phisigtalksderby	2014-03-28	1	3		#phisigtalksderby		https://twitter.com/digitalkash/status/449578052247633920
449513149151330304	theDCFoodChain	 selfmagazine serious mistakes made many people review piece ran friday cancer pictwittercom mciemoq 	2014-03-28	0	0	@SELFmagazine	#friday #cancer		https://twitter.com/theDCFoodChain/status/449513149151330304
446737122251534336	feliperoyo	 gran poltico dep rt a noticias muere iaki azkuna alcalde de bilbao los aos como consecuencia del cncer http bitly ltmpkl	2014-03-20	1	0	@A3Noticias			https://twitter.com/feliperoyo/status/446737122251534336
440286710505938945	RoLeeds	 k oscar swag bag low income women dc get screened breast cancer mobilemammo oscars	2014-03-02	0	0		#mobilemammo #Oscars		https://twitter.com/RoLeeds/status/440286710505938945
437698342160982016	Jmalexander21	 buccigross bucci new psu friends raised million kids cancer thon 	2014-02-23	0	0	@Buccigross	#THON14		https://twitter.com/Jmalexander21/status/437698342160982016
437340738062647296	DouglasPatch	 peters michigan attacking woman cancer thats sure way get votes standwithjulie misen	2014-02-22	0	0	@Peters4Michigan	#StandWithJulie #misen		https://twitter.com/DouglasPatch/status/437340738062647296
433390367246135296	prb493	 thoughts prayers tom brokaw fight tom brokaw battling cancer httpwww nbcwashingtoncomnewsnational internationalnatltombrokawcancerdiagnosismultiplemyelomanbcnewsprogressprognosis html 	2014-02-11	0	0				https://twitter.com/prb493/status/433390367246135296
428576880003133440	jwolffnj	 redundant rt breakingnews marshall university scientist finds cancer causing carcinogen w va water chemical spill wvgazette	2014-01-29	0	2	@BreakingNews @wvgazette			https://twitter.com/jwolffnj/status/428576880003133440
425251743510040576	ConnieCarterDC	 mohs surgery outstanding procedure nyt feature picks extreme case spin mohs repair cost pocket cancer gone	2014-01-20	0	0	@nyt10	#MOHS		https://twitter.com/ConnieCarterDC/status/425251743510040576
425250295074279425	ConnieCarterDC	 morningmika agree premise piece highcostmedicine basel cell cancer something ignore imply	2014-01-20	0	0	@morningmika	#highcostmedicine		https://twitter.com/ConnieCarterDC/status/425250295074279425
421903709317382144	stevenhaderer	 hate cancer 	2014-01-11	0	0				https://twitter.com/stevenhaderer/status/421903709317382144
542772155952668673	KeliMooreKSBY	 cancer issues ennpee washigton dc http instagramcompwcgehcwlyr	2014-12-10	0	0	@ennpee @Washigton			https://twitter.com/KeliMooreKSBY/status/542772155952668673
533029211351810048	Leonidas_Kyte	 lifecheating eating pizza week actually help reduce risk esophageal cancer done	2014-11-13	0	3	@LifeCheating			https://twitter.com/Leonidas_Kyte/status/533029211351810048
526388363054833664	WendyMcAlister	 people get sick especially cancer makes want punch devil face prayerworkspeople godisbigger	2014-10-26	0	0		#prayerworkspeople #GodisBIGGER		https://twitter.com/WendyMcAlister/status/526388363054833664
523481135209525248	eprangley	 screener breast cancer dc area its kaiser says kim horn kpshare dcwomenscnf	2014-10-18	0	0	@KPShare	#1 #dcwomenscnf		https://twitter.com/eprangley/status/523481135209525248
523089656767062016	LoriWoehrle	 mt washingtonpost nfl nonprofit covered pink sliver sales breast cancer research http wapost f plih	2014-10-17	1	0	@washingtonpost			https://twitter.com/LoriWoehrle/status/523089656767062016
521630565494448128	Cr8tiveKee	 cancer sucks visiting grandma	2014-10-13	0	0				https://twitter.com/Cr8tiveKee/status/521630565494448128
517042249885319168	itstifftiara	 gearfootball oregon breast cancer uniforms pictwittercomveksxvj pr delantecherry	2014-09-30	0	0	@GearFootball @DelanteCherry			https://twitter.com/itstifftiara/status/517042249885319168
501824557951766529	seba_yuri	 olivier giroud cancer hate	2014-08-19	0	0				https://twitter.com/seba_yuri/status/501824557951766529
501561814740897793	RashiNaresh	 mghcancercenter cancer care word battling sets perception winners losers think word winners	2014-08-18	0	0	@MGHCancerCenter			https://twitter.com/RashiNaresh/status/501561814740897793
499662291236040704	andreasparkler	 plan rock awarenessfest nedmovie excited make noise gyn cancer sunny california september nedtheband	2014-08-13	5	3	@awarenessfest @NEDmovie @nedtheband	#GYN #California		https://twitter.com/andreasparkler/status/499662291236040704
495164251674517505	yassinahmed1	 mailonline taking contraceptive pills raises risk cancer study finds http dailymai agnvju	2014-08-01	0	0	@MailOnline			https://twitter.com/yassinahmed1/status/495164251674517505
494690859023990784	StephenKersh	 isthatsol danieldingus scottfaubs clear man buys umbrella rain tho breaks umbrella knee lights cancer stick	2014-07-30	0	0	@isthatsol @DanielDingus @scottfaubs			https://twitter.com/StephenKersh/status/494690859023990784
493812365440598017	mandabee310	 thefanatic cut howard hes black hole line up waste roster spot possibly clubhouse cancer pay off	2014-07-28	0	0	@975TheFanatic			https://twitter.com/mandabee310/status/493812365440598017
491977672113659904	seba_yuri	 lol dont remember putting cancer phone pictwittercomwzirrrqewz	2014-07-23	0	1				https://twitter.com/seba_yuri/status/491977672113659904
489785826017280001	BrookeLJames	 beat cancer live live manner choose live stuartscott	2014-07-17	0	0	@StuartScott			https://twitter.com/BrookeLJames/status/489785826017280001
478960384981073921	stopcrime	 georgetown lombardi cancer hospital pictwittercomahjfmigttz	2014-06-17	0	0				https://twitter.com/stopcrime/status/478960384981073921
474281030136766464	Rineans06	 weliveinagenerationwhere likes facebook status cure cancer dont at golds gym pic https pathcomp ale m	2014-06-04	0	0		#WeLiveInAGenerationWhere		https://twitter.com/Rineans06/status/474281030136766464
471490610810335232	ScritchfieldRD	 always skeptic saw cancer article social media going viral http mhopkinsmedicineorgkimmel_cancer_ centernews_eventsfeaturedcancer_update_email_it_is_a_hoaxhtml hopkinsmedicine rdchat	2014-05-27	2	0	@HopkinsMedicine	#rdchat		https://twitter.com/ScritchfieldRD/status/471490610810335232
466562967052365824	danielahn31	 pretty incredible piece cancer doctor wife dying cancer http nymagcomnewsfeatures cancerpeterbach 	2014-05-14	0	0				https://twitter.com/danielahn31/status/466562967052365824
465532181956538369	BobDohertyACP	 ahrqnews well intended mothers day best time talk treatment happy mptherrs day heres card lets talk cancer 	2014-05-11	0	0	@AHRQNews			https://twitter.com/BobDohertyACP/status/465532181956538369
464479006059159552	SG_BigLazy	 cancer ribbon bandanaburner pictwittercomgpyursyfmp	2014-05-08	0	0	@BandanaBurner			https://twitter.com/SG_BigLazy/status/464479006059159552
455761065654362112	Tuuuuma	 bfmweb give example creative strategy cancer awareness foundation	2014-04-14	0	0	@bfmweb			https://twitter.com/Tuuuuma/status/455761065654362112
455125329737449472	cindylouwho821	 enews angelina previvor cancer samanthaharris giulianarancic etc cancer difference	2014-04-12	0	1	@ENews @SamanthaHarris @GiulianaRancic	#previvor		https://twitter.com/cindylouwho821/status/455125329737449472
451184821591896065	WildFireEvents	 gotta work friend fire dept whos losing battle cancer wonder say items cause cancer never ban them	2014-04-01	0	0				https://twitter.com/WildFireEvents/status/451184821591896065
448810023335231489	FeministaLatorr	 sexualizando el cancer periodico ingls usa modelos en topless para luchar contra cancer de mama httpwww theguardiancommediagreensla de mar page breastcancer feminismoenred	2014-03-26	0	0		#feminismoenred		https://twitter.com/FeministaLatorr/status/448810023335231489
447217234176671744	YouOnlyLib_Once	 to see it also cancer survivor im speaking others ive talked say making bald	2014-03-21	1	4				https://twitter.com/YouOnlyLib_Once/status/447217234176671744
447216836170776576	YouOnlyLib_Once	 whole new craze people shaving heads support cancer research ridiculous thing	2014-03-21	1	2				https://twitter.com/YouOnlyLib_Once/status/447216836170776576
444486511720148992	BrookeLJames	 smart quantitatively trained engineers could help cure cancer want work sexting app http mobilenytimescom mag azinesiliconvalleysyouthproblemhtmlsmidfbnytimeswtz_smamg_svy_ bicmpadbicmlukpwtmc_idbicmst bicmet _r referrer 	2014-03-14	0	0				https://twitter.com/BrookeLJames/status/444486511720148992
425744229831548928	JuliaSchneller	 dont panic say think cancer probably is	2014-01-21	0	0				https://twitter.com/JuliaSchneller/status/425744229831548928
421306889226694656	drujami	 riding cycle survival honor best friend mieshchell grandpa passed away rare cancer last year cycleforsurvival	2014-01-09	1	2	@Cycle4Survival @MieShCheLL	#CycleforSurvival		https://twitter.com/drujami/status/421306889226694656
419216353216978944	prodigaljustin	 years cancer free	2014-01-03	0	7				https://twitter.com/prodigaljustin/status/419216353216978944
532240723551465472	ShapsinDC	 get bar mitzvah months died cancer thanks vets there service valor	2014-11-11	0	0				https://twitter.com/ShapsinDC/status/532240723551465472
508996297438011392	Benshemp	 doctors office cherylshuman comes cnbc talk surviving cancer marijuana market mmj pictwittercomgx figigfm	2014-09-08	13	12	@CherylShuman @CNBC	#marijuana #MMJ		https://twitter.com/Benshemp/status/508996297438011392
499972517298470912	salutefrann	 rambo_ohb yall want obama cure cancer aids make world peace stop poverty one day	2014-08-14	1	0	@Rambo_OHB			https://twitter.com/salutefrann/status/499972517298470912
460148033695784960	publiusterrance	 race power race manmade cancer societies used ensure white domination pocs boycottclippers	2014-04-26	9	13		#BoycottClippers		https://twitter.com/publiusterrance/status/460148033695784960
449695027007344641	theHAILstorms	 mom came room said you didnt tell mom little couple cancer what idontevenwatchthat	2014-03-28	0	2		#what #idontevenwatchthat		https://twitter.com/theHAILstorms/status/449695027007344641
436617541931520000	_crosscheck	 batdad vines mom brain cancer 	2014-02-20	0	0				https://twitter.com/_crosscheck/status/436617541931520000
419978506521808896	Trvp_Brucee	 yooovon keeps pole shorty niggas ont want cancer	2014-01-05	0	0	@YoooVon			https://twitter.com/Trvp_Brucee/status/419978506521808896
549218138764869633	Clark_Long	 id ratha b murkd hav cancer uh tumor uh stroke collapse die ah car accident	2014-12-28	0	0				https://twitter.com/Clark_Long/status/549218138764869633
547990796432334848	ReJene_	 slob_onmytweets bobbiethatsit better fighting cancer fucking us rap though	2014-12-25	1	0	@Slob_OnMyTweets @BobbieThatsIt			https://twitter.com/ReJene_/status/547990796432334848
540290064249782272	JCrz_	 cancer cancer women shy sexual	2014-12-03	0	0		#Cancer		https://twitter.com/JCrz_/status/540290064249782272
539479077477175296	iDIKher	 everyone ceemoneyyy females get tested hivstds cancer 	2014-12-01	5	0	@CeeMoneyyy			https://twitter.com/iDIKher/status/539479077477175296
532698404875689984	MsKJJackson	 knitting club kickoff well making hats people cancer dcpublicschools takomaec pictwittercom tfn n dno	2014-11-12	7	5	@dcpublicschools @TakomaEC			https://twitter.com/MsKJJackson/status/532698404875689984
530722574767239168	Saint_Price	 wish followers loyal socks turned loyal followers even though theyre cancer rest	2014-11-07	1	1				https://twitter.com/Saint_Price/status/530722574767239168
528545672497496064	fourdiamonds	 cclaud_ thanks following fourdiamonds partnersinthefight conquer childhood cancer ftk	2014-11-01	0	1	@cclaud_9 @FourDiamonds	#PartnersInTheFight #FTK		https://twitter.com/fourdiamonds/status/528545672497496064
528545642747285504	fourdiamonds	 tashaeurich thanks following fourdiamonds partnersinthefight conquer childhood cancer ftk	2014-11-01	0	0	@tashaeurich @FourDiamonds	#PartnersInTheFight #FTK		https://twitter.com/fourdiamonds/status/528545642747285504
528545392313790464	fourdiamonds	 reematotlani thanks following fourdiamonds partnersinthefight conquer childhood cancer ftk	2014-11-01	2	1	@ReemaTotlani @FourDiamonds	#PartnersInTheFight #FTK		https://twitter.com/fourdiamonds/status/528545392313790464
528545300764700672	fourdiamonds	 alana thanks following fourdiamonds partnersinthefight conquer childhood cancer ftk	2014-11-01	0	1	@Alana9738 @FourDiamonds	#PartnersInTheFight #FTK		https://twitter.com/fourdiamonds/status/528545300764700672
524914162691239937	jjouvenal	 mclean dermatologist accused falsely diagnosing clients skin cancer part scheme http googlahfnds via keithlalexander	2014-10-22	0	0	@keithlalexander			https://twitter.com/jjouvenal/status/524914162691239937
523697921716277248	Saint_Price	 skin cancer toonami narutoshippuden	2014-10-19	0	1		#Toonami #NarutoShippuden		https://twitter.com/Saint_Price/status/523697921716277248
522769863178461185	kateamitchell	 joining medstarwhc cm_mcduffie announce new grant combat high incidences advanced breast cancer ward 	2014-10-16	1	0	@MedStarWHC @CM_McDuffie			https://twitter.com/kateamitchell/status/522769863178461185
519286240081104896	twatteringjohn	 timing nfl breast cancer support suspicious almost like part woman nfl cares breasts	2014-10-06	0	0		#NFL #NFL		https://twitter.com/twatteringjohn/status/519286240081104896
517472745496784896	VNICEEEE_	 rip mom breast cancer awareness month	2014-10-01	2	5				https://twitter.com/VNICEEEE_/status/517472745496784896
512427546005471232	JCrz_	 cancer rising like feel situation deciding takes awhile drop guard down rn	2014-09-17	0	0		#Cancer		https://twitter.com/JCrz_/status/512427546005471232
508996297438011392	Benshemp	 doctors office cherylshuman comes cnbc talk surviving cancer marijuana market mmj pictwittercomgx figigfm	2014-09-08	13	12	@CherylShuman @CNBC	#marijuana #MMJ		https://twitter.com/Benshemp/status/508996297438011392
506775483753971712	OfficialMzYve	 si medicament de palu doit te donner cancer sais ke palu est mieux kreef	2014-09-02	0	0		#Kreef		https://twitter.com/OfficialMzYve/status/506775483753971712
504329957162889216	OfficialMzYve	 cancerterms youre dating cancer become friends mother gain points tianagasha callmenabstar	2014-08-26	0	1	@CancerTerms @TianaGasha @CallmeNabstar	#Cancer		https://twitter.com/OfficialMzYve/status/504329957162889216
502178829017051136	OfficialMzYve	 cancerterms cancer s extremely manipulative getting wayyours truly	2014-08-20	0	0	@CancerTerms	#Cancer		https://twitter.com/OfficialMzYve/status/502178829017051136
501527934239506432	LBooGee	 missjia yes cancer	2014-08-18	0	0	@missjia			https://twitter.com/LBooGee/status/501527934239506432
498487769908264960	Saint_Price	 twitter page gave cancer wouldnt care blocked	2014-08-10	0	0				https://twitter.com/Saint_Price/status/498487769908264960
497791075411820545	Gidi_Traffic	 austynzogs gidi_traffic federal government refuted statements alleging use mobile phones cause cancer 	2014-08-08	2	0	@Austynzogs @Gidi_Traffic			https://twitter.com/Gidi_Traffic/status/497791075411820545
494469747032195072	GunsAndRosess__	 wanna rap shows twitter none want work chief keef imposter bald head bird looking ass cancer patient bitch	2014-07-30	1	1				https://twitter.com/GunsAndRosess__/status/494469747032195072
492708386463825920	Saint_Price	 stevelopez id like give cancer pictwittercombvan cndzj	2014-07-25	0	0	@stevelopez297			https://twitter.com/Saint_Price/status/492708386463825920
492100591502757888	YW_Weezy	 brendanepton better fucking aids cancer fucking us mothers	2014-07-23	2	1	@brendanepton			https://twitter.com/YW_Weezy/status/492100591502757888
491610266409664512	Saint_Price	 heinzenburger give yrs might still develop cancer keep drinking ketchup	2014-07-22	1	1	@heinzenburger			https://twitter.com/Saint_Price/status/491610266409664512
487334835682553857	Saint_Price	 real thing would probably give dick cancer	2014-07-10	0	0				https://twitter.com/Saint_Price/status/487334835682553857
486711444658864128	YW_Weezy	 niggas better fighting aids cancer fucking us forreal	2014-07-08	0	0				https://twitter.com/YW_Weezy/status/486711444658864128
486003830719782912	Saint_Price	 white girls twerking cant even twerk gives premature cancer watching	2014-07-07	1	0				https://twitter.com/Saint_Price/status/486003830719782912
485840810730995712	YW_Weezy	 niggas better fucking aids cancer fucking us forreal	2014-07-06	0	0				https://twitter.com/YW_Weezy/status/485840810730995712
485591791157006337	Saint_Price	 mrgoosebuster learnsomethlng moon already looks like cancer	2014-07-05	0	0	@MrGoosebuster @LearnSomethlng			https://twitter.com/Saint_Price/status/485591791157006337
485575112402288641	BakPakMak	 chain sick prolly got breast cancer 	2014-07-05	0	0				https://twitter.com/BakPakMak/status/485575112402288641
481888236735057920	Saint_Price	 teamgoatface pfft give ppl cancer	2014-06-25	0	0	@TeamGOATface			https://twitter.com/Saint_Price/status/481888236735057920
480900823049052160	Saint_Price	 teamgoatface gotta better cuz literally cancer	2014-06-22	0	1	@TeamGOATface			https://twitter.com/Saint_Price/status/480900823049052160
480451927348494337	Yaveh78	 klose il croit il encore pour faire ces connerie un jours il va avoir un cancer de la colonne vertbrale ce fdp pictwittercomofc mrx 	2014-06-21	3	1				https://twitter.com/Yaveh78/status/480451927348494337
480182982792450048	Saint_Price	 dick always gets randomly hard dont think cancer think thats dick telling stop virgin fuck	2014-06-20	0	1				https://twitter.com/Saint_Price/status/480182982792450048
478268910232670208	Saint_Price	 stevelopez get cancer faggot benched	2014-06-15	0	0	@stevelopez297	#BENCHED		https://twitter.com/Saint_Price/status/478268910232670208
477715190327562240	Saint_Price	 juliannakarina typical tear jerker cancer added could see appeal	2014-06-14	0	0	@juliannakarina			https://twitter.com/Saint_Price/status/477715190327562240
473999297952755712	Firstladybri34	 omg catherine cancer happening smh wow hahn feel bad jim wanna smack	2014-06-03	1	1		#HAHN		https://twitter.com/Firstladybri34/status/473999297952755712
472062264955383809	BouknightReport	 best story ive read while http wpmep dw v panthers rb loses mother breast cancer wants raise awareness	2014-05-29	5	1				https://twitter.com/BouknightReport/status/472062264955383809
470663222916165632	Saint_Price	 rock kind living beings earth except ppl tells get cancer	2014-05-25	1	0				https://twitter.com/Saint_Price/status/470663222916165632
470442633127395328	Saint_Price	 stevelopez saint_price get cancer faggotyou first	2014-05-25	1	1	@stevelopez297 @Saint_Price			https://twitter.com/Saint_Price/status/470442633127395328
469151606336794625	SoLoKeyRob	 punannyquise bald eagle looking ass long foot fat toe lil stomp ashy boot ass cncer patient looking ass chip wood chip faxe ass	2014-05-21	2	1	@PunannyQuise			https://twitter.com/SoLoKeyRob/status/469151606336794625
460219908346097665	thelinestepper	 knock knock whos there agent orange agent orange who we regret inform vietnam vetfather died cancer 	2014-04-26	0	0				https://twitter.com/thelinestepper/status/460219908346097665
459677946861867008	mikeschaffer	 capitolcom cancer fundraising initiative leaning heavily digital marketing http htly fwyvr teamnocancer	2014-04-25	1	0	@CapitolCom	#teamnocancer		https://twitter.com/mikeschaffer/status/459677946861867008
458405237913837568	MissPorterBaby	 low cancer ignorant hoe 	2014-04-21	0	0				https://twitter.com/MissPorterBaby/status/458405237913837568
453724297035808768	zillahjwesley	 jen rang bell little coupling cancer free its great show	2014-04-08	0	0				https://twitter.com/zillahjwesley/status/453724297035808768
448111888904515584	lousyhumans	 im breast cancer benefit comedy show put districtcomedy rfd friday get tix here http tickledpinksplashthatcomvalerie	2014-03-24	0	0	@districtcomedy			https://twitter.com/lousyhumans/status/448111888904515584
441646525119496192	MuvaaaaKay	 iiamkiaa virgo httpstwittercomiiamkiaastatus photo pictwittercom jsxdyl ko cancer	2014-03-06	0	0	@iiamKIAA	#Virgo #Cancer		https://twitter.com/MuvaaaaKay/status/441646525119496192
438858289330532353	zillahjwesley	 love make cancer women cancer men	2014-02-26	0	0				https://twitter.com/zillahjwesley/status/438858289330532353
438149963391193089	_AYYEBOB	 aw cancer	2014-02-24	0	0				https://twitter.com/_AYYEBOB/status/438149963391193089
