id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
547549746571644928	creatia	 folded dna becomes trojan horse attack cancer httpwww newscientistcomarticlemg foldeddnabecomestrojanhorsetoattackcancerhtmlvjoi neaa medical	2014-12-23	2	2		# #Medical		https://twitter.com/creatia/status/547549746571644928
542193176732114944	SirRyanCrist	 cancer take away physical abilities cannot touch mind cannot touch heart cannot touch soul jimmy v	2014-12-09	0	1				https://twitter.com/SirRyanCrist/status/542193176732114944
540771731078516737	nerdytwin	 dog diagnosed w lung cancer beyond heartbroken prayers folks taking care her love much	2014-12-05	0	0				https://twitter.com/nerdytwin/status/540771731078516737
534843713487659008	shtruon3	 im pacific cancer institute wailuku hi httpswww swarmappcomcb mlmrlx z 	2014-11-18	0	0				https://twitter.com/shtruon3/status/534843713487659008
533658493434462208	collinstw	 day hope k me k tom run cancer four seasons resort maui wailea hi httpswww swarmappcomckxnoergwfpf	2014-11-15	0	2	@Four			https://twitter.com/collinstw/status/533658493434462208
529024063369646080	bedecocks	 fsmaui raising awareness dayofhopemaui proceeds go pacific cancer foundation hawaii pictwittercomkprsrgioui	2014-11-02	3	3	@FSMaui	#dayofhopemaui #Hawaii		https://twitter.com/bedecocks/status/529024063369646080
528303136495378432	rostakela	 anybody thier moonsign venus piesces cancer hit xo	2014-10-31	0	0		#moonsign #venus #piesces #cancer		https://twitter.com/rostakela/status/528303136495378432
527907574285209600	bridget_widget	 todays schedule favorite pick pm hard rock show tignotaro breast cancer http instagramcompuyeb bpbcz	2014-10-30	0	0		#TigNotaro		https://twitter.com/bridget_widget/status/527907574285209600
527295487737880576	rostakela	 cancer course ruled beautiful mysterious luminous moon	2014-10-28	0	0				https://twitter.com/rostakela/status/527295487737880576
527292155724038144	rostakela	 sun pieces moon cancer	2014-10-28	0	0		#Sun #Pieces #Moon #Cancer		https://twitter.com/rostakela/status/527292155724038144
523260219401314305	sandycmaui	 blue crew showing pink bracelets breast cancer awareness blue hawaiian helicopters http instagramcompurdea jf j	2014-10-17	0	0	@Blue			https://twitter.com/sandycmaui/status/523260219401314305
523253692943044608	sandycmaui	 blue crew going pink breast cancer awareness gopink blue hawaiian helicopters http instagramcompuragfmpfzd	2014-10-17	0	0	@Blue	#GoPink		https://twitter.com/sandycmaui/status/523253692943044608
521849290008694784	olbvfdrdfh	 steven tyler please get touch whit mothers ashes please stage cancer https mobiletwittercomsessionnew	2014-10-13	3	3	@Steven			https://twitter.com/olbvfdrdfh/status/521849290008694784
521793601345703936	edibleHI	 american cancer society lunch bistro casanova http instagramcompuhch rlagw	2014-10-13	0	0	@Bistro			https://twitter.com/edibleHI/status/521793601345703936
521778728188121090	olbvfdrdfh	 iamstevent richarddeal please help stevenit would put rest give piece mind fight cancer retweet 	2014-10-13	7	3	@IamStevenT @RichardDeal6			https://twitter.com/olbvfdrdfh/status/521778728188121090
521774296754950145	olbvfdrdfh	 richarddeal jamiereevesuk throat cancer tumors throat tunsals back eari spokesman acs	2014-10-13	3	5	@jamiereevesuk			https://twitter.com/olbvfdrdfh/status/521774296754950145
521722915767595010	olbvfdrdfh	 iamstevent moms ashes please get hold cancer a cancer society knows hows find pictwittercomjkyd yzz g	2014-10-13	4	4	@IamStevenT			https://twitter.com/olbvfdrdfh/status/521722915767595010
519354200732762112	asap_cams	 rt lamessican fuck cancer 	2014-10-07	0	1	@lamessican			https://twitter.com/asap_cams/status/519354200732762112
519343577730519040	HRCMaui	 latenight tonight hrcmaui pinktober dj event cover goes pacific cancer foundation pm close	2014-10-07	0	0	@HRCMaui	#LateNight #pinktober		https://twitter.com/HRCMaui/status/519343577730519040
517438574997028864	PAULJEEZIE	 bettysbeachcafe celebrating breast cancer awareness month come visit us http instagramcomptofrzsmhbh	2014-10-01	0	0				https://twitter.com/PAULJEEZIE/status/517438574997028864
515778776656248832	paul_mcq	 cancer gets lost charity auction cancer gets lost page blacksparrow auctions http bidblacksparrowauctionscomcancergetslo st charityauction_as ps kwbonnieso 	2014-09-27	0	0				https://twitter.com/paul_mcq/status/515778776656248832
508128591067234304	DrKellyHarnick	 mayoclinic talking taboo topics ease stress cancer patients http mayoclin ta bjw livingwithcancer pictwittercomp s fnt d 	2014-09-06	1	0	@MayoClinic	#cancer #LivingWithCancer		https://twitter.com/DrKellyHarnick/status/508128591067234304
506657684808941569	AnnaOh22	 reading cancer zodiac factsugh pussies man whyme	2014-09-02	0	0		#whyme		https://twitter.com/AnnaOh22/status/506657684808941569
506167856439234562	jtriestm	 gyncsm ovarian cancer know symptoms spread awareness wearteal pictwittercomjrfqlwgllz	2014-08-31	1	1		#GYNCSM #ovarian #wearteal		https://twitter.com/jtriestm/status/506167856439234562
504453503088332801	Shinnypie	 cancer bad you lol comoneybags	2014-08-26	0	1	@COMoneyBags			https://twitter.com/Shinnypie/status/504453503088332801
503764668611969024	lildankdonut	 get skin cancer couple bathing suits im gonna eggy	2014-08-25	0	4				https://twitter.com/lildankdonut/status/503764668611969024
502519021120401408	pastoresapril	 think cancer	2014-08-21	0	0				https://twitter.com/pastoresapril/status/502519021120401408
501211001107120128	Toni_TheGreatt	 hope ice challenge knows people cancer thats chemo feels like cold thru body	2014-08-17	2	4				https://twitter.com/Toni_TheGreatt/status/501211001107120128
498976278184464384	strawn_gavin	 instead taking time money curing cancer wed rather bill every step way	2014-08-11	0	0				https://twitter.com/strawn_gavin/status/498976278184464384
497212861735645184	supkalish	 watch spend day tanning get tan end skin cancer instead	2014-08-06	0	0				https://twitter.com/supkalish/status/497212861735645184
495726590173913088	rostakela	 pinceees pisces cancer rising like bask luxury enjoy delightful experiences stingy thats me 	2014-08-02	0	0	@pinceees	#Pisces #Cancer		https://twitter.com/rostakela/status/495726590173913088
493582765321764864	edb1013	 fuck cancer	2014-07-27	3	13				https://twitter.com/edb1013/status/493582765321764864
492412069853933568	Sixseat	 cancer god given 	2014-07-24	0	0				https://twitter.com/Sixseat/status/492412069853933568
491567546244415489	namastexo	 piscesscopee pisces cancer deep unspoken emotional connection its almost like hear others thoughts	2014-07-22	1	2	@piscesscopee	#Pisces #Cancer		https://twitter.com/namastexo/status/491567546244415489
489299989047177216	maddiisonnicole	 fought hardest cancer may hero mei see smile soon rip love you pictwittercomct tf qjs	2014-07-16	0	5				https://twitter.com/maddiisonnicole/status/489299989047177216
486400122847109120	kaeaboyx	 money spent buckets ice money actually donated cancer good going guys	2014-07-08	0	5				https://twitter.com/kaeaboyx/status/486400122847109120
485670192538599424	mszdee_	 dont know why im shitiest mood rn cancer moonchild	2014-07-06	0	1		#cancer #moonchild		https://twitter.com/mszdee_/status/485670192538599424
483870868376797184	Jostonmils	 plot twist save water n give need instead pouring raise awareness cancer	2014-07-01	0	0				https://twitter.com/Jostonmils/status/483870868376797184
482692184496304128	s0urc3c0d3err0r	 benefit princess ilonas cancer treatment concert feat princess ilona isle five dj lucescrewz hawaii pictwittercomiflymjeunz	2014-06-27	0	0		#Hawaii		https://twitter.com/s0urc3c0d3err0r/status/482692184496304128
