id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
548291913410183168	CeceCalabrese	 sugar cancer connection httpwww leforgmagazine carbohydratessharplyincreasebreastcancerriskpage utm_campaignnormalutm_sourcetwitterutm_mediumsocial 	2014-12-25	0	0		#sugar #cancer		https://twitter.com/CeceCalabrese/status/548291913410183168
548237694460231681	JennaTeti	 c_perry im saving cancer	2014-12-25	0	0	@c_perry11			https://twitter.com/JennaTeti/status/548237694460231681
547115361372737536	CeceCalabrese	 jrhodespianist oh no rip joe cocker goddam lung cancer http myoutubecomwatchv_wg cg mgn u ripjoecocker	2014-12-22	0	0	@JRhodesPianist	#RIPJoeCocker		https://twitter.com/CeceCalabrese/status/547115361372737536
546906192141099008	SerenityBlairr	 pack another bowl pack another bowl question cancer bowl marijuana weed bud high stoner stonedgirls	2014-12-22	0	2		#Cancer #bowl #marijuana #weed #bud #high #stoner #stonedgirls		https://twitter.com/SerenityBlairr/status/546906192141099008
546187024899002368	JdMcAuliffe	 tomorrow ill attend funeral young man lost battle w cancer look scripture understanding pictwittercom m zov vvm	2014-12-20	1	1				https://twitter.com/JdMcAuliffe/status/546187024899002368
546132950749020161	nakeishymarie	 overcame cancer age smile throughout	2014-12-19	0	0				https://twitter.com/nakeishymarie/status/546132950749020161
543448383118389249	AnnaMMarquez	 officialbskip explains everything pictwittercomvn uclbuyc cancer	2014-12-12	0	0	@officialbskip			https://twitter.com/AnnaMMarquez/status/543448383118389249
542952425037242368	RoyalTetons_	 facemeltfam savingamnchenet see yours accurate pictwittercomcdqbwgebeb cancer lol aquarius dead right	2014-12-11	0	1	@FaceMeltFam @SavingAmnChenet	#Cancer		https://twitter.com/RoyalTetons_/status/542952425037242368
542833812301168640	mlbonenfant	 jlester thank memories proud recovery cancer baseball business class act	2014-12-10	0	0	@JLester31			https://twitter.com/mlbonenfant/status/542833812301168640
541326421919301632	CooleyOfficial	 finding someone know care diagnosed cancer news wanted hear	2014-12-06	1	1				https://twitter.com/CooleyOfficial/status/541326421919301632
537320751251345410	Public_Emily	 whatever kind cancer get drinking way much tea im definitely getting kind	2014-11-25	0	0				https://twitter.com/Public_Emily/status/537320751251345410
535785284273991680	PCBurno	 lenoxhill todayshow survivor cancer sucks ever found early detection best	2014-11-21	1	1	@lenoxhill @TODAYshow			https://twitter.com/PCBurno/status/535785284273991680
534487007536635904	ruthgriggs03	 lots excitement cooleydickinson sledgehammer event massgeneral cancer center westernma	2014-11-17	0	0	@cooleydickinson @MassGeneral	#excitement #sledgehammer #westernma		https://twitter.com/ruthgriggs03/status/534487007536635904
533704849809215488	ivanoransky	 stop developing drugs cancer killed mother http mnautilusissue illus ionsstopdevelopingdrugsforthecancerthatkilledmymother eliedolgin via edyong 	2014-11-15	10	9	@ElieDolgin @edyong209			https://twitter.com/ivanoransky/status/533704849809215488
532271986802958337	drewtomaino	 fuck cancer	2014-11-11	0	2				https://twitter.com/drewtomaino/status/532271986802958337
531633896522534912	ReneeLascala	 emotional impact tower poppies augmented cancer moon never ever forgets	2014-11-09	0	0				https://twitter.com/ReneeLascala/status/531633896522534912
531081440260546560	binnnn2	 sierrrajade scorpioterms cancer scorpio soul mates discover great deal common	2014-11-08	1	1	@sierrrajade @ScorpioTerms			https://twitter.com/binnnn2/status/531081440260546560
530714279587381248	nicholasmbruno	 would government find cures diseases cancer could make billions treating life	2014-11-07	1	4				https://twitter.com/nicholasmbruno/status/530714279587381248
530352345423835136	tommy_lamica	 its sickening fucking joke breast cancer suicide fucking heart	2014-11-06	0	0				https://twitter.com/tommy_lamica/status/530352345423835136
529485554480861184	cassandra0622	 cancer	2014-11-03	0	0		#cancer		https://twitter.com/cassandra0622/status/529485554480861184
529425105475362816	UMassSAI	 come malcolm x center great breast cancer awareness event pictwittercomzty h ggfk	2014-11-03	0	0				https://twitter.com/UMassSAI/status/529425105475362816
529010781086822401	chrisLema35	 aflacduck make childs day rting post rt aflac donate help fight childrens cancer duckprints 	2014-11-02	0	0	@aflacduck	#Duckprints		https://twitter.com/chrisLema35/status/529010781086822401
528648107148734466	DoctorPanama	 nidanews lung cancer awareness month cigarette smoking linked cases lung cancer http owlyde i 	2014-11-01	0	0	@NIDAnews	#cigarette		https://twitter.com/DoctorPanama/status/528648107148734466
528647730558955520	DoctorPanama	 thenci november lung cancer awareness month http usagov b h q pictwittercomzxndezmzqq 	2014-11-01	0	0	@theNCI			https://twitter.com/DoctorPanama/status/528647730558955520
