id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
542129427346255872	salsmn	 cleclinicmd khorana score predicts cancer patients thrombosis risk http bitly nijhx ash pictwittercomqjvw sra 	2014-12-08	0	0	@CleClinicMD	#cancer #ASH14		https://twitter.com/salsmn/status/542129427346255872
535911759094099968	krisvontz	 couldnt score woman like seamen cured cancer lol	2014-11-21	0	0				https://twitter.com/krisvontz/status/535911759094099968
535826288930332672	owensjas	 years ago best friend diagnosed colon cancer grace god today hope cancersux pictwittercomol slg ovk	2014-11-21	0	3		#hope #cancersux		https://twitter.com/owensjas/status/535826288930332672
535633595038056448	bdeng	 hockey fights cancer winning bids bordy briere cliche dutchy everberg iggy landy mack goavsgo	2014-11-20	1	0		#GoAvsGo		https://twitter.com/bdeng/status/535633595038056448
535586565112606720	bemillion	 guess going second round chemo gives right make cancer jokes lovemygrammy pictwittercomdkibskaefi	2014-11-20	0	11		#lovemygrammy		https://twitter.com/bemillion/status/535586565112606720
530839991656927232	IizzSophia	 funny_truth people consume pizza may actually decreasing risk cancer look l ve_l ugh_l ve pvnkidiotluke	2014-11-07	2	0	@Funny_Truth @L0VE_L4UGH_L1VE @pvnkidiotluke			https://twitter.com/IizzSophia/status/530839991656927232
527446961642024960	EthenKNOP	 breast cancer awareness day knop everyone wearing pink pictwittercomnppedo vth	2014-10-29	1	0				https://twitter.com/EthenKNOP/status/527446961642024960
523278538544525312	blissybun	 color cancer night tricitystorm hockey pictwittercombheag tewj	2014-10-17	2	2	@TriCityStorm			https://twitter.com/blissybun/status/523278538544525312
522557670578855936	haley_mckain	 total cancer guilt trip ahh jordi redbandsociety	2014-10-15	0	1		#RedBandSociety		https://twitter.com/haley_mckain/status/522557670578855936
521738425763131392	tannerbasset1	 fuck cancer 	2014-10-13	0	0				https://twitter.com/tannerbasset1/status/521738425763131392
521069589312974848	MorganLliteras	 funny_truth chocolate kills cancer cells xo_ shouldve bought chocolate cupcakes haha jk	2014-10-11	0	2	@Funny_Truth @Xo_1016			https://twitter.com/MorganLliteras/status/521069589312974848
520780760274731009	eirbalnosilla	 cancer smells like smells like dead fish klabrie 	2014-10-10	1	1	@klabrie13			https://twitter.com/eirbalnosilla/status/520780760274731009
518901513369190403	CIERRAmistttt	 last home game tomorrow night vets complex pink out support breast cancer get butt game	2014-10-05	0	2				https://twitter.com/CIERRAmistttt/status/518901513369190403
518143829338517504	JansanteV	 wife sue good results last bone marrow biopsy cancer	2014-10-03	0	1		#Cancer		https://twitter.com/JansanteV/status/518143829338517504
516294753055289345	isabel_engstrom	 so momma years cancer free today pictwittercomrfbsm qg j	2014-09-28	0	9				https://twitter.com/isabel_engstrom/status/516294753055289345
515978066527404034	BrianKJenner	 honestly guy cancer would still go idc	2014-09-27	1	1				https://twitter.com/BrianKJenner/status/515978066527404034
515237757657292800	CamieAnne13	 dont think could ever hate something much fucking hate cancer 	2014-09-25	2	1				https://twitter.com/CamieAnne13/status/515237757657292800
509922681819381760	M_Randall_K	 cancer u would kick people say i cancer isthatweird	2014-09-11	0	0		#isthatweird		https://twitter.com/M_Randall_K/status/509922681819381760
502195676579921920	GrandPaSpanky71	 doctors treating hall fame qb jim kelly found no evidence cancer followup screeningvia sportscenter	2014-08-20	0	0				https://twitter.com/GrandPaSpanky71/status/502195676579921920
501477809320366080	TraceyGowen22	 prayers jack ketv trending jack hoffmans heading boston continue fight cancer http bitly pzb a pictwittercomdpufggjkgb 	2014-08-18	0	0	@KETV			https://twitter.com/TraceyGowen22/status/501477809320366080
499342565632925696	_kennedyrose_	 everyone could say lil prayer little guy hopes lumps back legs cancer free pictwittercom gfdxmqzar	2014-08-12	0	13				https://twitter.com/_kennedyrose_/status/499342565632925696
497387354685210625	tyloooryoung	 wish cancer would get cancer die	2014-08-07	2	3				https://twitter.com/tyloooryoung/status/497387354685210625
493970132289327104	KodyKTrey3	 luisnrtk zreyes youre lame liking player money straight cancer teams	2014-07-29	0	1	@LuisNRtk @ZReyes714			https://twitter.com/KodyKTrey3/status/493970132289327104
490951821083426816	EamonOMearaTV	 sparkle golf tournament year old katelyn gi rare form cancer story cn_news pictwittercomljolnnr ls	2014-07-20	0	0	@1011CN_News			https://twitter.com/EamonOMearaTV/status/490951821083426816
