id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
530379561478152193	Yelatacos	 please dear god tell cancer bats live record songs albums	2014-11-06	0	0				https://twitter.com/Yelatacos/status/530379561478152193
496085086388113408	maylywilley	 cute cancer trapped inside mind someone cant afford education	2014-08-03	0	0				https://twitter.com/maylywilley/status/496085086388113408
488805981112242176	vcnaa	 dogoodfest cancer vermont httpwww wcaxcomstory dogoodfestproceedsbenefitcvmccancerpatients 	2014-07-14	0	0		#dogoodfest #Cancer #Vermont		https://twitter.com/vcnaa/status/488805981112242176
460732014686371840	Yelatacos	 mike pierce veil wearing cancer bats shirt thats fucking awesome canadian stoner metal	2014-04-28	0	0				https://twitter.com/Yelatacos/status/460732014686371840
440692624056668160	BadLuckBlist	 gets lip cancer badluckblist	2014-03-03	0	3		#badluckblist		https://twitter.com/BadLuckBlist/status/440692624056668160
436779879577948160	zachary_spooner	 years dropping thousands packs cigarettes al qaeda hot spots news leaderhas murdered lung cancer httpstwittercomzachary_spoonerstatus lizmurraybfp thanks mt vtstatepolice httpwww burlingtonfreepresscomstorynewsloc al laceysfundhelpsretiredquincy nice article lizmurraysmc laceys fund providing k quincys cancer treatment vtstatepolice lizmurraysmc httpstwittercomlizmurraybfpstatus vtknitboy remember th handspun bunny blend hats knitted fb friend husband ws th stage cancer passed amshe got th hats httpstwittercomvtknitboystatus vtknitboy quick handspun knit hats fb friend amd husband he th stage cancer pictwittercomvufk krxw httpstwittercomvtknitboystatus amayabaustert dont ever give up jimmy vs timeless speech touched inspired many continue fighting cancer http espn d nm b 	2014-12-09	2	2				https://twitter.com/AmayaBaustert/status/542471028929466369
542319161763180544	WLUK_Dylan	 ftw sportscenter icymi emotional john wall dedicates dramatic win yearold died cancer http espn vycbez 	2014-12-09	0	0	@SportsCenter	#FTW		https://twitter.com/WLUK_Dylan/status/542319161763180544
541794173041782784	jordanguerinn	 dylansprouse caillou cancer fucked	2014-12-07	0	0	@dylansprouse			https://twitter.com/jordanguerinn/status/541794173041782784
538692788570046467	edcolemangolf	 found closest mate coast guard days passed away one funniest men ive ever known rip mr webster cancer	2014-11-29	0	0		#cancer		https://twitter.com/edcolemangolf/status/538692788570046467
537722211071565824	audreyscott802	 xabbeh gracibiggs cancer juice death	2014-11-26	0	2	@xabbeh @gracibiggs			https://twitter.com/audreyscott802/status/537722211071565824
