id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
517168838342111234	teamTOOTH	 pass balls cancerous	2014-10-01	0	0				https://twitter.com/teamTOOTH/status/517168838342111234
511341689446100992	Gabbylancaster	 _cullwell ur face cancerous	2014-09-14	0	1	@_Cullwell			https://twitter.com/Gabbylancaster/status/511341689446100992
499210382670831616	hayleybarlow8	 found momma pre cancerous tissue esophagus prayers please	2014-08-12	0	15				https://twitter.com/hayleybarlow8/status/499210382670831616
491936653947072513	Tru30Blu	 i support tony dungy commentstruth often divisive agendas cancerous 	2014-07-23	0	0				https://twitter.com/Tru30Blu/status/491936653947072513
486379201541316608	nicoleamanda55	 aunt told need get tumor removed its good leave even tho its cancerous	2014-07-08	0	1				https://twitter.com/nicoleamanda55/status/486379201541316608
467330085562097664	xoxo_mcoyle	 hoping doctor says isnt cancerous	2014-05-16	0	3				https://twitter.com/xoxo_mcoyle/status/467330085562097664
431490592024317952	ShugoWah	 look cancerous lump pictwittercompblywbcmuv	2014-02-06	0	5				https://twitter.com/ShugoWah/status/431490592024317952
532666846567464960	allisonjane2012	 recieved two good news things today tumor femur bone isnt cancerous thank god got job woo	2014-11-12	0	0				https://twitter.com/allisonjane2012/status/532666846567464960
501916157214220290	alwaysblushing_	 forreal scared tests positive cancerous 	2014-08-19	0	0				https://twitter.com/alwaysblushing_/status/501916157214220290
473632224206536705	rdupe_	 cancerous hamster escaped cage cannot find anywhere	2014-06-02	0	7				https://twitter.com/rdupe_/status/473632224206536705
464590272618590210	King_Louie3	 alexsabowman actually its scientifically proven marijuana slow cancerous cells growth rate prevent	2014-05-08	0	0	@Alexsabowman123			https://twitter.com/King_Louie3/status/464590272618590210
456774307386236928	rtl371897	 im cancerous diss wouldnt want answer responded back battle rap wrote cannabis	2014-04-17	0	0				https://twitter.com/rtl371897/status/456774307386236928
451530348493807616	Tiffany_Amber22	 im pretty sure mole thing cheek starting get cancerous	2014-04-02	0	0				https://twitter.com/Tiffany_Amber22/status/451530348493807616
432714332435386369	shineTAY_	 pray its doesnt turn cancerous	2014-02-09	0	0				https://twitter.com/shineTAY_/status/432714332435386369
431996532217618432	breannaasorrell	 mich cancerous orange bump head	2014-02-07	0	0				https://twitter.com/breannaasorrell/status/431996532217618432
431490592024317952	ShugoWah	 look cancerous lump pictwittercompblywbcmuv	2014-02-06	0	5				https://twitter.com/ShugoWah/status/431490592024317952
419879855128600576	solomon_ann	 a gift god woman doctor say prayer miraculously healed malignant cancerous tumor httpwww theblazecomstories agiftfromgodwomanandherdoctorsayprayermiraculouslyhealedhermalignantcanceroustumorutm_sourcetwitterutm_mediumstoryutm_campaignsharebuttons 	2014-01-05	0	0				https://twitter.com/solomon_ann/status/419879855128600576
533767376202772480	Doobieville420	 cannabis extracts help slow growth cancerous tumours used alongside radiotherapy http instagramcompvchkgknb 	2014-11-15	0	0		#extracts #radiotherapy		https://twitter.com/Doobieville420/status/533767376202772480
503961873717264384	Zovaeee	 steves handwriting cancerous	2014-08-25	0	1				https://twitter.com/Zovaeee/status/503961873717264384
501948305589284864	Zovaeee	 brush teeth coffee makes breathe cancerous 	2014-08-20	1	2				https://twitter.com/Zovaeee/status/501948305589284864
501916157214220290	alwaysblushing_	 forreal scared tests positive cancerous 	2014-08-19	0	0				https://twitter.com/alwaysblushing_/status/501916157214220290
498077838957092865	margotdragon	 theunusualfact least day immune system kills cell would become cancerous lived eat healthy	2014-08-09	0	0	@TheUnusualFact			https://twitter.com/margotdragon/status/498077838957092865
494848146178969601	HortonLooksUp	 prayers mom would b greatly appreciated headed surgery help relieve pain complications non cancerous brain tumor	2014-07-31	0	0				https://twitter.com/HortonLooksUp/status/494848146178969601
494425110971830272	_teemoneyxo	 straw erry_ cysts breast benign become cancerous later one best remove now	2014-07-30	0	0	@Straw6erry_			https://twitter.com/_teemoneyxo/status/494425110971830272
486247066931187712	JHoke70	 mr_hairston people blessed talented waste associations cancerous people stepup stepoff	2014-07-07	0	2	@Mr_Hairston15	#stepup #stepoff		https://twitter.com/JHoke70/status/486247066931187712
484348782050422784	MoreThanHIV	 natekenway already first found biopsies came back positive cancerous cells went in remove them	2014-07-02	0	0	@natekenway			https://twitter.com/MoreThanHIV/status/484348782050422784
477130510464847873	mulky72	 believe its good get mad situation dont run from deal it bitter cancerous pissed good	2014-06-12	0	0				https://twitter.com/mulky72/status/477130510464847873
470072217443651585	beckyhughes1212	 asking prayers son elijah found today cancerous tumor back neck god control please pray	2014-05-24	0	0				https://twitter.com/beckyhughes1212/status/470072217443651585
464084027151224832	JessicaSottile	 hyperthyroidism sucks weeks til find nodules cancerous nervouswreck thank god best fwiends side	2014-05-07	18	55		#nervouswreck		https://twitter.com/JessicaSottile/status/464084027151224832
462648166379429888	Rch_Beth	 slaughterhouse accused selling cancerous meat redcowhills http redcowhillscomslaughterhouse accusedofsellingcancerousmeat via redcowhills	2014-05-03	1	0	@RedCowHills			https://twitter.com/Rch_Beth/status/462648166379429888
462460322767319043	CharlotteCP	 cancerous cows processed meat plant feds say huge california meat plant processed cancerous cows federal http dlvrit ydf q	2014-05-03	0	0				https://twitter.com/CharlotteCP/status/462460322767319043
462435678941642752	Timquiqui	 one staggering deception cancerous cows quoteswithoutcontext	2014-05-02	0	0		#quoteswithoutcontext		https://twitter.com/Timquiqui/status/462435678941642752
461311663908859904	SRowe1978	 lovelaw remember mom prayer cyst kidney possibly cancerous	2014-04-29	0	1	@lovelaw2			https://twitter.com/SRowe1978/status/461311663908859904
458814474758397952	jwshrews	 nfl_atl bills coach doug marrone announces cancerous mole removed skin httpwww nflcomnewsstory ap articledougmarronehadcancerousmoleremovedfromskincampaigntwitter_atl important football news	2014-04-22	0	0	@NFL_ATL			https://twitter.com/jwshrews/status/458814474758397952
457252163756904448	Alyhayward	 get home mom says btw dog cancerous tumor oh okay great	2014-04-18	0	0				https://twitter.com/Alyhayward/status/457252163756904448
432714332435386369	shineTAY_	 pray its doesnt turn cancerous	2014-02-09	0	0				https://twitter.com/shineTAY_/status/432714332435386369
427850255502413824	MaryFrancesClar	 proverbs continual dropping rainy day continuous woman alike continuous jezebel cancerous	2014-01-27	0	0		#continuous #jezebel #cancerous		https://twitter.com/MaryFrancesClar/status/427850255502413824
