id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
540166611731501057	thisgirlcassie	 when says cancerous attitude pictwittercomv pxqtbkhj	2014-12-03	0	1				https://twitter.com/thisgirlcassie/status/540166611731501057
539541008913276928	TerrElReyLeon	 women choose cancerous man everyday b	2014-12-01	0	0				https://twitter.com/TerrElReyLeon/status/539541008913276928
534793464589078528	CleteLey	 every nba player leg cramp penguins olli maatta back weeks cancerous tumor removed hockey superman	2014-11-18	4	1	@NBA @penguins			https://twitter.com/CleteLey/status/534793464589078528
533006914339479552	BigDavePens	 maatta practiced today could return within next week confirmed tumor cancerous pens letsgopens maattastrong	2014-11-13	0	2		#Pens #LetsGoPens #MaattaStrong		https://twitter.com/BigDavePens/status/533006914339479552
532218008836775938	Kozzy_Kozbourne	 dude cancerous tumor removed last week molinaripg olli maatta heads onice workout msg httpstwittercommolinaripgstatus photo pictwittercombk qy yhp 	2014-11-11	1	1	@MolinariPG			https://twitter.com/Kozzy_Kozbourne/status/532218008836775938
526780486795149312	BigDavePens	 holy shtolli damn man maatta tumor removed thyroid potentially cancerous hockeyfightscancer pens	2014-10-27	2	4		#HockeyFightsCancer #Pens		https://twitter.com/BigDavePens/status/526780486795149312
526780050306506752	PGHVC	 maatta surgery remove possible cancerous tumor neck expected miss weeks pens	2014-10-27	0	0		#Pens		https://twitter.com/PGHVC/status/526780050306506752
521755651199234048	irwinfxks	 uh pray friend bc may cancerous mole	2014-10-13	0	0				https://twitter.com/irwinfxks/status/521755651199234048
497916987939753984	carters_mamaa	 today told abnormal cells cervix dont look cancerous reason wording isnt reassuring	2014-08-08	0	0				https://twitter.com/carters_mamaa/status/497916987939753984
496718341525237761	SabrinaLinck	 everyone obsessed tan like perfectly happy pale wrinkly skin cancered future self thank	2014-08-05	2	9				https://twitter.com/SabrinaLinck/status/496718341525237761
492132165132382209	TheGreatBlaines	 thecolthansen youre right delicious tidlly bit less cancerous	2014-07-23	0	0	@thecolthansen			https://twitter.com/TheGreatBlaines/status/492132165132382209
489100783330148352	chefketsia	 laptop charge quite sometime guess im gonna nap sleep nasty cancerous breakfast	2014-07-15	0	0				https://twitter.com/chefketsia/status/489100783330148352
466338738847899648	Theresa2218	 mom goes see cyst cancerous tomorrowhappy thoughts	2014-05-13	0	5				https://twitter.com/Theresa2218/status/466338738847899648
463106553508548608	_lozoj	 cancerous carcillo due	2014-05-04	0	0				https://twitter.com/_lozoj/status/463106553508548608
446832465790132224	superagentkate	 gave thought prayer thank you its working cancerous areas shrunk http instagramcomplyzvnxqln 	2014-03-20	0	0				https://twitter.com/superagentkate/status/446832465790132224
441347654778646529	andrewDavidHuff	 mallorymahen okay non cancerous	2014-03-05	0	1	@mallorymahen			https://twitter.com/andrewDavidHuff/status/441347654778646529
440297830780248065	andrewDavidHuff	 morganposel thought cancer pulled two big tumors smooth told us later cancerous tumors times come	2014-03-02	0	0	@morganposel			https://twitter.com/andrewDavidHuff/status/440297830780248065
439646808156164096	andrewDavidHuff	 lexcogis took tumors sent pathologist dont think cancerous	2014-03-01	0	1	@lexcogis			https://twitter.com/andrewDavidHuff/status/439646808156164096
