id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
20219776777326592	lildobe	 accophox blazecollie maestroknux lupinesilver holy wtf say instant diabetes 	2010-12-29	0	0	@accophox @blazecollie @MaestroKnux @lupinesilver			https://twitter.com/lildobe/status/20219776777326592
20145636959588352	eric_barker	 suitcasejohnny diabetes hockey tonight	2010-12-29	0	0	@SuitcaseJohnny			https://twitter.com/eric_barker/status/20145636959588352
17630991933775872	topix_pa	 wholefat dairy products help lower diabetes risk httpbitlyeywpas california pennsylvania	2010-12-22	0	0		#California #Pennsylvania		https://twitter.com/topix_pa/status/17630991933775872
13701872279883776	lildobe	 wow diabetes much httpwwwneimanmarcuscomstoresiteletschristmasbookfantasyjhtmlcidcbf _o 	2010-12-11	0	0				https://twitter.com/lildobe/status/13701872279883776
5788912261795840	PrincessRump	 rt dlife rt princessrump retweet u know someone affected diabetes findacure diabetesawareness stopdiabetes bretmichaels	2010-11-19	0	0	@dLife @PrincessRump @bretmichaels	#Diabetes #findacure #DiabetesAwareness #StopDiabetes		https://twitter.com/PrincessRump/status/5788912261795840
4503057744269312	15601	 knox diabetes seminar set httpbitlycsuj via httpoutsidein 	2010-11-16	0	0				https://twitter.com/15601/status/4503057744269312
27705561651	MannyMajors	 one donut away diabetes precious yes rt nathiaezybrezzy mannymajors hope u dont mean big precious	2010-10-18	0	0	@NathiaEzyBrezzy @MannyMajors	#BIG		https://twitter.com/MannyMajors/status/27705561651
26057562862	15213	 research pitt giving diabetes sufferers hope httpbitlycmyl m via httpoutsidein 	2010-10-01	0	0				https://twitter.com/15213/status/26057562862
26042293206	15219	 research pitt giving diabetes sufferers hope httpbitly c vbr via httpoutsidein 	2010-09-30	0	0				https://twitter.com/15219/status/26042293206
26015498310	Chad_calcagno	 jordantomb u get number me license plates gonna read diabetes	2010-09-30	0	0	@JordanTomb			https://twitter.com/Chad_calcagno/status/26015498310
25393160336	15301	 us limits avandia eu bans diabetes drug httpbitlybjitxq via httpoutsidein 	2010-09-24	0	0				https://twitter.com/15301/status/25393160336
23981956304	SickSynse412	 fatstrippernames diabetes	2010-09-09	0	0		#fatstrippernames		https://twitter.com/SickSynse412/status/23981956304
22730494508	PrincessRump	 rt wdd diabetes main causes death developed countries nov worlddiabetesday httpbitlyc euuq wdd	2010-09-01	0	0	@WDD	#diabetes #worlddiabetesday #wdd		https://twitter.com/PrincessRump/status/22730494508
22674993271	PrincessRump	 awesome plz rt rt amdiabetesassn closing loop developing artificial pancreas news diabetes forecast httpbitlybexuao	2010-08-31	0	0	@AmDiabetesAssn	#Diabetes		https://twitter.com/PrincessRump/status/22674993271
22631576729	PrincessRump	 rt wdd diabetes kills many people year hivaids nov worlddiabetesday httpbitlyc euuq wddseriously damnit	2010-08-31	0	0	@WDD	#diabetes #worlddiabetesday #wddSeriously		https://twitter.com/PrincessRump/status/22631576729
21550895668	15022	 las vegas girl ride miles help cure diabetes httpbitlybghbgt via httpoutsidein 	2010-08-19	0	0				https://twitter.com/15022/status/21550895668
21541007932	PrincessRump	 lets support rt wdd were together governments civil society corporations must join forces defeat diabetes nov wdd	2010-08-18	0	0	@WDD	#diabetes #wdd		https://twitter.com/PrincessRump/status/21541007932
20407890583	ImperialMaulers	 whitlockjason id rather palinism diabetes cardiovascular disease sleep apnea tubby	2010-08-05	0	0	@WhitlockJason			https://twitter.com/ImperialMaulers/status/20407890583
20015703362	erinomalley	 crissyluv diabetes walk sept pitt greensburg u want get team together me	2010-07-31	0	0	@crissyluv16			https://twitter.com/erinomalley/status/20015703362
19386343761	dascola	 bcompton cat better careful one day hes living high life next hes got diabetes feeding tube	2010-07-23	0	1	@bcompton			https://twitter.com/dascola/status/19386343761
15049544560	topix_pa	 class covers diabetes friendly cooking httpbitlyca lny avonmore pennsylvania	2010-05-30	0	0		#Avonmore #Pennsylvania		https://twitter.com/topix_pa/status/15049544560
11895879552	15063	 diabetes incident cause monongahela officers diabetes incident cause monongahela officers crash httpbitlyc gsnj via html	2010-04-09	0	0				https://twitter.com/15063/status/11895879552
11604484370	fcardoza	 spring eating healthy exercising helps lose weight lowers risk diabetes httpwwwcare comgoz 	2010-04-04	0	0				https://twitter.com/fcardoza/status/11604484370
10937138553	Luvpolitics1	 evanslynne people feed kids mcdonalds every day wonder child got diabetes andor obese	2010-03-23	0	0	@evanslynne			https://twitter.com/Luvpolitics1/status/10937138553
10308036090	blanket0fnight	 st ben well theyre super bad diabetes runs family	2010-03-11	0	0	@st00ben			https://twitter.com/blanket0fnight/status/10308036090
16224941712089088	topix_pa	 diabetes walk seeks volunteers may event httpbitlye fdd statecollege pennsylvania	2010-12-18	0	0		#StateCollege #Pennsylvania		https://twitter.com/topix_pa/status/16224941712089088
29433177898	17110	 pa health dept working reduce diabetes httpbitlyb qbpi via httpoutsidein 	2010-11-01	0	0				https://twitter.com/17110/status/29433177898
23081297823	Ian_Hodge	 kangaroos dont get diabetes find why httpbitly ubdjo	2010-09-05	0	0				https://twitter.com/Ian_Hodge/status/23081297823
22548220393	TillyIsFree	 kikibella eh its whole struggle diabetes thing hes got respect	2010-08-30	0	0	@KikiBella1014			https://twitter.com/TillyIsFree/status/22548220393
