id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
5024349643870208	sugarplummarie	 weloveunickjay nickjonas pam years diagnosed type diabetic try follow diet cant	2010-11-17	0	0	@WeloveuNickJay @NickJonas			https://twitter.com/sugarplummarie/status/5024349643870208
5023252879515648	sugarplummarie	 njdiabeticboy nickjonas hello nick pam type diabetic hard stay diet help me	2010-11-17	0	0	@NJDiabeticBoy @nickjonas			https://twitter.com/sugarplummarie/status/5023252879515648
2800981133754368	sugarplummarie	 marieosmond diabetic hard lose weight help marie	2010-11-11	0	0	@marieosmond			https://twitter.com/sugarplummarie/status/2800981133754368
23176540215	veganbotanicals	 httpveganfmbulkrestore organic yacon roots sweetness diabetic safe delicious helping belly mind	2010-09-06	0	0		#diabetic		https://twitter.com/veganbotanicals/status/23176540215
7262150993121280	andrewisliving	 gave first insulin shot diabetic cat im looking week twas mighty success	2010-11-23	0	0				https://twitter.com/andrewisliving/status/7262150993121280
26293569183	eyemurs	 today starts day getting back gluten freegout diabetic plant fish diet im way excited 	2010-10-03	0	0				https://twitter.com/eyemurs/status/26293569183
25525956516	topix_co	 supplement may lessen diabetic nephropathy httpbitlyamhb n westminster colorado	2010-09-25	0	0		#Westminster #Colorado		https://twitter.com/topix_co/status/25525956516
23194978003	wdeluca1109	 theellenshow bret michaels bomb brain bleed age diabetic wish could never work like	2010-09-06	0	0	@TheEllenShow			https://twitter.com/wdeluca1109/status/23194978003
23176540215	veganbotanicals	 httpveganfmbulkrestore organic yacon roots sweetness diabetic safe delicious helping belly mind	2010-09-06	0	0		#diabetic		https://twitter.com/veganbotanicals/status/23176540215
20721541702	mauricemines	 get diabetic foot care books attempt get purchased	2010-08-09	0	0				https://twitter.com/mauricemines/status/20721541702
