id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
151536908026118144	FlyForNoReason_	 ray allen diabetes commercial	2011-12-27	0	0				https://twitter.com/FlyForNoReason_/status/151536908026118144
147220672874160128	27893	 diabetes support group formed http bitlyskerxr via http outsidein 	2011-12-15	0	0				https://twitter.com/27893/status/147220672874160128
147220672815448064	27896	 diabetes support group formed http bitlyuciprs via http outsidein 	2011-12-15	0	0				https://twitter.com/27896/status/147220672815448064
147220669023784960	27822	 diabetes support group formed http bitlyu wuk via http outsidein 	2011-12-15	0	0				https://twitter.com/27822/status/147220669023784960
146670112424996864	emoguy75nc	 getting diabetes line wilson medical group http sqcomtgjgkf	2011-12-13	0	0	@Wilson			https://twitter.com/emoguy75nc/status/146670112424996864
146445139726966785	nkisrel	 password is diabetes tawnyelise kodakmoment the mastellar house http sqcomuxee f	2011-12-12	0	0	@tawnyelise @kodakmoment @The			https://twitter.com/nkisrel/status/146445139726966785
146273053209403392	Jgthomasjr	 drinking coffee helps fight depression diabetes fact	2011-12-12	0	0		#fact		https://twitter.com/Jgthomasjr/status/146273053209403392
146129747443847169	topix_nc	 ministers elizabeth city receive training fight diabetes http bitlytqfi elizabethcity northcarolina	2011-12-12	0	0		#ElizabethCity #NorthCarolina		https://twitter.com/topix_nc/status/146129747443847169
143433955381751808	GetTelemarkJobs	 greenville nc diabetes sa greenville nc http tinyurlcom rnn n get telemarketing jobs telemarketing jobs job getalljobs	2011-12-04	0	0		#Greenville #Telemarketing #jobs #job #GetAllJobs		https://twitter.com/GetTelemarkJobs/status/143433955381751808
134741256579465216	KamronLusk	 diabetes taking america life too	2011-11-10	0	0				https://twitter.com/KamronLusk/status/134741256579465216
130282968940949504	LuckyHeadmasta	 ive playing mcdonalds monopoly game need pieces ill probably win either obesity diabetes 	2011-10-29	0	0				https://twitter.com/LuckyHeadmasta/status/130282968940949504
130272565146042368	jfmecca	 walk cure diabetes ground squishy cold isnt bad expected http sqcomujwktv	2011-10-29	0	0				https://twitter.com/jfmecca/status/130272565146042368
