id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
231844463251714048	AlexHaughey	 enjoy diabetes fattastic day things think serving tables	2012-08-04	0	1				https://twitter.com/AlexHaughey/status/231844463251714048
218781103660609536	AlexHaughey	 americans develop diabetes lifetime	2012-06-29	0	0				https://twitter.com/AlexHaughey/status/218781103660609536
164872359403196416	AmandaCollinson	 diabetes love food pay attention this informercial fail	2012-02-01	0	0		#informercial #fail		https://twitter.com/AmandaCollinson/status/164872359403196416
285140014545903616	BaltimoreCP	 doug masiuk uses run raise awareness diabetes doug masiuk forrest gump diabetics completes a http dlvrit jmnqt	2012-12-29	0	0				https://twitter.com/BaltimoreCP/status/285140014545903616
283169136098545665	w_pat_tc	 wo a methods increasing insulin sensitivity treating diabetes a k a k http wpattcwo a 	2012-12-24	0	0		#A61K #A61K38		https://twitter.com/w_pat_tc/status/283169136098545665
281600681968807936	G_Tec9	 every weeks house starburst give diabetes defeat diabetes eating baby carrots	2012-12-19	0	0				https://twitter.com/G_Tec9/status/281600681968807936
281531093470031872	Ello_Chop	 hoodrat dude ever seen diabetes hip thing pantsdownlowswag	2012-12-19	0	0		#pantsdownlowswag		https://twitter.com/Ello_Chop/status/281531093470031872
281286329277505536	MrBodyBagSwag	 juan chocolate bars eats juan now diabetes juan diabetes 	2012-12-19	0	0				https://twitter.com/MrBodyBagSwag/status/281286329277505536
280659094665326593	thomas066	 lab tests prior regular visit joslin diabetes center baltimore washington medical center http sqcomu vsn 	2012-12-17	0	0	@Baltimore			https://twitter.com/thomas066/status/280659094665326593
280446133422141440	BigHead_Hatch	 eeeewwww liquid diabetes	2012-12-16	0	0				https://twitter.com/BigHead_Hatch/status/280446133422141440
280368183364419584	cloudyahfru	 benjaminbmia ben going cause diabetes induced coma pictures	2012-12-16	0	0	@BenjaminBMia			https://twitter.com/cloudyahfru/status/280368183364419584
278956676202250240	DropIt_Chlo	 comedyposts juan choc bars eats juan now diabetes juan diabetes honkinn_hack reminds u	2012-12-12	0	0	@ComedyPosts @Honkinn_Hack			https://twitter.com/DropIt_Chlo/status/278956676202250240
274169626307461120	BaltimoreCP	 thursday nov scott marty bass coffee withhip hop legend rev run diabetes educator http dlvrit yys z	2012-11-29	0	0				https://twitter.com/BaltimoreCP/status/274169626307461120
273646485088911360	KaylaProblemz	 smores flavored milk best like probably going give diabetes thats invented insulin	2012-11-27	0	2				https://twitter.com/KaylaProblemz/status/273646485088911360
273588648014909440	_GrapeJelly	 toasty tryna get me got diabetes die soon	2012-11-27	0	0				https://twitter.com/_GrapeJelly/status/273588648014909440
