id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
284771975073767424	iBe_AyooTy	 say blacker berry sweeter juice aha yu damnn right fxcking gone get yu diabetes 	2012-12-28	0	0				https://twitter.com/iBe_AyooTy/status/284771975073767424
275998413911379968	662RBJ	 chrissbell grandmothers christmas candy homemade leading cause diabetes 	2012-12-04	0	0	@ChrisSBell7			https://twitter.com/662RBJ/status/275998413911379968
271272605061873664	BeYOUtfullyMade	 diabetes name know name names jesus	2012-11-21	0	0		#Jesus		https://twitter.com/BeYOUtfullyMade/status/271272605061873664
247462839604891648	ConnorHennes	 charles barkley losing weight trying raise awareness diabetes hypertension got lot fat people here haha	2012-09-16	0	1				https://twitter.com/ConnorHennes/status/247462839604891648
234334408512004096	BMore_XCII	 ya sweet me diabetes	2012-08-11	0	0		#SWEET		https://twitter.com/BMore_XCII/status/234334408512004096
218085334913785857	laurasheffield5	 almost died band campblood sugar im feeling better mite diabetes 	2012-06-27	0	0				https://twitter.com/laurasheffield5/status/218085334913785857
198925479959470080	wlkn_by_faith	 cancer _ cancers huge sweet tooth makes susceptible weight gain diabetes blessed_one 	2012-05-05	0	0	@Cancer69_ @Blessed_One	#Cancers		https://twitter.com/wlkn_by_faith/status/198925479959470080
195340814421999616	kingdjd12369	 think got diabetes	2012-04-25	0	0				https://twitter.com/kingdjd12369/status/195340814421999616
188070821699403776	Millz_The_Great	 unspokentruth millz_the_great sooou syrup chugg nahhh ian trynna get diabetes	2012-04-05	0	0	@UnspokenTruth93 @Millz_The_Great			https://twitter.com/Millz_The_Great/status/188070821699403776
178529821440217089	jessiecarterr	 zach_riot consuming diabetes tube pictwittercomujtk n k	2012-03-10	0	0	@zach_riot			https://twitter.com/jessiecarterr/status/178529821440217089
174580802506600448	CieraOuellette	 paula_deen endorsing diabetes medication like chris brown endorsing bag frozen peas	2012-02-28	1	0	@Paula_Deen			https://twitter.com/CieraOuellette/status/174580802506600448
167303029073264640	SNEWTON777	 according cdc diabetes th leading cause death us solution today pm cst pin 	2012-02-08	0	0	@12 @218			https://twitter.com/SNEWTON777/status/167303029073264640
157516107597623298	deesterdexter	 im bout start using coach miller excuse grandma ask something diabetes acting lol	2012-01-12	1	0				https://twitter.com/deesterdexter/status/157516107597623298
282607361804337152	RUDEBOI_85	 pray never get diabetes dad goes thru dialysis times week	2012-12-22	0	0				https://twitter.com/RUDEBOI_85/status/282607361804337152
275400699544756224	nugslilsis	 davita diabetes wears kidneys blood needs good rich fat free oxygenated sweet	2012-12-02	0	0	@DaVita			https://twitter.com/nugslilsis/status/275400699544756224
