id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
283062141383237632	t_fischey5	 juan chocolate bars eats juan now diabetes juan diabetes 	2012-12-23	0	0				https://twitter.com/t_fischey5/status/283062141383237632
282871495770914816	shreagan	 amazingphil diabetes 	2012-12-23	0	0	@AmazingPhil			https://twitter.com/shreagan/status/282871495770914816
282363718665375744	Jenniferruiz32	 kristinamariee makes sense mom diabetes 	2012-12-22	0	0	@KristinaMariee3			https://twitter.com/Jenniferruiz32/status/282363718665375744
282113599550402560	Striplin20	 watched grandma administer diabetes shot asked dont see that said i wanna live ilovemygrandma	2012-12-21	0	1		#ILoveMyGrandma		https://twitter.com/Striplin20/status/282113599550402560
280839025475059712	WilsonJorden	 talking moms diabetes suffering health im glad shes heaven years miss everday flyhigh 	2012-12-17	0	0		#FlyHigh		https://twitter.com/WilsonJorden/status/280839025475059712
280518699042086912	seannothstine15	 t diabetesprobs diabetes big problem	2012-12-16	0	0	@T1diabetesprobs			https://twitter.com/seannothstine15/status/280518699042086912
279344158823550977	clairebelle13	 ok slept not long whats wrong me decided banana pancakes is obesity side diabetes nursingdiagnosis	2012-12-13	0	0		#nursingdiagnosis		https://twitter.com/clairebelle13/status/279344158823550977
279312621885329409	AndrewJDriver93	 candy store diabetes sarcasm	2012-12-13	0	0		#sarcasm		https://twitter.com/AndrewJDriver93/status/279312621885329409
278773415844904960	LiveFastDYEHard	 think ive enough sugar tonight induce diabetes plus side maybe get econ final desperatetimes	2012-12-12	0	1		#desperatetimes		https://twitter.com/LiveFastDYEHard/status/278773415844904960
276749663678394369	seannothstine15	 doctors think diabetes 	2012-12-06	0	2				https://twitter.com/seannothstine15/status/276749663678394369
275740095905136640	FredElmer_	 commercial giving diabetes	2012-12-03	0	1				https://twitter.com/FredElmer_/status/275740095905136640
274031887939428353	GavinBaker81	 wowfactsoflife lack sleep increases risk heart disease diabetes obesity teamnosleep	2012-11-29	1	0	@WOWFactsOfLife	#teamnosleep		https://twitter.com/GavinBaker81/status/274031887939428353
273654072618401793	CurlyC513	 thingsifindattractive high blood pressure diabetes clogged arteries mcdonalds coupons fat chicks	2012-11-28	0	0		#5thingsifindattractive		https://twitter.com/CurlyC513/status/273654072618401793
273210129330077697	jxsonkills	 aka diabetes mouthful the cup http instagrampsgvcfbiob 	2012-11-26	0	0	@The			https://twitter.com/jxsonkills/status/273210129330077697
271321587314204672	shawnfausett	 wish assignments like this diabetes walk nutrition home sweet home http instagrampstuc mkb k	2012-11-21	0	0	@home	#nutrition		https://twitter.com/shawnfausett/status/271321587314204672
269458285948698624	JeffBajayo	 heycheri totally gonna go stock diabetes sticks hah	2012-11-16	0	0	@heycheri			https://twitter.com/JeffBajayo/status/269458285948698624
266291311190110209	chelsea7866	 john cookies eats them john have diabetes john diabetes _annemarie	2012-11-07	0	1	@17_annemarie			https://twitter.com/chelsea7866/status/266291311190110209
263839644007948289	FredElmer_	 rude_guys ted chocolate bars eats have diabetes ted diabetes diabetisboom	2012-10-31	1	0	@Rude_Guys @diabetisboom			https://twitter.com/FredElmer_/status/263839644007948289
