id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
264392142145855488	BlitzFit	 embrace technology dont lose social capital blitz fit quote fitness chiropractic diabetes family rugby	2012-11-02	0	0		#quote #fitness #chiropractic #diabetes #family #rugby		https://twitter.com/BlitzFit/status/264392142145855488
257643546918662144	h0lbein	 almost taste diabetes 	2012-10-14	1	1				https://twitter.com/h0lbein/status/257643546918662144
232320462217170944	Darspendars	 im sneezing dusty bunnies diabetes 	2012-08-05	1	1				https://twitter.com/Darspendars/status/232320462217170944
199587864823083008	caioconze	 beiieveitornot autism common childhood cancer diabetes aids combined arinenge	2012-05-07	0	0	@BeIieveItOrNot @ArinEnge			https://twitter.com/caioconze/status/199587864823083008
285132364118634496	IsherSweet	 willeelage still diabetes 	2012-12-29	1	6	@WilLeeLage			https://twitter.com/IsherSweet/status/285132364118634496
279682558130790401	Steel_Kitten	 sammi_samz ha dont need another glucose test month cat diabetes 	2012-12-14	0	0	@Sammi_samz			https://twitter.com/Steel_Kitten/status/279682558130790401
264118571527962624	KaitlinErtl	 skinny girls think ugly fat become obese diabetes 	2012-11-01	0	0				https://twitter.com/KaitlinErtl/status/264118571527962624
241787206988099584	OverBeinSober	 dont diabetes keep weed ethanpetrill	2012-09-01	0	0	@ethanpetrill			https://twitter.com/OverBeinSober/status/241787206988099584
240563776506691584	TeddyWettlaufer	 awats diabetes riddled liver spotted blue haired dialated pupil lookin old stinkin check lottery ticket twice askin retards	2012-08-28	0	0	@awats16			https://twitter.com/TeddyWettlaufer/status/240563776506691584
240199663632932864	topix_ne	 big grape puts squeeze diabetes fairgrounds http bitlytkmdo grandisland nebraska	2012-08-27	0	0		#GrandIsland #Nebraska		https://twitter.com/topix_ne/status/240199663632932864
237989409490882560	duttysamg	 jacksonjaxoff fuck yeah man fucking fuck yeah fuck diabetes 	2012-08-21	0	0	@JACKSonJAXoff			https://twitter.com/duttysamg/status/237989409490882560
230957381251633152	GetHeaEducaJobs	 rn diabetes educator neb lincoln ne http tinyurlcom bbyklq get health educator jobs healtheducator jobs job getalljobs	2012-08-02	0	0		#Lincoln #HealthEducator #jobs #job #GetAllJobs		https://twitter.com/GetHeaEducaJobs/status/230957381251633152
229399977045155841	AnneDashMarie3	 whenevr donate money fundraiser helpin w diabetes cancer life im like fuck yeah helped save lives bitches	2012-07-28	0	0				https://twitter.com/AnneDashMarie3/status/229399977045155841
228756892430770176	jonjakobjingle	 youre working something thing youre working us diabetes fat fuck projectx	2012-07-27	1	2		#projectX		https://twitter.com/jonjakobjingle/status/228756892430770176
209297884762476546	SINCERELYSAID7	 unclerush along cancer cost priced cost heart disease mental illness stroke diabetes 	2012-06-03	0	0	@UncleRUSH			https://twitter.com/SINCERELYSAID7/status/209297884762476546
208413661516144642	stephaniehxc	 geekygamerchick decided wasnt going drink anymore way brett could drink id drive plus w diabetes good 	2012-06-01	0	0	@GeekyGamerChick			https://twitter.com/stephaniehxc/status/208413661516144642
196028950898688000	stephaniehxc	 jake_genocide wht skin ulcers shin spots ever go away diabetes gets control dr ever gives straight answer	2012-04-27	0	0	@Jake_Genocide			https://twitter.com/stephaniehxc/status/196028950898688000
189768308898275329	HannieNebraskey	 justinfox diabetes 	2012-04-10	0	0	@justinfox88			https://twitter.com/HannieNebraskey/status/189768308898275329
181039409402089472	ApesOfIron	 ive raise funds dollars so ive got long way go need raise help fight cure diabetes	2012-03-17	0	0				https://twitter.com/ApesOfIron/status/181039409402089472
177079029717942272	kelseyanzai	 fun dips good idea actually ate sugarout bags stickalso made sugar diabetes	2012-03-06	0	0		#diabetes		https://twitter.com/kelseyanzai/status/177079029717942272
160953024288784385	stephaniehxc	 watching true life diabetes tears know exactly kids going wanna friendsss	2012-01-22	0	0				https://twitter.com/stephaniehxc/status/160953024288784385
283340990297800704	em_henn	 its christmas body reaches brink alcoholism diabetes 	2012-12-24	2	2				https://twitter.com/em_henn/status/283340990297800704
275035364715012097	Da_NeJa	 black people make koolaid really makin liquid diabetes 	2012-12-01	0	2				https://twitter.com/Da_NeJa/status/275035364715012097
258012785684918272	BrooklynAshlee	 therealfatgirl cant taste diabetes aint doin right aint neva lie	2012-10-15	0	0	@TheRealFatGirl			https://twitter.com/BrooklynAshlee/status/258012785684918272
252154147305054209	Bridgeeehenn	 rtdrinking coffee reduces chance getting heart disease diabetes type alzheimers disease parkinsons disease katlynnelson	2012-09-29	0	1	@katlynnelson			https://twitter.com/Bridgeeehenn/status/252154147305054209
250306665050677251	em_henn	 cat also diabetes hit car beforeso hes trooper	2012-09-24	0	0				https://twitter.com/em_henn/status/250306665050677251
250263654614835201	Cody_Cassidy	 weirdfactsfun people eat sweets sweeter fuck diabetes eat sweets	2012-09-24	0	0				https://twitter.com/Cody_Cassidy/status/250263654614835201
216392987893186560	shleyburger	 scientists say every hours spend watching tv give person greater chance getting diabetes good thing tweet	2012-06-23	0	0				https://twitter.com/shleyburger/status/216392987893186560
179218965833334786	careyk8	 found part teamnosleep puts risk developing type diabetes thanks northeast	2012-03-12	0	0		#teamnosleep		https://twitter.com/careyk8/status/179218965833334786
270550801183830016	rocktmagazine	 wrap holiday shopping help stop diabetes http wpmep t u d	2012-11-19	0	0				https://twitter.com/rocktmagazine/status/270550801183830016
227259492017004544	Jharlan24	 thing working diabetes u fat fuck projectx	2012-07-23	0	2		#projectx		https://twitter.com/Jharlan24/status/227259492017004544
282506267212271616	IMJersey3	 _tharealjwill diabetes killin huh	2012-12-22	0	0	@_ThaRealJWill			https://twitter.com/IMJersey3/status/282506267212271616
281515710595887105	icecreamandjake	 stupid diabetes h u	2012-12-19	0	1				https://twitter.com/icecreamandjake/status/281515710595887105
268557919220543488	QW3Z	 chizniznuck ive peed three times minutes diabetes	2012-11-13	1	0	@chizniznuck			https://twitter.com/QW3Z/status/268557919220543488
268038597020643329	kcutie24	 diabetes nothing play	2012-11-12	0	0				https://twitter.com/kcutie24/status/268038597020643329
265868657329053698	Big__Papa_	 pass eating diabetes true friend comes plops you sweeetcaroline_	2012-11-06	1	0	@SweeetCaroline_			https://twitter.com/Big__Papa_/status/265868657329053698
263702500367036416	BrainofBri	 genehogan houseofjules kid looks bag leaving paulas houseare diabetes testing strips	2012-10-31	0	1	@genehogan @houseofjules			https://twitter.com/BrainofBri/status/263702500367036416
262052676903264256	ShoodyBooty	 jswaagy gave aids clamidia gohnerria syphillis cancer blue balls type diabetes	2012-10-27	0	0	@JSwaagy			https://twitter.com/ShoodyBooty/status/262052676903264256
261314460399050753	devin8087	 probably studying test instead giving diabetes pictwittercompnxjo ri	2012-10-24	1	0				https://twitter.com/devin8087/status/261314460399050753
258937690236518400	HarleenQ89	 im weeks pregnant today gestational diabetes test today _ wish luck pictwittercomsfptmcgi	2012-10-18	0	0				https://twitter.com/HarleenQ89/status/258937690236518400
255838069436067842	A_Tuttle42	 mr moore diabetes nojoke	2012-10-09	0	0		#nojoke		https://twitter.com/A_Tuttle42/status/255838069436067842
251074330149154817	Bueller_Ferriss	 perfectly fine diabetes free	2012-09-26	0	0				https://twitter.com/Bueller_Ferriss/status/251074330149154817
247693590019592192	AskNurseCourt	 teenagers prediabetic compared teens diabetes high blood pressure	2012-09-17	0	0				https://twitter.com/AskNurseCourt/status/247693590019592192
246709367808872449	DoseOfTibbs	 remember told doctor lied told got diabetes cause dont soshesays	2012-09-14	0	0		#SoSheSays		https://twitter.com/DoseOfTibbs/status/246709367808872449
246364111993188353	jkirksey28	 sarcasticsmiiey yo mommas fat theres strong chance developing type diabetes 	2012-09-13	0	0	@SarcasticSmiIey			https://twitter.com/jkirksey28/status/246364111993188353
244860852782645248	topix_ne	 man nabbed buying stolen diabetes strips http bitlyu ky l omaha nebraska	2012-09-09	0	0		#Omaha #Nebraska		https://twitter.com/topix_ne/status/244860852782645248
242769428436115456	duke_raoul_13	 jonesbroscc cake delicious tastes like diabetes 	2012-09-03	0	0	@JonesBrosCc			https://twitter.com/duke_raoul_13/status/242769428436115456
241789652657377281	topix_ne	 around about walking raises funds fight type diabetes http bitlypycyd omaha nebraska	2012-09-01	0	0		#Omaha #Nebraska		https://twitter.com/topix_ne/status/241789652657377281
234274694168211456	aciurej	 jdrf walk diabetes lewis clark landing w others pic http sqcomoawmz 	2012-08-11	0	0	@Lewis			https://twitter.com/aciurej/status/234274694168211456
222331022480642049	yatown_news	 miller family holds event fight diabetes sw iowa news http yatowncomnewscapehart bellevuenemillerfamilyholdseventtofightdiabetespbswiowanewslocapehart cbellevue cnesnjimnelsonofcouncilbluffs cleft candrichmillermillerstartedthemillermemorialgolftournamentwithhisbrotherseanin nelson bswife cjoy cisthesisterofrichviytimillerfamilyholdseventtofightdiabetesxuhttp a f fwwwsouthwestiowanewscom fcouncil_bluffs fnews fmillerfamilyholdseventtofightdiabetes farticle_e a b c d e e a bcf ahtmlsrctw capehart bellevue ne	2012-07-09	0	0		#Capehart #Bellevue #NE		https://twitter.com/yatown_news/status/222331022480642049
197649743898353664	xEmarosa	 diabetes makes piss every minutes 	2012-05-02	0	0				https://twitter.com/xEmarosa/status/197649743898353664
195910637136781313	Mitche11pau1	 funnyevil john candy bars eats many have diabetes john diabetes 	2012-04-27	0	0	@FunnyEvil			https://twitter.com/Mitche11pau1/status/195910637136781313
192812392680402944	WaImartBrony	 mcdonalds gave diabetes fat	2012-04-18	1	2		#fat		https://twitter.com/WaImartBrony/status/192812392680402944
183974477519011842	kungfusam007	 poor dog clyde diagnosed diabetes ago lost like lbs hes going blind pictwittercomnr nw fo	2012-03-25	0	0				https://twitter.com/kungfusam007/status/183974477519011842
