id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
415929491379474432	MaseniorScience	 neanderthals latinos diabetes httpwww nprorgblogshealth diabetesgenecommoninlatinoshasancientrootsft f utm_contentsocialflowutm_campaignnprnewsutm_sourcenprutm_mediumtwitter 	2013-12-25	0	0				https://twitter.com/MaseniorScience/status/415929491379474432
415464895480864768	Tommygunn1544	 scotturi latinlover_ dballz diabetes isnt bad usually gives put syphilis	2013-12-24	0	0	@ScottUri99 @latinlover_42 @dballz4			https://twitter.com/Tommygunn1544/status/415464895480864768
409095820810915840	wildpartridge	 madibaby diabetes	2013-12-06	0	0	@Madibaby714			https://twitter.com/wildpartridge/status/409095820810915840
407724085691817984	FairLadyZ413	 hot chocolate gonna give diabetes	2013-12-02	0	0				https://twitter.com/FairLadyZ413/status/407724085691817984
400308063405899776	msalvarez_	 bestdiabeticna problems yes diabetes one love you lmao	2013-11-12	0	0	@BestDiabeticNA			https://twitter.com/msalvarez_/status/400308063405899776
400131718985695232	Rodriguez_729	 food processing produce glycation end products oxidised ascorbic acid lipoic acid may cause diabetes 	2013-11-12	0	0				https://twitter.com/Rodriguez_729/status/400131718985695232
400050803484164096	dugan_downs	 im ridin around im gettin diabetes 	2013-11-11	0	0				https://twitter.com/dugan_downs/status/400050803484164096
399756762452340736	Ortorovao	 great time w friends back day bud rough times diabetes fighter pictwittercomy hj h he	2013-11-10	0	0		#friends #diabetes #fighter		https://twitter.com/Ortorovao/status/399756762452340736
391255042181042176	whatsarowan	 fried green tea ice cream im going get diabetes regret nothing food dessert pictwittercommcsqpvmerk	2013-10-18	1	0		#food #dessert		https://twitter.com/whatsarowan/status/391255042181042176
390199346488442880	laurynbug	 somebody please find smart endocrinologist near ma diabetes pregnant see abbybayer sixuntilme im desperate	2013-10-15	0	0	@AbbyBayer @sixuntilme	#diabetes #pregnant		https://twitter.com/laurynbug/status/390199346488442880
385297586024087552	ElizMarie94	 cake amtryna get diabetes	2013-10-02	0	0				https://twitter.com/ElizMarie94/status/385297586024087552
383326627377463296	FairLadyZ413	 beasting airheads diabetes yolo	2013-09-26	1	1		#diabetes #yolo		https://twitter.com/FairLadyZ413/status/383326627377463296
380158031520346112	Chelseaperryy	 amount fired food consumed little amount time im surprised dont diabetes aintnobodygottimeforthat	2013-09-17	0	0		#aintnobodygottimeforthat		https://twitter.com/Chelseaperryy/status/380158031520346112
376859845116588032	TheTrueMikeP	 thing youre working diabetes fat fuck	2013-09-08	0	0				https://twitter.com/TheTrueMikeP/status/376859845116588032
