id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
416622087441117184	GrantO2007	 uberfacts one alcoholic drink day reduce risk type diabetes percent means melarnold 	2013-12-27	0	0	@UberFacts @MelArnold2010			https://twitter.com/GrantO2007/status/416622087441117184
415502404604276737	MissShaniaJean	 isnt christmas dont push body brink alcoholism diabetes 	2013-12-24	1	3				https://twitter.com/MissShaniaJean/status/415502404604276737
414114307744346112	C_ROD_DIZZLE	 dont see picture say diabetes its maw fwakin diatbeatus pictwittercomkavgpwh zf	2013-12-20	0	0				https://twitter.com/C_ROD_DIZZLE/status/414114307744346112
410856230316679168	ClarkJarstfer	 sour patch kids direct cause type two diabetes	2013-12-11	0	1				https://twitter.com/ClarkJarstfer/status/410856230316679168
406803093586587648	FukkWittMeee	 allycat brother might go daylight clean it thats bad diabetes 	2013-11-30	0	0	@allycat0			https://twitter.com/FukkWittMeee/status/406803093586587648
406151940750315520	AlyssaLomber	 its family gathering without discussing diabetes diuhbeetus	2013-11-28	0	0		#diuhbeetus		https://twitter.com/AlyssaLomber/status/406151940750315520
405692241660092416	Busybetic	 pump doesnt remind its actually empty going last drop today diabetes pictwittercomo xicb gpy	2013-11-27	0	1		#diabetes		https://twitter.com/Busybetic/status/405692241660092416
401144134972342273	Busybetic	 q challenging place ive brought diabetes bedroom wddchat 	2013-11-14	0	1		#wddchat13		https://twitter.com/Busybetic/status/401144134972342273
400038214930423808	dankmemekween	 think contracted diabetes	2013-11-11	0	0				https://twitter.com/dankmemekween/status/400038214930423808
395360323646926848	TangheJeremiah	 name jeremiah almost diabetes age fuckwithme	2013-10-29	0	0		#FuckWithMe		https://twitter.com/TangheJeremiah/status/395360323646926848
390882874096107520	SidneyWerner	 kyle going type diabetes	2013-10-17	1	1				https://twitter.com/SidneyWerner/status/390882874096107520
390309190201511936	lovesarahh93	 hes crying dad diagnosed diabetes recently im like lol half family theyre fine	2013-10-15	0	2				https://twitter.com/lovesarahh93/status/390309190201511936
385651813858304000	Parkour_passion	 jay_quimby two words diabetes central	2013-10-03	0	0	@Jay_Quimby			https://twitter.com/Parkour_passion/status/385651813858304000
383614864486187008	gigglefart	 im diagnosed diabetes within next three yearsthat would surprising	2013-09-27	0	1				https://twitter.com/gigglefart/status/383614864486187008
381651606552322049	lovesarahh93	 im kinda genetically fucked bad eyesight diabetes cancer asthma like damn end family shit	2013-09-22	0	0				https://twitter.com/lovesarahh93/status/381651606552322049
375358246166339585	JHipp123	 k_huufff themindblowing itstoreey youll diabetes heart attack instead	2013-09-04	0	0	@k_huufff13 @TheMindBlowing @ItsToreey			https://twitter.com/JHipp123/status/375358246166339585
371639419863695361	E_Shuster	 zac wasnt complete bag me id tell found diabetes but eh oh well	2013-08-25	0	0				https://twitter.com/E_Shuster/status/371639419863695361
369242673896378369	Tabithajaja	 callanlalala diabetes 	2013-08-18	0	1	@callanlalala			https://twitter.com/Tabithajaja/status/369242673896378369
366404067011985409	C_Moss22	 girl becomes single its like event everyone needs part one wants part of like k diabetes 	2013-08-10	1	2				https://twitter.com/C_Moss22/status/366404067011985409
366319461147480064	elenaaabeee	 kylie_leblanc diabetes 	2013-08-10	0	0	@kylie_leblanc14			https://twitter.com/elenaaabeee/status/366319461147480064
366051097783177217	RNGImpala	 im gonna diabetes mcdonalds good convenient cheap time	2013-08-10	0	1				https://twitter.com/RNGImpala/status/366051097783177217
