id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
413911858597208064	MelvinHale1	 fact urine patients diabetes tastes sweet collins_rsun suck	2013-12-20	0	0	@Fact @collins_rsun			https://twitter.com/MelvinHale1/status/413911858597208064
411656619282288641	_WilliamSBII	 pretty terios gonna diabetes sometime hes older	2013-12-13	0	0				https://twitter.com/_WilliamSBII/status/411656619282288641
410657969408188416	trmajo01	 get way emotional thinking cure type diabetes im thinking it hopefullyoneday	2013-12-11	2	0		#HopefullyOneDay		https://twitter.com/trmajo01/status/410657969408188416
410648897065742336	trmajo01	 could get trained diabetes watch dog boom	2013-12-11	0	0		#BOOM		https://twitter.com/trmajo01/status/410648897065742336
410646452356931584	trmajo01	 hahaha dying literally matthuss life every day diabetes camp alwaysaskinmethecarbcounts pictwittercomqrsnaff sh	2013-12-11	0	1	@matthuss1	#AlwaysAskinMeTheCarbCounts		https://twitter.com/trmajo01/status/410646452356931584
409223506740518912	trmajo01	 trishatwite laughed good minutes phone diabetes straight laughing	2013-12-07	1	1	@TrishaTwite			https://twitter.com/trmajo01/status/409223506740518912
403034369972924416	trmajo01	 reading cheap diabetes new zealand figured life taking me diabetesprobs	2013-11-20	0	1		#DiabetesProbs		https://twitter.com/trmajo01/status/403034369972924416
402982807837765632	DivitusSodakmak	 djgenki types diabetes rd wilford brimlies	2013-11-19	0	0	@DjGenki			https://twitter.com/DivitusSodakmak/status/402982807837765632
402840659012231168	Wolfystyle23	 bestprofitness drinking one oz soda day increase risk type diabetes percent im clear drink 	2013-11-19	1	1	@BestProFitness			https://twitter.com/Wolfystyle23/status/402840659012231168
341404341267218432	GetHeaEducaJobs	 rn diabetes educator bismarck nd http tinyurlcomkpu w a get health educator jobs healtheducator jobs job getalljobs	2013-06-03	0	0		#Bismarck #HealthEducator #jobs #job #GetAllJobs		https://twitter.com/GetHeaEducaJobs/status/341404341267218432
341321246736277504	GetHeaEducaJobs	 rn diabetes educator minot nd http tinyurlcomk v q x get health educator jobs healtheducator jobs job getalljobs	2013-06-02	0	0		#Minot #HealthEducator #jobs #job #GetAllJobs		https://twitter.com/GetHeaEducaJobs/status/341321246736277504
336561212752011264	bigk73	 full day diabetes n bismarknd st alexius tech ed ctrbismark high st alexius hspt ramkota con ctr pictwittercompaxfqg s c	2013-05-20	0	2	@St			https://twitter.com/bigk73/status/336561212752011264
335103513635991553	KimberlinAzure	 kristi diabetes its weird lol	2013-05-16	0	1				https://twitter.com/KimberlinAzure/status/335103513635991553
333990793566093313	trmajo01	 got new doctor diabetes love yay feelinggood	2013-05-13	0	4		#yay #feelinggood		https://twitter.com/trmajo01/status/333990793566093313
329092906038206464	trmajo01	 love love love talking best friend type diabetes dont betes though tealeforeal misshersomuch	2013-04-30	1	1	@tealeforeal	# #misshersomuch		https://twitter.com/trmajo01/status/329092906038206464
318982744401129472	LegiScanND	 complete act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-04-02	0	0				https://twitter.com/LegiScanND/status/318982744401129472
314286772240658434	LegiScanND	 update act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-03-20	0	0				https://twitter.com/LegiScanND/status/314286772240658434
313919391668518912	LegiScanND	 update act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-03-19	0	0				https://twitter.com/LegiScanND/status/313919391668518912
312693740999421952	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-03-15	0	0				https://twitter.com/LegiScanND/status/312693740999421952
312328933087514624	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-03-14	0	0				https://twitter.com/LegiScanND/status/312328933087514624
310464117200793600	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-03-09	0	0				https://twitter.com/LegiScanND/status/310464117200793600
309165621071982592	Sattlerjm	 diabetes done emotionallydrained wantmylifeback	2013-03-05	0	0		#done #emotionallydrained #wantmylifeback		https://twitter.com/Sattlerjm/status/309165621071982592
306432568113369088	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-02-26	0	0				https://twitter.com/LegiScanND/status/306432568113369088
303870674454343680	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-02-19	0	0				https://twitter.com/LegiScanND/status/303870674454343680
302041186238078977	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-02-14	0	0				https://twitter.com/LegiScanND/status/302041186238078977
297644787337678848	LegiScanND	 update bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-02-02	0	0				https://twitter.com/LegiScanND/status/297644787337678848
293889986367979520	LegiScanND	 new bill act provide collaboration developing diabetes goals plans http bitlycomxvwphp	2013-01-22	0	0				https://twitter.com/LegiScanND/status/293889986367979520
406156131497558017	maralamotte	 christ alans eating hour diabetes	2013-11-28	0	1		#diabetes		https://twitter.com/maralamotte/status/406156131497558017
340188467478798336	GetHeaEducaJobs	 rn diabetes educator devilslake nd http tinyurlcomlof odq get health educator jobs healtheducator jobs job getalljobs	2013-05-30	0	0		#DevilsLake #HealthEducator #jobs #job #GetAllJobs		https://twitter.com/GetHeaEducaJobs/status/340188467478798336
410853209687588864	hrodlopez92	 cant taste diabetes aint right	2013-12-11	1	0				https://twitter.com/hrodlopez92/status/410853209687588864
370605872117850112	ryanliverson	 bubblebuttjill i got diabetes needlessavelives	2013-08-22	0	1	@BubbleButtJill	#NeedlesSaveLives		https://twitter.com/ryanliverson/status/370605872117850112
295420990140342273	tealeforeal	 imsosickof diabetes 	2013-01-27	2	4		#ImSoSickOf		https://twitter.com/tealeforeal/status/295420990140342273
293829276040572929	tealeforeal	 howimetmybestfriend diabetes camp trmajo 	2013-01-22	0	1	@trmajo01	#HowIMetMyBestfriend		https://twitter.com/tealeforeal/status/293829276040572929
293604615621066753	tealeforeal	 reals cannot figure anyone would try hide diabetes accomplishing diabeticpride	2013-01-22	1	3		#diabeticPRIDE		https://twitter.com/tealeforeal/status/293604615621066753
293017621681545216	tealeforeal	 its gonna strange go diabetes camp year guess everyones gotta grow sometime	2013-01-20	0	0				https://twitter.com/tealeforeal/status/293017621681545216
363056795327004675	jironshield	 hawkeyes llysajane diabetes center	2013-08-01	0	0	@4Hawkeyes4 @llysaJane			https://twitter.com/jironshield/status/363056795327004675
345429009632481280	m_harrisonn	 thing youre working diabetes fat fk costas blunt af	2013-06-14	0	0				https://twitter.com/m_harrisonn/status/345429009632481280
314117877651353600	jironshield	 lecks spbailey_ gym lol go diabetes center	2013-03-19	0	0	@Lecks95 @spbailey_			https://twitter.com/jironshield/status/314117877651353600
290281823462899714	SeanNicholasJay	 diabetes	2013-01-12	1	0				https://twitter.com/SeanNicholasJay/status/290281823462899714
377635529128701952	MattWJohnson	 diabetes done right okay its probably little insensitive eat one youll understand pictwittercomo gddfjbfn	2013-09-10	0	1				https://twitter.com/MattWJohnson/status/377635529128701952
351886800706473986	JSweatervest	 a_stevenson across street subway someone diabetes	2013-07-01	0	0	@A_Stevenson14			https://twitter.com/JSweatervest/status/351886800706473986
325268645062258689	jenjenjorgensen	 source future diabetes directly branch love peanut butter nutella sandwiches	2013-04-19	0	1				https://twitter.com/jenjenjorgensen/status/325268645062258689
309078211575300097	SackieSwang	 done like fat kid food found diabetes danielled _ like would stop anyone	2013-03-05	0	1	@DanielleD24_			https://twitter.com/SackieSwang/status/309078211575300097
291432470010818560	GetDieticiaJobs	 clinical dietitian diabetes center grandforks nd http tinyurlcomath get dietician jobs dietician jobs job getalljobs	2013-01-16	0	0		#GrandForks #Dietician #jobs #job #GetAllJobs		https://twitter.com/GetDieticiaJobs/status/291432470010818560
290783180888350722	GetDieticiaJobs	 clinical dietitian diabetes center grandforks nd http tinyurlcombgsepg get dietician jobs dietician jobs job getalljobs	2013-01-14	0	0		#GrandForks #Dietician #jobs #job #GetAllJobs		https://twitter.com/GetDieticiaJobs/status/290783180888350722
