id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417509925644816384	AM00O	 hans brought home parents tonight lol dont diabetes now eat this haha pictwittercomhlgyeavkju	2013-12-29	0	0				https://twitter.com/AM00O/status/417509925644816384
416834038179975168	_DrewUlmer	 uberfacts one alcoholic drink day reduce risk type diabetes 	2013-12-28	0	0	@UberFacts			https://twitter.com/_DrewUlmer/status/416834038179975168
416469916556877824	mexicansmoothie	 much sugar like getn high lol _ diabetes	2013-12-27	0	0		#diabetes		https://twitter.com/mexicansmoothie/status/416469916556877824
416126047571021824	mallorymoon2	 went today new rule needs instated every time im hungry hit new bff aka treadmill diabetes	2013-12-26	0	1		#diabetes		https://twitter.com/mallorymoon2/status/416126047571021824
415923520565022721	loganmscott	 whiphi feline friend mexicat rt nprnews diabetes gene common latinos ancient roots http nprk smmu 	2013-12-25	0	0	@whiphi @nprnews			https://twitter.com/loganmscott/status/415923520565022721
414916096886444032	ChoneyGracie	 little sis almost started crying said going diabetes like me lolol fml	2013-12-22	0	1				https://twitter.com/ChoneyGracie/status/414916096886444032
414236451170037760	BritErin	 sincerely_m makes little betteri hope everyone comes gets shake gets diabetes frost bite	2013-12-20	0	0	@Sincerely_m16			https://twitter.com/BritErin/status/414236451170037760
413532168267108352	chevinnoone	 mattc_ bro im saying dont want boy getting diabetes age lookingoutforhim	2013-12-18	1	1	@MattC_10	#lookingoutforhim		https://twitter.com/chevinnoone/status/413532168267108352
413472113886912512	LaceyJoWilliams	 grannys scaring me telling diabetes symptoms scaredshitless	2013-12-18	0	0		#ScaredShitless		https://twitter.com/LaceyJoWilliams/status/413472113886912512
413153239127691264	shamilton_23	 people making jokes cant eat due diabetes kinda rude didnt get eating many cookies thank though	2013-12-17	0	0				https://twitter.com/shamilton_23/status/413153239127691264
413133668727549952	lordpuentes87	 ima die diabetes sweets give us here	2013-12-17	0	1				https://twitter.com/lordpuentes87/status/413133668727549952
413122125898072064	Isaac_Austin_	 better anything cake cause diabetes 	2013-12-17	0	0				https://twitter.com/Isaac_Austin_/status/413122125898072064
413086426570711040	tcnorwood	 good ol fashioned tuesday band practice roscoestafari diabetes _boy first united http instagramcompicnpaelywh	2013-12-17	0	0	@roscoestafari @First			https://twitter.com/tcnorwood/status/413086426570711040
412690105321525248	TheMon77ster	 imma assume thick blood code diabetes 	2013-12-16	0	0				https://twitter.com/TheMon77ster/status/412690105321525248
410851693325058048	GRANNY_PHRESH	 hes highway diabetes	2013-12-11	0	0				https://twitter.com/GRANNY_PHRESH/status/410851693325058048
410211883270950912	AubreyWelker421	 mom said shes gonna take doctor tomorrow check diabetes want sweets time	2013-12-09	1	1				https://twitter.com/AubreyWelker421/status/410211883270950912
410181143086915584	shae_lyne	 its sweeter ima eat till get sugar diabetes im blood anemic perfect b_ryce 	2013-12-09	0	0	@B_Ryce25			https://twitter.com/shae_lyne/status/410181143086915584
410102472233869312	raulgranados_	 ima leave place type two diabetes 	2013-12-09	0	0				https://twitter.com/raulgranados_/status/410102472233869312
409935812923383808	Jarrey_	 joshcastrop hilemankade connerr_ jeremyorr_ josh fucking fat go get gym membership floppy overweight diabetes fuck	2013-12-09	0	3	@JoshCastrop @HilemanKade @Connerr_44 @JeremyOrr_			https://twitter.com/Jarrey_/status/409935812923383808
409845735861923840	MegatronRon2011	 shut fuck up holy shit gonna give diabetes faggot	2013-12-08	0	1				https://twitter.com/MegatronRon2011/status/409845735861923840
408692278278889472	SheridanSchulz	 wow cant believe sunday yrs diabetes 	2013-12-05	0	0				https://twitter.com/SheridanSchulz/status/408692278278889472
408344155257978885	ejaybrittlaws	 fluffyguy diagnosed diabetes one piece advice would give someone dont eat bread fried food cokes	2013-12-04	0	0	@fluffyguy			https://twitter.com/ejaybrittlaws/status/408344155257978885
407905275509633024	LeoKingston	 mild bouts depression may worsen health complications often go along type diabetes according new study health	2013-12-03	0	0		#health		https://twitter.com/LeoKingston/status/407905275509633024
407030139193548801	Denetsosie2	 _kushoo casino kid diabetes could claim insanity get free id white whore pasty white girl haha	2013-12-01	0	0	@_kushoo1			https://twitter.com/Denetsosie2/status/407030139193548801
406659137410306048	Denetsosie2	 great got diabetes shake	2013-11-30	0	0				https://twitter.com/Denetsosie2/status/406659137410306048
406151709224738817	HaylieKinzey	 say diabetes cholesterol mel_bear calitwin pictwittercomay gnpeqjz	2013-11-28	0	4	@mel_bear17 @calitwin23			https://twitter.com/HaylieKinzey/status/406151709224738817
406130780784447489	BlakeHillHN	 mom told need get checked diabetes	2013-11-28	0	2				https://twitter.com/BlakeHillHN/status/406130780784447489
405708866391777280	hanjustus	 itweetfacts instant ramen noodles increase risk chronic illnesses cancer diabetes heart disease j_t_lynn	2013-11-27	0	1	@iTweetFacts @j_t_lynn			https://twitter.com/hanjustus/status/405708866391777280
405387624983961600	_DanqqNijha	 noass_gotgas girls diabetes got best pussy ctfuu im 	2013-11-26	3	0	@NoAss_GotGas			https://twitter.com/_DanqqNijha/status/405387624983961600
404455086446759936	lilEDinthehood	 plain white tees sweetest song practically gives diabetes 	2013-11-23	2	2				https://twitter.com/lilEDinthehood/status/404455086446759936
404110580572622848	illestjonn	 thing working diabetes fat fuck lmao	2013-11-22	0	0				https://twitter.com/illestjonn/status/404110580572622848
403985457098522624	msirismg	 watching little globe trekker apparently nigerians prefer women fat wonder prevalent diabetes there	2013-11-22	0	0				https://twitter.com/msirismg/status/403985457098522624
403975494166515712	_saynoni	 xmarquiz kool aid tasting like flavored sugar water diabetes 	2013-11-22	0	0	@xMarquiz			https://twitter.com/_saynoni/status/403975494166515712
403315148196024321	fight4christian	 jtimberlake son years old suffers renal kidney failureprune belly syndrome leukemia diabetes 	2013-11-20	0	0	@jtimberlake			https://twitter.com/fight4christian/status/403315148196024321
403170988394696704	FtSmithARK	 masonkesner hdharshaw tracyplaces survey measurement healthy are obesity diabetes hypertention etc	2013-11-20	0	0	@masonkesner @hdharshaw @tracyplaces			https://twitter.com/FtSmithARK/status/403170988394696704
402638689827704832	BHenneha	 diabetes leading killer im gonna sugarcoat anything	2013-11-18	0	1				https://twitter.com/BHenneha/status/402638689827704832
