id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
413525171828322305	CannellMatt	 hayhovs_ literally looks like diabetes cup	2013-12-18	0	0	@hayhovs_			https://twitter.com/CannellMatt/status/413525171828322305
413008460662337536	ORmom	 lawyermomiowa jam yep diabetes years	2013-12-17	0	0	@lawyermomIowa @jam2478			https://twitter.com/ORmom/status/413008460662337536
412510408927236096	CannellMatt	 dannyynunez ill right u diabetes 	2013-12-16	0	0	@DannyyNunez			https://twitter.com/CannellMatt/status/412510408927236096
412509702715490304	CannellMatt	 diabetes pictwittercom ftwer fm 	2013-12-16	1	7		#Diabetes		https://twitter.com/CannellMatt/status/412509702715490304
411592264138252288	shiberving	 yothisiserica god love things diabetes	2013-12-13	0	0	@yothisiserica	#diabetes		https://twitter.com/shiberving/status/411592264138252288
411346305978343424	hey_its_ashlie	 diabeticprobs use embryonic cells help cute diabetes though probably werent sayin	2013-12-12	0	1	@diabeticprobs13			https://twitter.com/hey_its_ashlie/status/411346305978343424
409417199309176832	_andienicole_	 one word diabetes thing size chest haha thanks jonescourtneey pictwittercomcoqqqtjtwn	2013-12-07	1	1	@JonesCourtneey			https://twitter.com/_andienicole_/status/409417199309176832
408751073625518080	Redrobin1999	 years divorce expected life get better maybe mshep c diabetes definitely living somewhat happy life when	2013-12-05	0	0				https://twitter.com/Redrobin1999/status/408751073625518080
406888006805487616	Redrobin1999	 much time god going give mshep c diabetes five years fail depressing enough gave marriage this	2013-11-30	0	0				https://twitter.com/Redrobin1999/status/406888006805487616
405973325375340544	AbbyMonty16	 jessbear youll probably end diabetes hahah	2013-11-28	0	1	@jessbear166			https://twitter.com/AbbyMonty16/status/405973325375340544
401118326178717696	HAMADMOHAMMAD1	 november world diabetes day lets pray suffer diabetes http instagramcompgtko imy 	2013-11-14	0	0		#diabetes		https://twitter.com/HAMADMOHAMMAD1/status/401118326178717696
400676165372739584	Susy_2u	 quarter jar peanut butter white bread top whole fruit burp diabetes dumbass	2013-11-13	0	0				https://twitter.com/Susy_2u/status/400676165372739584
399982261120270336	Haley_Rein	 exactly requirements shriner diabetes 	2013-11-11	0	1				https://twitter.com/Haley_Rein/status/399982261120270336
396335402312687616	robreffphd	 meet dr swarts kendall simmons pm practice field learn diabetes oregonstateuniv osubeaversfb pictwittercomqzhsuwnc j	2013-11-01	0	0	@oregonstateuniv @OSUBeaversFB	#diabetes		https://twitter.com/robreffphd/status/396335402312687616
392464452957642752	ORmom	 sad say of fur babies isnt well the w diabetes dont expect make nite sad	2013-10-21	0	0				https://twitter.com/ORmom/status/392464452957642752
392196690096050176	AmberTaylor2323	 need sleep p mom thinks finally hit full blown diabetes runs family hoped avoid it 	2013-10-21	0	0				https://twitter.com/AmberTaylor2323/status/392196690096050176
392079985671798785	garcia_vanesa_	 ew cat diabetes dont touch it mean rabies thing	2013-10-20	0	2				https://twitter.com/garcia_vanesa_/status/392079985671798785
