id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417601344094994432	FlipCupFreddy	 whatever either love caramel sensation youre diabetic lol	2013-12-30	1	0				https://twitter.com/FlipCupFreddy/status/417601344094994432
417548566450556928	kaylo1221	 made diabetic friendly slutty brownies foolz choc chip cookie oreos brownie food yum diabetes sugarfree pictwittercomkfnm ftgl	2013-12-30	0	2		#food #yum #diabetes #sugarfree		https://twitter.com/kaylo1221/status/417548566450556928
417499258028163073	T0RQQD	 youre diabetic	2013-12-29	0	1				https://twitter.com/T0RQQD/status/417499258028163073
416770054877745153	julianaSaenz	 wrote online class bio im diabetic waiting wondering anyones gonna tell diabetic grandparent	2013-12-27	0	0				https://twitter.com/julianaSaenz/status/416770054877745153
416701110800248833	OatyChapman	 disneyland searched bag camo diabetic bag lady like whats bag like bomb crazy shit	2013-12-27	0	3				https://twitter.com/OatyChapman/status/416701110800248833
416675285954592768	MeganThompson	 honor jeremyburke s birthday babysitting elderly diabetic pug getting fear needles	2013-12-27	0	1	@JEREMYBURKE			https://twitter.com/MeganThompson/status/416675285954592768
415678325990768640	erickreynaga118	 _pizzaaqueen_ omg eating made people skinnier instead turning diabetic	2013-12-24	1	1	@_PizzaaQueen_			https://twitter.com/erickreynaga118/status/415678325990768640
415375919377678336	joannamanikis	 mum dont care dad diabetic im sugar free coffee creamer stop	2013-12-24	0	0				https://twitter.com/joannamanikis/status/415375919377678336
415318387124736000	SaraDresses	 ask drink drink tell youre program next time ask ice cream tell youre extreme diabetic	2013-12-23	0	1				https://twitter.com/SaraDresses/status/415318387124736000
415022379887112192	Nonaye818	 people really call suka peipi sounds like something diabetic tongans would say	2013-12-23	0	2				https://twitter.com/Nonaye818/status/415022379887112192
414971485569028097	JOHNNYxDRAMA	 jay cutler favorite diabetic qb lol	2013-12-22	0	0				https://twitter.com/JOHNNYxDRAMA/status/414971485569028097
414946560456138752	marcfit4u	 espn_colin use like im diabetic still friends	2013-12-22	0	0	@ESPN_Colin			https://twitter.com/marcfit4u/status/414946560456138752
414945522508521472	Dc3k_KoldNights	 lol hell give buttercup lol killed horse tho diabetic hes cop killer lol	2013-12-22	0	0				https://twitter.com/Dc3k_KoldNights/status/414945522508521472
414437995542896640	luvvvster	 diabetic sucks sugar free balls 	2013-12-21	0	0				https://twitter.com/luvvvster/status/414437995542896640
414303904336056321	mgrossi1	 whlive whitehouse barackobama need clear info aca ppl dropped insurance companies friend diabetic	2013-12-21	1	0	@WHLive @WhiteHouse @BarackObama			https://twitter.com/mgrossi1/status/414303904336056321
413355660084920320	mariahwester	 seriously smell like fruit onions time matter much shower use deodorant spray etc think im diabetic 	2013-12-18	0	0				https://twitter.com/mariahwester/status/413355660084920320
412495437627547648	justinrogersz	 u dont diabetic amounts sugar ur kool aid ur faggot	2013-12-16	0	3				https://twitter.com/justinrogersz/status/412495437627547648
412094690637279233	rmaraj810	 last decade ive noticed growing public health concern diabetic polar bears drink coca cola intervention cocacola	2013-12-15	0	0		#intervention #cocacola		https://twitter.com/rmaraj810/status/412094690637279233
412040129973198848	thegrantramos	 hooters commercials convincing mcdonalds diabetic 	2013-12-14	0	0	@Hooters @McDonalds			https://twitter.com/thegrantramos/status/412040129973198848
411853341228924928	candyhernandez0	 ever wonder might diabetic signs symptoms pictwittercomdswymqh xi	2013-12-14	0	0				https://twitter.com/candyhernandez0/status/411853341228924928
411266533382291456	eliaskimj	 jubuggie them well vailla ones filling like diabetic cookies haha	2013-12-12	0	0	@jubuggie			https://twitter.com/eliaskimj/status/411266533382291456
411011985384288256	CountryGirlinLA	 annimac know its sad boy diabetic great photo	2013-12-12	0	1	@Annimac12			https://twitter.com/CountryGirlinLA/status/411011985384288256
410993430521597952	t_east22	 morgodavis hannahenryy convinced im diabetic serious anemic partial narcolepsy webmd	2013-12-11	0	1	@morgodavis @HannaHenryy	#webmd		https://twitter.com/t_east22/status/410993430521597952
410932190944301056	morganic_o	 silkyasssatin coursee lol hate ones icing omg ever thought diabetic	2013-12-11	0	0	@silkyassSATIN			https://twitter.com/morganic_o/status/410932190944301056
410879913911021568	Jdav87	 another tragic law enforcement fail texasmonthly irving jail staff watched diabetic woman die custody http txmnthly joglty 	2013-12-11	0	0	@TexasMonthly			https://twitter.com/Jdav87/status/410879913911021568
410642059595239424	TurtleDad	 finally got daughter diabetic insulin pump great full hope gets stabilized mdt_diabetes	2013-12-11	0	0	@MDT_Diabetes	#diabetic #insulin		https://twitter.com/TurtleDad/status/410642059595239424
410316295641387008	holapocho	 janesinsane pre diabetic 	2013-12-10	0	0	@janesinsane			https://twitter.com/holapocho/status/410316295641387008
410185129772863488	mzguided70	 karlhasler_jw mike_amy oh chocolate cake diabetic 	2013-12-09	0	0	@KarlHasler_JW @Mike_Amy94			https://twitter.com/mzguided70/status/410185129772863488
409513339111231488	Dyll_Man	 hip hop diabetic niggas sweet oooooooo	2013-12-07	0	0				https://twitter.com/Dyll_Man/status/409513339111231488
409426621012000768	WavyJay_	 need root canal lordfalsus im diabetic rt chioecum come get candy httpstwittercomchioecumstatus photo pictwittercomimyexr is 	2013-12-07	2	0	@lordfalsus @ChIoecum			https://twitter.com/WavyJay_/status/409426621012000768
409417510648176640	XtinaWorthy	 chiidhoodruiner never tried before pictwittercomabg jstyj big ball sugar thatll make diabetic lol	2013-12-07	0	0	@ChiIdhoodRuiner			https://twitter.com/XtinaWorthy/status/409417510648176640
409359027110309888	mzguided70	 imthasnicka agree wasnt diabetic you lol	2013-12-07	0	1	@imthasnicka			https://twitter.com/mzguided70/status/409359027110309888
409135825352290304	AnibalQuant	 im sure ate that would go diabetic coma die ed solomon	2013-12-06	0	0				https://twitter.com/AnibalQuant/status/409135825352290304
408850509382963200	asssssslyn	 wr k_it_ralph couldnt donate blood blood probably diabetic asf ounce blood probably big mac meal	2013-12-06	0	1	@wr3k_it_ralph			https://twitter.com/asssssslyn/status/408850509382963200
408339785229426688	crysmarie1211	 fluffyguy mom diabetic too took herbalife pill called snack defense lost lbs controlled diabetic	2013-12-04	0	0	@fluffyguy			https://twitter.com/crysmarie1211/status/408339785229426688
407736642883948544	BryannExclusive	 kerminxoxo joeey_jaay dont forget tamale diabetic coffee b	2013-12-03	1	2	@kerminxoxo @joeey_jaay			https://twitter.com/BryannExclusive/status/407736642883948544
407257330753867776	sintorithegreat	 bestfriends girl like like diabetic candy store	2013-12-01	1	1				https://twitter.com/sintorithegreat/status/407257330753867776
406986747273179136	yogibear151813	 bxxsxxd wasnt thing read carefully see one says diabetic ok cerote one says diabetic ok doctor	2013-11-30	0	0	@BXXSXXD			https://twitter.com/yogibear151813/status/406986747273179136
406986290148564992	yogibear151813	 bxxsxxd diabetic ok doctor	2013-11-30	0	0	@BXXSXXD			https://twitter.com/yogibear151813/status/406986290148564992
406986119054499840	yogibear151813	 bxxsxxd diabetic ok cerote	2013-11-30	0	0	@BXXSXXD			https://twitter.com/yogibear151813/status/406986119054499840
406896720287502336	SierraWager	 im going marry diabetic	2013-11-30	0	2				https://twitter.com/SierraWager/status/406896720287502336
406858526170959872	FrizzyFritts	 yfg_chase breakfast champions httpstwittercomyfg_chasestatus photo pictwittercom se dr rlc diabetic champions haha	2013-11-30	0	0	@YFG_Chase			https://twitter.com/FrizzyFritts/status/406858526170959872
406306623750012928	DanielPhibes	 daaaamn baby fries go wit dat shake sub something else cuz im diabetic 	2013-11-29	0	0				https://twitter.com/DanielPhibes/status/406306623750012928
405926520868192256	taymbro	 diabetic biggest sweet tooth	2013-11-28	0	5				https://twitter.com/taymbro/status/405926520868192256
405077531197313024	AbeSaffer	 thausner handle diabetic side wife tonyasaffer handles policy issues nkf worked dialysis yrs	2013-11-25	0	0	@thausner @tonyasaffer			https://twitter.com/AbeSaffer/status/405077531197313024
404501039518195713	Faithespeare	 hey nickjonas november national diabetes month love bc im diabetic fan	2013-11-24	0	1	@nickjonas	#1		https://twitter.com/Faithespeare/status/404501039518195713
404144693799161856	God_Loves_Ugly	 jk diabetic hahahaha	2013-11-23	0	0				https://twitter.com/God_Loves_Ugly/status/404144693799161856
404144525129441282	God_Loves_Ugly	 edger hired sugar momma hes older me im broke diabetic	2013-11-23	0	1		#1 #2 #3		https://twitter.com/God_Loves_Ugly/status/404144525129441282
403273086310445056	ls1228	 cbshealth cbsnews obese pilots grounded issues could hinder ability fly heart attackstroke diabetic coma	2013-11-20	0	0	@CBSHealth @CBSNews			https://twitter.com/ls1228/status/403273086310445056
403240215030296576	ConnerTrill	 spoon full sugar makes medicine go down unless youre diabetic	2013-11-20	0	1				https://twitter.com/ConnerTrill/status/403240215030296576
403216885312802816	agingbusters	 diabetic get treated unless like me taking steps keep bg normal http rangeagingbusterscom	2013-11-20	0	0				https://twitter.com/agingbusters/status/403216885312802816
