id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
417044083496873984	kaileyj9	 according gannon im diabetic need least one prick day _	2013-12-28	0	0				https://twitter.com/kaileyj9/status/417044083496873984
416427963735764992	bsidd95	 love sugary things much im like worst person diabetic ugh	2013-12-26	0	0				https://twitter.com/bsidd95/status/416427963735764992
415946770196082688	Jsewell315	 start xmas right breakfast noon enough protein carbs ward impending diabetic coma pictwittercomsrxbxmy lq	2013-12-25	0	0				https://twitter.com/Jsewell315/status/415946770196082688
415424564760285184	glabam12	 im marrying diabetic well automatically get loveandinsulin	2013-12-24	0	0		#loveandinsulin		https://twitter.com/glabam12/status/415424564760285184
415231213943521280	junior1385	 asking someone whos lactose intolerant theyve heard lactaid like asking diabetic theyve heard insulin stopasking	2013-12-23	0	1		#stopasking		https://twitter.com/junior1385/status/415231213943521280
412695054637989888	Chellybean01	 well diabetic grandma agrees brownies breakfast food	2013-12-16	0	1				https://twitter.com/Chellybean01/status/412695054637989888
412658899842396160	ewaimee	 ravenira thats awesome lucky you ive thinking it since im diabetic im scared healing process	2013-12-16	0	0	@Ravenira			https://twitter.com/ewaimee/status/412658899842396160
412461783954100224	JoeAllred	 kgreear coors light little alcohol carbonation lots water coors light diabetic vegetarians	2013-12-16	0	0	@kgreear54			https://twitter.com/JoeAllred/status/412461783954100224
411493859957297152	JasonSens8tion	 anniehoang so think nerve damage toes havent really felt months diabetic 	2013-12-13	0	0	@anniehoang			https://twitter.com/JasonSens8tion/status/411493859957297152
406477017065209857	superfamicom	 diabetic breakfast cat condo http instagramcomphtqlq iiwp	2013-11-29	0	0	@Cat			https://twitter.com/superfamicom/status/406477017065209857
406344019136888833	bsidd95	 good day diabetic tho haha	2013-11-29	0	0				https://twitter.com/bsidd95/status/406344019136888833
404737483675406336	laurenlynskey	 cat diabetic 	2013-11-24	0	0				https://twitter.com/laurenlynskey/status/404737483675406336
403933638275780608	TojoTheThief	 junodking d diabetic shots make lightheaded dont lay feint	2013-11-22	0	0	@JunoDking			https://twitter.com/TojoTheThief/status/403933638275780608
403730199209971713	thet904	 ok found im turning diabetic even cutting sugar eating meat veg lowest ive been wtf	2013-11-21	0	0				https://twitter.com/thet904/status/403730199209971713
403533300779585537	LAELOE22	 nemahb e diabetic le fa valu	2013-11-21	0	0	@NEMAhB00			https://twitter.com/LAELOE22/status/403533300779585537
403532422534287361	LAELOE22	 nemahb told diabetic tht da face gave	2013-11-21	1	0	@NEMAhB00			https://twitter.com/LAELOE22/status/403532422534287361
403530153122209792	LAELOE22	 nemahb eh calm diabetic ass lalo	2013-11-21	0	0	@NEMAhB00			https://twitter.com/LAELOE22/status/403530153122209792
