id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
546144287490969601	meagannrae	 eating instant noodles times week increases persons risk developing heart disease stroke diabetes sarabethbarba shit	2014-12-19	0	0	@SaraBethBarba			https://twitter.com/meagannrae/status/546144287490969601
543572344707379201	Jacolat94	 true surprise surprise parties diabetes ice cream cake	2014-12-12	0	0				https://twitter.com/Jacolat94/status/543572344707379201
538730521430618112	okbroncos	 adamschefter vision source eye exams help detect diabetes recently determined need fresh day disposable lenses breaking adamschefter breaking httpstwittercomokbroncosstatus rachelsome happy world diabetes day head httpwww jdrforg get informed type marks my http instagramcompvzixq kjos httpstwittercomrachelsomestatus marlee_mavro asknickjonas diabetes myself deal day day basis asknickjonas httpstwittercommarlee_mavrostatus sierramalia first christmas coke year diabetes pictwittercomo vdftsuyh diabetes httpstwittercomsierramaliastatus granolakathy im going get diabetes week memodiet itdoesnthelpthathalloweeniscomingup memodiet itdoesnthelpthathalloweeniscomingup httpstwittercomgranolakathystatus melissasworkout enough commercials first diabetes suicide aauugghh put lid morons pictwittercom xxu eirvn httpstwittercommelissasworkoutstatus pauljmcr type diabetes cured mice httpwww telegraphcouksciencescienc enews curefortype diabetesimminentafterharvardstemcellbreakthroughhtml npr report says yrs till human trials pace always seems conservative httpstwittercompauljmcrstatus mitchk rick ross dies diabetes bet yall cool soda pop processed sugar httpstwittercommitchk status vivreaski crippling credit card debt side diabetes yes please thanks walmart offer nothanks pictwittercomlor gfanh walmart nothanks httpstwittercomvivreaskistatus elizard cried found nick jonas diabetes 	2014-09-02	0	1				https://twitter.com/Elizard13/status/506662052216061953
501777557843607553	diaTribeNews	 stage usprochallenge running send karma t diabetes riders teamnovonordisk pictwittercom pdbe p gm	2014-08-19	7	4	@teamnovonordisk	#usprochallenge #diabetes		https://twitter.com/diaTribeNews/status/501777557843607553
501752045905252352	spensdurka	 kid getting diabetes sure gallon sweet tea morning routine pictwittercomj zoguqef	2014-08-19	0	1				https://twitter.com/spensdurka/status/501752045905252352
501503323309350913	diaTribeNews	 little teamnovonordisk usprochallenge go martijnverschoor team diabetes pictwittercomcon jzgfvd	2014-08-18	2	3	@teamnovonordisk @martijnverschoor	#usprochallenge #diabetes		https://twitter.com/diaTribeNews/status/501503323309350913
501108046761041921	diaTribeNews	 mcverschoor speaking teamnovonordisk the opening press conference usprochallenge makes diabetes sing pictwittercomgtehemlrzx	2014-08-17	0	1	@mcverschoor @teamnovonordisk @the @	#usprochallenge #diabetes		https://twitter.com/diaTribeNews/status/501108046761041921
499039733386072065	lucasvondran	 went cold stone type diabetes flavor thank maam may another size	2014-08-11	1	5				https://twitter.com/lucasvondran/status/499039733386072065
498190339518509056	generousgypsy	 candy store boy got developing type b diabetes	2014-08-09	0	0				https://twitter.com/generousgypsy/status/498190339518509056
497725445954351104	robbievitrano	 usatoday dying something think every day diabetes epidemic http usatly u djv pictwittercomjcodmfinqz food	2014-08-08	0	0	@USATODAY	#food		https://twitter.com/robbievitrano/status/497725445954351104
495576191475392515	devidy_wright	 diabetes jerk today olive says alerts aint thang pictwittercomtb irw rra	2014-08-02	0	5				https://twitter.com/devidy_wright/status/495576191475392515
490699974003269632	SuperDiabetic	 dannydilladolla survived y k mad cow disease diabetes dka aint shit senator cant handle	2014-07-19	0	0	@DannyDillaDolla			https://twitter.com/SuperDiabetic/status/490699974003269632
