id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
548352614149410816	malteroger1	 american diabetes association recommends eggplant http aboutnutritionfactscomj l pictwittercommcfebnafwe healthyliving nutrition	2014-12-26	0	0		#healthyliving #nutrition		https://twitter.com/malteroger1/status/548352614149410816
547966598460350464	mindy_bartleson	 friends diabetes concerned long tubbing is im sitting like im switching lengths get fun colors	2014-12-24	0	1		#diabetes		https://twitter.com/mindy_bartleson/status/547966598460350464
547905739046805506	KMJeezy	 diabetes blackellewoods rt karllunz gotta try honey jack egg nog see thats hitting for	2014-12-24	3	0	@BlackElleWoods @KarlLunz			https://twitter.com/KMJeezy/status/547905739046805506
547549281402355712	averylangley12	 around holidays contract diabetes walking kitchen	2014-12-23	0	3				https://twitter.com/averylangley12/status/547549281402355712
547375401983430657	EatingVeggies	 interested improving ed problem httpwww eatingveggiescomerectiledysfun ctionhtm diabetes mensclub	2014-12-23	0	0		#diabetes #mensclub		https://twitter.com/EatingVeggies/status/547375401983430657
547369910326665216	EatingVeggies	 tips melting fat controlling blood sugar httpwww eatingveggiescomblog diabetes diet obesity	2014-12-23	0	0		#diabetes #diet #obesity		https://twitter.com/EatingVeggies/status/547369910326665216
547171418195378176	shaquillestjohn	 popeyes sweet tea cup pure sugar get diabetes 	2014-12-22	0	0				https://twitter.com/shaquillestjohn/status/547171418195378176
547116417993023488	EmmaSchmood	 know youre close phone automatically changes diabetes diabetus texts soulmates	2014-12-22	0	0		#SoulMates		https://twitter.com/EmmaSchmood/status/547116417993023488
546577047204945920	chadbonin	 notably script diabetic got book diabetes title omaewamo cookbook another	2014-12-21	0	0	@Omaewamo			https://twitter.com/chadbonin/status/546577047204945920
546444040154415104	WatchTheThorne	 chris rock said best cure woman diabetes teach read u dont marry gone say u aint shit	2014-12-20	1	0				https://twitter.com/WatchTheThorne/status/546444040154415104
546366407584526336	IamLaRae	 think its sweet oh bitches got diabetes	2014-12-20	0	0				https://twitter.com/IamLaRae/status/546366407584526336
546307398617403393	OhhhhhBanks	 pigs flying bitches trying me think its sweet oh bitches got diabetes nickiminaj	2014-12-20	0	1	@NICKIMINAJ			https://twitter.com/OhhhhhBanks/status/546307398617403393
546271000179257344	white_generic	 cured mouse diabetes great news suffer mouse diabetes 	2014-12-20	0	0				https://twitter.com/white_generic/status/546271000179257344
546187199771705344	Cant_Be_Jay	 thing working diabetes fat fuck	2014-12-20	0	0				https://twitter.com/Cant_Be_Jay/status/546187199771705344
546112432083832832	_suhmanthuh	 happy holidays diabetes pictwittercom icdr nls	2014-12-19	1	4				https://twitter.com/_suhmanthuh/status/546112432083832832
545987889705025538	JMroczko	 olsonsavannah girl diabetes diasunite	2014-12-19	0	1	@olsonsavannah	#diasunite		https://twitter.com/JMroczko/status/545987889705025538
545696805912973312	bellafitness09	 whats problem belly fat causes greater chance diabetes hypertension heart disease fix it httpwww bellafitnessgroupcom	2014-12-18	0	0				https://twitter.com/bellafitness09/status/545696805912973312
545524092468989952	malteroger1	 cinnamon type diabetes http aboutnutritionfactscomg xy pictwittercomdfzp rkqcp nutrition healthyliving	2014-12-18	0	0		#nutrition #healthyliving		https://twitter.com/malteroger1/status/545524092468989952
545431658280022017	caseyelizrose	 diabetes annoying	2014-12-17	0	1				https://twitter.com/caseyelizrose/status/545431658280022017
545108408551358464	malteroger1	 coffee could reduce diabetes risk much percent http ahealthblogcomrly pictwittercomaczv ubinz nutrition healthyliving	2014-12-17	0	1		#nutrition #healthyliving		https://twitter.com/malteroger1/status/545108408551358464
545054915681583104	arielkim13	 so mom almost gestational diabetes pregnant bc ate honey bun everyday cool	2014-12-16	0	0		#cool		https://twitter.com/arielkim13/status/545054915681583104
544698306585444352	DBoyRocka	 calories diabetes dem carbs sodium give all low cholesterol	2014-12-15	0	0				https://twitter.com/DBoyRocka/status/544698306585444352
544595798634147841	EatingVeggies	 inflammation root sickness httpwww eatingveggiescom diabetes cancer	2014-12-15	0	0		#diabetes #cancer		https://twitter.com/EatingVeggies/status/544595798634147841
544543439678087168	deltatangomike	 fastfood kill you gmo frenchfries cloned meat diabetes sugarwater drawdaily dtm http instagramcompworjqoq 	2014-12-15	0	1		#fastfood #gmo #frenchfries #cloned #meat #diabetes #sugarwater #drawdaily #DTM2014		https://twitter.com/deltatangomike/status/544543439678087168
544461791053373443	greene_tom	 great story initiative use data control diabetes digitalhealth healthcare http medcitynewscom app evangelistssay willtippingpointdoctorsprescribingappsutm_sourcemedcitynewssubscribersutm_campaign f ed f cfrss_email_campaignutm_mediumemailutm_term _c cce a f ed f cf 	2014-12-15	0	1		#diabetes #DigitalHealth #healthcare		https://twitter.com/greene_tom/status/544461791053373443
544252947404980225	justinhintz	 need diabetes drown packer loss drinking grey monday haus hintz http untpbeersc photo	2014-12-14	0	0	@Haus	#packer #photo		https://twitter.com/justinhintz/status/544252947404980225
542871539650424833	jordanheirr	 juicystay_fresh u u diabetes	2014-12-10	0	0	@juicystay_fresh			https://twitter.com/jordanheirr/status/542871539650424833
542429357101158400	kaydeelaflaire	 diabetes aint joke	2014-12-09	0	0				https://twitter.com/kaydeelaflaire/status/542429357101158400
542362911369601025	dewaldryan	 posted photo atlanta diabetes associates http instagramcompwzl h gqut	2014-12-09	0	0	@Atlanta			https://twitter.com/dewaldryan/status/542362911369601025
542106086359457792	yorudann_	 guys diabetes im going die soon	2014-12-08	0	0				https://twitter.com/yorudann_/status/542106086359457792
541783419324473344	breegees	 get sweet tea mcdonalds taste diabetes 	2014-12-07	0	0				https://twitter.com/breegees/status/541783419324473344
541082938637819904	Quen_OVO	 bitchesluvjah thats shit soundnasty going sugar diabetes	2014-12-05	0	1	@BitchesLuvJah			https://twitter.com/Quen_OVO/status/541082938637819904
541029346329509888	malteroger1	 high intensity workouts lower bloodsugar levels type diabetes http ahealthblogcomdeii pictwittercomlbubwm mji healthyliving fitness	2014-12-05	0	0		#healthyliving #fitness		https://twitter.com/malteroger1/status/541029346329509888
540599100979544064	malteroger1	 cinnamon type diabetes http aboutnutritionfactscomg xy pictwittercomlggmrojfxv nutrition health	2014-12-04	0	0		#nutrition #health		https://twitter.com/malteroger1/status/540599100979544064
540225504805416960	LisaTanker	 pls watch short video w cedentertainer diabeticnervepain impacts ppl w diabetes learn http bitly sdy ah	2014-12-03	0	2	@CedEntertainer	#diabeticnervepain		https://twitter.com/LisaTanker/status/540225504805416960
539996363166330882	Gucci_Re6el	 nickthaplug u got every type diabetes yo blood sugar overdrive u sweat sugar cane juice	2014-12-02	0	1	@NickThaPlug			https://twitter.com/Gucci_Re6el/status/539996363166330882
