id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
547131436101558275	Trill_Lee	 abdinoorx go back time warn type diabetes pictwittercom xxcxpd se 	2014-12-22	0	0	@abdinoorx2			https://twitter.com/Trill_Lee/status/547131436101558275
545798677927694338	socialenemy_	 lmaoo listening want grandma heard oh bitches got diabetes said bitch	2014-12-18	0	1				https://twitter.com/socialenemy_/status/545798677927694338
545351325710446593	ScorpioKing1183	 nothing worse listening stressedout old woman diabetes its hell earth	2014-12-17	0	0				https://twitter.com/ScorpioKing1183/status/545351325710446593
544374960660029441	socialenemy_	 oh bitches got diabetes theonlymilline think sweet rt sirslaysalot pigs flyin bitches tryin meeeee	2014-12-15	0	0	@THEonlyMILLINE @sirSLAYSalot			https://twitter.com/socialenemy_/status/544374960660029441
541783012783161345	MattNelson34	 yr battle type diabetes let tell ya neverquit friends family ill get im looking cure	2014-12-07	0	0		#NeverQuit #cure		https://twitter.com/MattNelson34/status/541783012783161345
540470883928641536	Markmc660	 its holiday season unless push body brink alcoholism diabetes 	2014-12-04	0	0				https://twitter.com/Markmc660/status/540470883928641536
540357738224951298	MattNelson34	 impactwrestling u may know battling w type diabetes yrs hd wish back b wrestling str honor b roster	2014-12-03	0	0	@IMPACTWRESTLING			https://twitter.com/MattNelson34/status/540357738224951298
540250427413917696	lindsay	 aaand a c fine hate freak every endo appointment diabetes t d	2014-12-03	0	0		#diabetes #t1d		https://twitter.com/lindsay/status/540250427413917696
540233722742599681	lindsay	 reward surviving endo appointment involve lots wine possibly mcrib diabetes t d	2014-12-03	0	0		#diabetes #t1d		https://twitter.com/lindsay/status/540233722742599681
539977636819517440	MattNelson34	 u ask yrs ago diagnosed type diabetes would future become wrestler impactwrestling dreamjob	2014-12-02	0	0	@IMPACTWRESTLING	#diabetes #dreamjob		https://twitter.com/MattNelson34/status/539977636819517440
538843998098837504	MattNelson34	 wanna thank helping diabetesawarenessmonth still go http diabetesorg stop diabetes happening thnx bnch	2014-11-29	0	0		#DiabetesAwarenessMonth		https://twitter.com/MattNelson34/status/538843998098837504
538196329034678272	MattNelson34	 tomorrow final day diabetesmonth plz go online http diabetesorg donate stop diabetes hlp and ppl findacure	2014-11-28	0	0		#DiabetesMonth #findacure		https://twitter.com/MattNelson34/status/538196329034678272
