id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
540675659069403136	JourneeDelu_22	 reason get diabetes youll get pulled blood sugar fucked ambulance pick	2014-12-04	0	3				https://twitter.com/JourneeDelu_22/status/540675659069403136
534218816448786432	CBetterman	 alyssa_loveland okay cool cause sour patch kids cause diabetes type two starbucks well er body know thats cancer cup	2014-11-17	0	0	@alyssa_loveland			https://twitter.com/CBetterman/status/534218816448786432
529125793054855168	QuinnNystrom	 amazing time yesterday marshfield clinic speaking the pediatric diabetes event u kids inspire me	2014-11-02	0	0	@the			https://twitter.com/QuinnNystrom/status/529125793054855168
506038325363625984	reiilozada	 ever get diabetes ill blame sweet marthas chocolate chip cookies	2014-08-31	0	1				https://twitter.com/reiilozada/status/506038325363625984
497788790283710464	Luke_Florell	 jphugo feel like john shit lot twitter whatever tho cause bros googles diabetes contagious g 	2014-08-08	0	1	@Jphugo95			https://twitter.com/Luke_Florell/status/497788790283710464
493962813929312256	Emma_Ingrassia	 fart smells like diabetes oh god	2014-07-28	0	1				https://twitter.com/Emma_Ingrassia/status/493962813929312256
493531455037771776	nrmrchrdt	 guy bringing fast fatty food sweetest thing could ever do girls gonna getting diabetes niggah	2014-07-27	0	0				https://twitter.com/nrmrchrdt/status/493531455037771776
491446402195521537	Luke_Florell	 jphugo diabetes k	2014-07-22	1	5	@Jphugo95			https://twitter.com/Luke_Florell/status/491446402195521537
477465169874792449	QuinnNystrom	 mtg w school principal discuss giving dateline diabetes found scholarship young boy afford attend diabetes camp	2014-06-13	0	0				https://twitter.com/QuinnNystrom/status/477465169874792449
472886916535160832	bubbathompson88	 blockshotcrew_ diabetes	2014-05-31	0	1	@BlockShotCrew_4			https://twitter.com/bubbathompson88/status/472886916535160832
470596361277440000	salguodmai	 mdt_ diabetes already done ok	2014-05-25	0	0	@MDT_	#ok		https://twitter.com/salguodmai/status/470596361277440000
470562080408731649	salguodmai	 pump water resistant water proof wear lake mdt_ diabetes	2014-05-25	0	0	@MDT_	#pump		https://twitter.com/salguodmai/status/470562080408731649
456136963985121280	Lcahill15	 today learned diabetes eating giant cinnamon roll	2014-04-15	0	1				https://twitter.com/Lcahill15/status/456136963985121280
455378767083347969	MarcHartman1	 c_samson type diabetes amputation its glorious would recommend anyone	2014-04-13	0	2	@C_samson10			https://twitter.com/MarcHartman1/status/455378767083347969
448524011514118144	Daammoon	 stacey got bit mouse know that me no stacey yeah couldve gotten diabetes shouldbeblonde stacey_jamsa	2014-03-25	0	20	@Stacey_Jamsa	#shouldbeblonde		https://twitter.com/Daammoon/status/448524011514118144
434403912926257153	jjjedneak	 shaynalin bad diabetes il need hella insulin baby hahahha 	2014-02-14	0	1	@shaynalin21			https://twitter.com/jjjedneak/status/434403912926257153
433611447705157632	hannah__marie13	 k_fairbanks hahaha probably diabetes	2014-02-12	0	0	@k_fairbanks14			https://twitter.com/hannah__marie13/status/433611447705157632
432715233786744833	Luke_Florell	 journeedelu_ kacylivingston oh shit hahahaha well its diabetes taking	2014-02-09	0	1	@JourneeDelu_22 @KacyLivingston			https://twitter.com/Luke_Florell/status/432715233786744833
432438190410964992	kenzieemmathell	 uberfacts deannathell jt looks like getting heart diseases diabetes gaining weight night	2014-02-09	0	1	@UberFacts @deannathell @jt487			https://twitter.com/kenzieemmathell/status/432438190410964992
430422117851475968	Savanah_Horan_5	 america home free land diabetes pictwittercomaemzabhnry	2014-02-03	0	0				https://twitter.com/Savanah_Horan_5/status/430422117851475968
429840650293370880	Luke_Florell	 diabetes _got people call diabetes diabeetus diabeticprobs jlel_wica	2014-02-01	0	3	@diabetes @jlel_wica	#diabeticprobs		https://twitter.com/Luke_Florell/status/429840650293370880
426831207880355841	carlybosch19	 carlybosch ha ha n one girl asked played golf diabetes	2014-01-24	0	3	@carlybosch19			https://twitter.com/carlybosch19/status/426831207880355841
425764732864188416	HannahTranMedia	 preventative care program diabetes essentiahealth communityhealth needs assessments every yrs pictwittercomckyhdamsvf	2014-01-21	0	0	@EssentiaHealth	#CommunityHealth		https://twitter.com/HannahTranMedia/status/425764732864188416
418819213000990720	ZoSaysSo	 live tweet doctors office shoutout clueless nurses think understand type diabetes works	2014-01-02	0	2				https://twitter.com/ZoSaysSo/status/418819213000990720
535987830007152640	l_debates	 gd temporary form diabetes diagnosed pregnant pregnancies yep course im 	2014-11-21	0	0		#yep		https://twitter.com/l_debates/status/535987830007152640
533702898425667584	natashasmith310	 oh im sorry didnt know expert diabetes take care it please continue take notes	2014-11-15	0	8				https://twitter.com/natashasmith310/status/533702898425667584
533101041999290370	natashasmith310	 everyone wear blue tomorrow support national diabetes day	2014-11-13	5	14				https://twitter.com/natashasmith310/status/533101041999290370
530579609063272448	JackDavidDerham	 darealspiegel dont diabetes	2014-11-06	0	0	@DaRealSpiegel			https://twitter.com/JackDavidDerham/status/530579609063272448
528678423703867392	natashasmith310	 happy national diabetes awareness month t totypenone	2014-11-01	2	8		#T1toTypeNone		https://twitter.com/natashasmith310/status/528678423703867392
496021671812530176	DylanMClausen	 gods spoken speak diabetes pictwittercomfpohykshsp	2014-08-03	1	1				https://twitter.com/DylanMClausen/status/496021671812530176
495309580025753602	natashasmith310	 withdraw tournament cause diabetes isnt cooperating	2014-08-01	0	5				https://twitter.com/natashasmith310/status/495309580025753602
482641927083286528	SadieHasselhoff	 much stuff leads snickers diabetes 	2014-06-27	0	0				https://twitter.com/SadieHasselhoff/status/482641927083286528
431506369745649664	MattBanal	 aint gunna sugarcoat die diabetes dudes wrote it	2014-02-06	0	0				https://twitter.com/MattBanal/status/431506369745649664
548196953990115328	jvodovnik	 dr took metformin last week going give diet exercise shot controlling diabetes far good	2014-12-25	0	3				https://twitter.com/jvodovnik/status/548196953990115328
546806772225167360	Mishmoneyondeck	 mac onset diabetes	2014-12-21	0	1				https://twitter.com/Mishmoneyondeck/status/546806772225167360
546123097724952576	80sreference	 advent calendar diabetes 	2014-12-19	0	0				https://twitter.com/80sreference/status/546123097724952576
542467790830321664	HelloMyNameIsKT	 diabetes damned laketownchocolates pictwittercomkkixnncv x	2014-12-09	0	0		#laketownchocolates		https://twitter.com/HelloMyNameIsKT/status/542467790830321664
533428556710551552	Cbreese15	 youve ever wanted apart world record come moa tomorrow am were setting world record honor world diabetes day	2014-11-14	0	1				https://twitter.com/Cbreese15/status/533428556710551552
529874699988123648	newland_cheryl	 cricut newland_cheryl kbyarb yeah diabetes messes eyesight bigtime know its happening	2014-11-05	0	2	@Cricut365 @newland_cheryl @kbyarb			https://twitter.com/newland_cheryl/status/529874699988123648
528752236030332929	meandmybadself	 bendemaree diabetes is enjoy teeth them	2014-11-01	0	0	@bendemaree			https://twitter.com/meandmybadself/status/528752236030332929
528396483637542912	shipleykid	 get type diabetes one night asking kidneys	2014-11-01	1	2				https://twitter.com/shipleykid/status/528396483637542912
528248406855004160	Amanda_Massa_	 pixy stix actually powdered diabetes small paper tubes u think it	2014-10-31	0	4				https://twitter.com/Amanda_Massa_/status/528248406855004160
