id	Username	Text	Date	Retweets	Favorites	Mentions	Hashtags	Geo	Permalink
534732216543506432	johnfromKY	 gmfcfantasy vapemestoopid difference diet coke regular diabetic lol	2014-11-18	0	1	@GMFCfantasy @vapemestoopid			https://twitter.com/johnfromKY/status/534732216543506432
528564190550974464	jayCyalater	 __nanda__ happy type diabetic day jennaafrederick	2014-11-01	0	0	@__nanda__16 @JennaaFrederick			https://twitter.com/jayCyalater/status/528564190550974464
505214526468673537	DevonRosenblatt	 could turn whatever wanted klondike bars whenever wantedi might happiest diabetic ever	2014-08-29	0	0				https://twitter.com/DevonRosenblatt/status/505214526468673537
493289436788969472	Mobes77	 bigguybigcrank ktsimpson jeff blood lot sugar it diabetic	2014-07-27	0	1	@BigGuyBigCrank @KTSimpson2	#diabetic		https://twitter.com/Mobes77/status/493289436788969472
481998010516533249	jerbear718	 andlee im diabetic too friends	2014-06-25	0	0	@andlee3			https://twitter.com/jerbear718/status/481998010516533249
481997640595685377	jerbear718	 andlee its good its ok laugh diabetic jokes least one diabetic friend	2014-06-25	0	0	@andlee3			https://twitter.com/jerbear718/status/481997640595685377
479824715389730816	jsmcclure89	 think carlotta_morgan trying kill cupcakes considering fact im diabetic lmao	2014-06-19	0	1	@Carlotta_Morgan			https://twitter.com/jsmcclure89/status/479824715389730816
476585503299764225	iam_phatboyslim	 a_train dr_surbochlets since im diabetic eligible green card medical weed bruh seriously thou	2014-06-11	1	0	@A_TRAIN54 @dr_surbochlets			https://twitter.com/iam_phatboyslim/status/476585503299764225
476584623171186688	iam_phatboyslim	 since im diabetic eligible green card medical weed	2014-06-11	0	0				https://twitter.com/iam_phatboyslim/status/476584623171186688
470282454574850049	emtobe13	 peanut butter cookie candy bars made five different layers heavenly diabetic goodness pictwittercommemulrbdtx	2014-05-24	0	1				https://twitter.com/emtobe13/status/470282454574850049
463085714431684609	gatorfanmidge11	 diabetic _badass good luck	2014-05-04	0	2	@Diabetic			https://twitter.com/gatorfanmidge11/status/463085714431684609
